Date,BANKNIFTY22NOV1826100PE O,BANKNIFTY22NOV1826100PE H,BANKNIFTY22NOV1826100PE L,BANKNIFTY22NOV1826100PE C,BANKNIFTY22NOV1826100PE V
11/22/2018 3:29:00 PM,88,93,88,92.5,24060
11/22/2018 3:28:00 PM,88.7,88.85,81.15,87.3,64320
11/22/2018 3:27:00 PM,89,89.55,86.1,89.25,28140
11/22/2018 3:26:00 PM,90,91.95,88.8,89.8,49320
11/22/2018 3:25:00 PM,94.4,94.5,90.1,90.9,43920
11/22/2018 3:24:00 PM,97.65,99,92.8,95,40440
11/22/2018 3:23:00 PM,83.15,99,83.15,96.25,102380
11/22/2018 3:22:00 PM,83.25,87.15,81,83.2,102180
11/22/2018 3:21:00 PM,89.1,89.1,83,83.25,104740
11/22/2018 3:20:00 PM,95.85,98.15,88,88,109520
11/22/2018 3:19:00 PM,94.15,97.65,93.2,96.7,112620
11/22/2018 3:18:00 PM,95.05,101.15,94.05,94.05,110360
11/22/2018 3:17:00 PM,99.85,105.65,95,95.55,285220
11/22/2018 3:16:00 PM,86.3,100.9,86.3,99.1,311700
11/22/2018 3:15:00 PM,74.1,85.75,73.1,85.75,198680
11/22/2018 3:14:00 PM,80.8,84.95,72.75,74.95,225420
11/22/2018 3:13:00 PM,78,81.85,75.1,81.3,202420
11/22/2018 3:12:00 PM,75,81.85,73.45,77.05,188760
11/22/2018 3:11:00 PM,75.6,80.55,74.3,75.15,204600
11/22/2018 3:10:00 PM,75.95,85.6,72.1,72.85,307980
11/22/2018 3:09:00 PM,75.2,78.75,68.35,76.45,489600
11/22/2018 3:08:00 PM,50,68.15,48.15,68.15,305780
11/22/2018 3:07:00 PM,44,53,42.7,48.6,333960
11/22/2018 3:06:00 PM,43.4,51.9,42,43,336900
11/22/2018 3:05:00 PM,31.55,43.9,27.5,43.75,356860
11/22/2018 3:04:00 PM,32.75,32.75,27.3,30.15,267360
11/22/2018 3:03:00 PM,25,36.6,25,32,375780
11/22/2018 3:02:00 PM,32.2,35.85,25.4,29.5,371060
11/22/2018 3:01:00 PM,35.75,38.25,25.35,31.75,425100
11/22/2018 3:00:00 PM,43.85,48.35,35.1,35.25,380080
11/22/2018 2:59:00 PM,43.4,48,40,43.7,203440
11/22/2018 2:58:00 PM,44,49.8,42.4,43.6,199760
11/22/2018 2:57:00 PM,38.15,46.85,37.45,43.15,264680
11/22/2018 2:56:00 PM,39.65,44.9,36.7,37,318240
11/22/2018 2:55:00 PM,50.45,50.45,39.8,39.8,281120
11/22/2018 2:54:00 PM,49.95,55,46.6,47.8,277360
11/22/2018 2:53:00 PM,53,53.7,44.75,49.95,319220
11/22/2018 2:52:00 PM,56.15,66.7,48,55.3,603760
11/22/2018 2:51:00 PM,40,58.65,35.8,57.8,583640
11/22/2018 2:50:00 PM,33,44,33,39.65,565540
11/22/2018 2:49:00 PM,28.65,32.4,26.5,31.9,292580
11/22/2018 2:48:00 PM,24.7,32.15,24.15,29.6,339440
11/22/2018 2:47:00 PM,22.1,25.35,21.15,24.4,267240
11/22/2018 2:46:00 PM,19.7,22.9,19,22.5,360880
11/22/2018 2:45:00 PM,25,26.3,19.75,19.75,341900
11/22/2018 2:44:00 PM,35.3,35.3,24.2,25.2,380920
11/22/2018 2:43:00 PM,38,41.55,32.75,36,380220
11/22/2018 2:42:00 PM,30.45,39.5,30.45,38.05,335120
11/22/2018 2:41:00 PM,38.55,42,30.2,30.2,409620
11/22/2018 2:40:00 PM,29.45,46,27,39.1,619200
11/22/2018 2:39:00 PM,27,30.45,25,29,304060
11/22/2018 2:38:00 PM,32.8,34.4,24.95,28.3,426300
11/22/2018 2:37:00 PM,27.75,33.85,27.75,32.3,683780
11/22/2018 2:36:00 PM,18.7,28.65,17.25,27.65,395720
11/22/2018 2:35:00 PM,17.85,20.35,16.95,18.9,249220
11/22/2018 2:34:00 PM,18.4,19.45,15.95,17.9,207140
11/22/2018 2:33:00 PM,19.6,19.85,17.4,18.55,241980
11/22/2018 2:32:00 PM,22.05,24.3,19.6,20,323100
11/22/2018 2:31:00 PM,16.85,24.4,15.5,22.3,308280
11/22/2018 2:30:00 PM,13.85,18.8,13.85,16.55,286780
11/22/2018 2:29:00 PM,12.9,14.8,12.75,13.7,145240
11/22/2018 2:28:00 PM,11.65,15.85,11.65,12.4,257480
11/22/2018 2:27:00 PM,13.75,14,11.2,11.45,181040
11/22/2018 2:26:00 PM,16.55,16.95,13.1,13.75,196400
11/22/2018 2:25:00 PM,14.95,17.85,14.95,16.35,230120
11/22/2018 2:24:00 PM,14.7,15.55,13.65,14.95,222040
11/22/2018 2:23:00 PM,13.9,15.7,12.65,13.15,260900
11/22/2018 2:22:00 PM,12.5,13.95,11,13.95,308960
11/22/2018 2:21:00 PM,8.95,12.3,8.65,12.2,370480
11/22/2018 2:20:00 PM,12.2,13.45,7.55,8.55,518080
11/22/2018 2:19:00 PM,17.45,17.6,12.25,12.65,291540
11/22/2018 2:18:00 PM,19.2,19.9,16.65,16.9,201800
11/22/2018 2:17:00 PM,20.9,21.95,19.65,19.65,177520
11/22/2018 2:16:00 PM,24.6,24.75,21.15,21.15,236360
11/22/2018 2:15:00 PM,20.4,26.45,20.35,24.65,357720
11/22/2018 2:14:00 PM,18.6,21,17.55,20.2,218680
11/22/2018 2:13:00 PM,16.9,19,16,18.7,144480
11/22/2018 2:12:00 PM,17.7,18.5,16.9,16.9,135020
11/22/2018 2:11:00 PM,17.85,19.5,16.6,17.6,215040
11/22/2018 2:10:00 PM,14.65,18.55,14.55,17.75,291780
11/22/2018 2:09:00 PM,11.6,14.95,11.2,14.35,352180
11/22/2018 2:08:00 PM,15.05,15.15,11.1,11.1,339860
11/22/2018 2:07:00 PM,19.65,19.65,14.75,15.05,265680
11/22/2018 2:06:00 PM,21,21.35,17.9,19.4,211080
11/22/2018 2:05:00 PM,20.6,23.05,20.45,21,129540
11/22/2018 2:04:00 PM,22.55,23.45,20.2,20.95,125100
11/22/2018 2:03:00 PM,21.7,22.85,20.5,22.85,161260
11/22/2018 2:02:00 PM,22.7,22.9,19.9,21.45,198760
11/22/2018 2:01:00 PM,22.75,24.9,21.85,23.8,147420
11/22/2018 2:00:00 PM,25.45,26.4,22.45,22.8,246820
11/22/2018 1:59:00 PM,21.5,25.35,21.05,25.35,249020
11/22/2018 1:58:00 PM,19.7,21.65,18.65,21.4,164980
11/22/2018 1:57:00 PM,18.25,19.75,18.25,19.75,125440
11/22/2018 1:56:00 PM,19.3,19.3,16.75,18.15,211280
11/22/2018 1:55:00 PM,20.65,22.25,19.5,19.55,177020
11/22/2018 1:54:00 PM,19.3,22.35,19.3,20.65,205780
11/22/2018 1:53:00 PM,17.85,20.75,17.65,19.8,241440
11/22/2018 1:52:00 PM,15,17.7,14.8,17.45,342480
11/22/2018 1:51:00 PM,23.45,23.45,15.25,15.25,340560
11/22/2018 1:50:00 PM,22.35,25,22.25,23.8,204960
11/22/2018 1:49:00 PM,23.7,25.2,21.7,23.2,201920
11/22/2018 1:48:00 PM,27.05,27.05,23.2,23.75,243860
11/22/2018 1:47:00 PM,27.5,28.8,25.8,27.25,178260
11/22/2018 1:46:00 PM,30,31.75,25.35,26.3,266480
11/22/2018 1:45:00 PM,33.15,34.1,29.75,29.75,319080
11/22/2018 1:44:00 PM,38.65,40.45,32.55,33.5,328040
11/22/2018 1:43:00 PM,32.75,41.15,32.45,38.3,630440
11/22/2018 1:42:00 PM,26.75,33.7,26.55,32.05,279120
11/22/2018 1:41:00 PM,26,29.55,26,26.65,280620
11/22/2018 1:40:00 PM,23.75,26.4,23.25,25.85,156220
11/22/2018 1:39:00 PM,24.45,24.7,21.5,23.5,139020
11/22/2018 1:38:00 PM,25,26.15,22.6,24.5,148960
11/22/2018 1:37:00 PM,25,25.55,23.1,24.8,136560
11/22/2018 1:36:00 PM,26.15,26.65,24.15,24.6,172560
11/22/2018 1:35:00 PM,23.2,26.55,22.7,25.3,185580
11/22/2018 1:34:00 PM,22.2,23.85,21.1,23.15,173880
11/22/2018 1:33:00 PM,25.5,25.6,21.6,22.2,211940
11/22/2018 1:32:00 PM,27.3,27.45,25,26.45,187980
11/22/2018 1:31:00 PM,25.75,31.35,25.6,26.95,422800
11/22/2018 1:30:00 PM,25.5,29.05,24.75,26.3,299540
11/22/2018 1:29:00 PM,26.55,27.5,24,25.05,291700
11/22/2018 1:28:00 PM,22.5,26.35,21.1,26.35,236560
11/22/2018 1:27:00 PM,22.7,22.7,20.2,22.5,155000
11/22/2018 1:26:00 PM,25.3,25.3,22.4,22.75,215860
11/22/2018 1:25:00 PM,21.4,25.05,21,25.05,233600
11/22/2018 1:24:00 PM,19.55,21.3,18.6,21.3,190140
11/22/2018 1:23:00 PM,21.3,22.15,18.35,19.6,204300
11/22/2018 1:22:00 PM,21.85,22.1,20,20.45,226620
11/22/2018 1:21:00 PM,22.25,24.85,21.3,21.6,199580
11/22/2018 1:20:00 PM,21.3,23.55,20.5,21.6,205440
11/22/2018 1:19:00 PM,26.05,27.9,21.7,22,368860
11/22/2018 1:18:00 PM,18.6,26.9,18.6,25.9,519960
