Date,India VIX O,India VIX H,India VIX L,India VIX C,India VIX V
11/22/2018 3:29:00 PM,19.47,19.56,19.04,19.07,0
11/22/2018 3:28:00 PM,19.04,19.5,19.02,19.47,0
11/22/2018 3:27:00 PM,19.05,19.06,19.02,19.04,0
11/22/2018 3:26:00 PM,19.02,19.07,19.01,19.04,0
11/22/2018 3:25:00 PM,18.98,19.04,18.98,19.01,0
11/22/2018 3:24:00 PM,18.96,19.01,18.95,18.99,0
11/22/2018 3:23:00 PM,18.92,18.97,18.92,18.96,0
11/22/2018 3:22:00 PM,19,19.01,18.91,18.91,0
11/22/2018 3:21:00 PM,19.03,19.03,18.98,19,0
11/22/2018 3:20:00 PM,19.13,19.13,18.74,19.03,0
11/22/2018 3:19:00 PM,19.17,19.18,19.11,19.12,0
11/22/2018 3:18:00 PM,19.15,19.18,19.15,19.17,0
11/22/2018 3:17:00 PM,19.17,19.18,19.15,19.15,0
11/22/2018 3:16:00 PM,19.13,19.18,19.13,19.17,0
11/22/2018 3:15:00 PM,19.19,19.19,19.12,19.13,0
11/22/2018 3:14:00 PM,19.26,19.26,19.18,19.18,0
11/22/2018 3:13:00 PM,19.26,19.27,19.22,19.27,0
11/22/2018 3:12:00 PM,19.25,19.29,19.23,19.25,0
11/22/2018 3:11:00 PM,19.24,19.29,19.24,19.25,0
11/22/2018 3:10:00 PM,19.26,19.28,19.24,19.25,0
11/22/2018 3:09:00 PM,19.26,19.28,19.23,19.25,0
11/22/2018 3:08:00 PM,19.22,19.26,19.2,19.25,0
11/22/2018 3:07:00 PM,19.25,19.27,19.2,19.22,0
11/22/2018 3:06:00 PM,19.25,19.27,19.24,19.26,0
11/22/2018 3:05:00 PM,19.26,19.27,19.22,19.24,0
11/22/2018 3:04:00 PM,19.24,19.27,19.23,19.26,0
11/22/2018 3:03:00 PM,19.21,19.25,19.21,19.24,0
11/22/2018 3:02:00 PM,19.2,19.23,19.19,19.23,0
11/22/2018 3:01:00 PM,19.24,19.24,19.18,19.19,0
11/22/2018 3:00:00 PM,19.31,19.31,19.24,19.24,0
11/22/2018 2:59:00 PM,19.34,19.35,19.3,19.32,0
11/22/2018 2:58:00 PM,19.34,19.41,19,19.34,0
11/22/2018 2:57:00 PM,19.33,19.36,19,19.36,0
11/22/2018 2:56:00 PM,19.42,19.42,19.33,19.33,0
11/22/2018 2:55:00 PM,19.42,19.43,19.4,19.43,0
11/22/2018 2:54:00 PM,19.41,19.46,19.41,19.43,0
11/22/2018 2:53:00 PM,19.47,19.49,19.41,19.41,0
11/22/2018 2:52:00 PM,19.5,19.51,19.46,19.47,0
11/22/2018 2:51:00 PM,19.4,19.5,19.39,19.5,0
11/22/2018 2:50:00 PM,19.32,19.43,19.32,19.41,0
11/22/2018 2:49:00 PM,19.3,19.34,19.29,19.32,0
11/22/2018 2:48:00 PM,19.27,19.3,19.25,19.3,0
11/22/2018 2:47:00 PM,19.29,19.3,19.27,19.28,0
11/22/2018 2:46:00 PM,19.29,19.31,19.26,19.29,0
11/22/2018 2:45:00 PM,19.3,19.3,19.25,19.27,0
11/22/2018 2:44:00 PM,19.33,19.34,19.28,19.29,0
11/22/2018 2:43:00 PM,19.33,19.35,19.32,19.33,0
11/22/2018 2:42:00 PM,19.35,19.4,19.33,19.33,0
11/22/2018 2:41:00 PM,19.84,19.86,19.35,19.35,0
11/22/2018 2:40:00 PM,19.78,19.86,19.78,19.84,0
11/22/2018 2:39:00 PM,19.83,19.83,19.77,19.78,0
11/22/2018 2:38:00 PM,19.81,19.83,19.8,19.83,0
11/22/2018 2:37:00 PM,19.78,19.83,19.78,19.82,0
11/22/2018 2:36:00 PM,19.78,19.79,19.75,19.78,0
11/22/2018 2:35:00 PM,19.7,19.78,19.7,19.77,0
11/22/2018 2:34:00 PM,19.72,19.75,19.7,19.7,0
11/22/2018 2:33:00 PM,19.76,19.77,19.71,19.72,0
11/22/2018 2:32:00 PM,19.77,19.78,19.7,19.76,0
11/22/2018 2:31:00 PM,19.71,19.77,19.7,19.77,0
11/22/2018 2:30:00 PM,19.72,19.74,19.68,19.71,0
11/22/2018 2:29:00 PM,19.73,19.74,19.7,19.72,0
11/22/2018 2:28:00 PM,19.7,19.76,19.68,19.73,0
11/22/2018 2:27:00 PM,19.72,19.74,19.68,19.7,0
11/22/2018 2:26:00 PM,19.74,19.75,19.7,19.71,0
11/22/2018 2:25:00 PM,19.74,19.8,19.73,19.73,0
11/22/2018 2:24:00 PM,19.79,19.83,19.75,19.75,0
11/22/2018 2:23:00 PM,19.78,19.85,19.78,19.8,0
11/22/2018 2:22:00 PM,19.8,19.81,19.76,19.76,0
11/22/2018 2:21:00 PM,19.77,19.83,19.74,19.8,0
11/22/2018 2:20:00 PM,19.72,19.77,19.71,19.76,0
