Date,Nifty 50 O,Nifty 50 H,Nifty 50 L,Nifty 50 C,Nifty 50 V
11/22/2018 3:29:00 PM,10522.65,10523.1,10519.8,10522.3,0
11/22/2018 3:28:00 PM,10527.7,10528,10522.05,10522.6,0
11/22/2018 3:27:00 PM,10528.45,10530.05,10527.35,10527.5,0
11/22/2018 3:26:00 PM,10529,10530.2,10527.15,10528.4,0
11/22/2018 3:25:00 PM,10527.1,10529.65,10525.9,10529.05,0
11/22/2018 3:24:00 PM,10525.45,10528.55,10524.95,10527.2,0
11/22/2018 3:23:00 PM,10531.15,10533.2,10524.3,10524.35,0
11/22/2018 3:22:00 PM,10529.7,10534.55,10528.8,10532.3,0
11/22/2018 3:21:00 PM,10528.05,10531.45,10527.25,10530.1,0
11/22/2018 3:20:00 PM,10526.5,10528,10525,10527.5,0
11/22/2018 3:19:00 PM,10523.3,10527.65,10523.15,10526.75,0
11/22/2018 3:18:00 PM,10520.7,10523.45,10520.4,10523.45,0
11/22/2018 3:17:00 PM,10515.05,10519.5,10513.15,10519.3,0
11/22/2018 3:16:00 PM,10518.05,10520.1,10514.35,10515.55,0
11/22/2018 3:15:00 PM,10524.5,10527.35,10519.25,10519.75,0
11/22/2018 3:14:00 PM,10521.1,10525.4,10520.15,10524.3,0
11/22/2018 3:13:00 PM,10518.9,10521.4,10517.85,10521.15,0
11/22/2018 3:12:00 PM,10523.7,10523.7,10518.45,10518.45,0
11/22/2018 3:11:00 PM,10525.15,10525.25,10521.85,10521.85,0
11/22/2018 3:10:00 PM,10527.75,10529.4,10524.85,10524.85,0
11/22/2018 3:09:00 PM,10529.8,10530.2,10527.35,10527.6,0
11/22/2018 3:08:00 PM,10535.4,10535.5,10529.3,10529.85,0
11/22/2018 3:07:00 PM,10534.6,10536.55,10534.3,10535.2,0
11/22/2018 3:06:00 PM,10538.3,10539.45,10534.7,10535.3,0
11/22/2018 3:05:00 PM,10543.6,10544.6,10537.9,10537.9,0
11/22/2018 3:04:00 PM,10545.55,10547.65,10543.35,10543.35,0
11/22/2018 3:03:00 PM,10546.15,10547.9,10544.7,10545.85,0
11/22/2018 3:02:00 PM,10545.7,10547.85,10543.6,10545.95,0
11/22/2018 3:01:00 PM,10540.55,10546.15,10540.45,10545.45,0
11/22/2018 3:00:00 PM,10535.55,10540.55,10535.35,10540.55,0
11/22/2018 2:59:00 PM,10537.6,10537.8,10535.05,10535.9,0
11/22/2018 2:58:00 PM,10537.05,10537.85,10534.7,10537.6,0
11/22/2018 2:57:00 PM,10539.7,10540.6,10536.75,10536.9,0
11/22/2018 2:56:00 PM,10534.8,10539.7,10534.8,10539,0
11/22/2018 2:55:00 PM,10532.4,10534.7,10531.25,10534.7,0
11/22/2018 2:54:00 PM,10532.95,10533.2,10531.4,10532.9,0
11/22/2018 2:53:00 PM,10532.45,10534.6,10532.45,10533.3,0
11/22/2018 2:52:00 PM,10532.3,10533.4,10530.8,10532.45,0
11/22/2018 2:51:00 PM,10537.9,10538.35,10532.3,10532.7,0
11/22/2018 2:50:00 PM,10546.85,10546.85,10537.5,10537.5,0
11/22/2018 2:49:00 PM,10552.5,10552.9,10546.75,10546.8,0
11/22/2018 2:48:00 PM,10552.9,10553.95,10550.9,10551.95,0
11/22/2018 2:47:00 PM,10555.7,10555.7,10552.2,10553.3,0
11/22/2018 2:46:00 PM,10557.7,10559.75,10555.1,10555.1,0
11/22/2018 2:45:00 PM,10554.95,10558.7,10554.8,10557.85,0
11/22/2018 2:44:00 PM,10549.5,10554.95,10549.2,10554.95,0
11/22/2018 2:43:00 PM,10549,10549.65,10547.85,10549.65,0
11/22/2018 2:42:00 PM,10549.8,10549.8,10548.1,10549.05,0
11/22/2018 2:41:00 PM,10548,10549.55,10547.4,10549.25,0
11/22/2018 2:40:00 PM,10556.05,10556.45,10547.55,10548,0
11/22/2018 2:39:00 PM,10555.85,10556.65,10555.2,10555.95,0
11/22/2018 2:38:00 PM,10553.35,10557.3,10552.65,10556.1,0
11/22/2018 2:37:00 PM,10556.6,10556.6,10553.25,10554.1,0
11/22/2018 2:36:00 PM,10560.2,10560.35,10555.9,10556.3,0
11/22/2018 2:35:00 PM,10563.1,10563.3,10559.95,10560.35,0
11/22/2018 2:34:00 PM,10561.7,10563.1,10560.85,10562.4,0
11/22/2018 2:33:00 PM,10559.5,10562.6,10559.3,10561.35,0
11/22/2018 2:32:00 PM,10559.7,10560,10558.05,10559.35,0
11/22/2018 2:31:00 PM,10564.25,10564.35,10559.8,10559.8,0
11/22/2018 2:30:00 PM,10569.6,10569.95,10563.9,10563.95,0
11/22/2018 2:29:00 PM,10569.75,10570.9,10569.05,10569.45,0
11/22/2018 2:28:00 PM,10572.6,10573.8,10568.5,10569.7,0
11/22/2018 2:27:00 PM,10571.1,10572.95,10570.6,10572.9,0
11/22/2018 2:26:00 PM,10569.65,10571.05,10569.2,10570.7,0
11/22/2018 2:25:00 PM,10572.15,10572.15,10568.4,10569.9,0
11/22/2018 2:24:00 PM,10576.1,10576.1,10572.2,10572.2,0
11/22/2018 2:23:00 PM,10577.4,10577.4,10573.65,10575.7,0
11/22/2018 2:22:00 PM,10577.75,10579.95,10577.75,10578,0
11/22/2018 2:21:00 PM,10582.7,10583.75,10575.4,10577.65,0
11/22/2018 2:20:00 PM,10581.8,10584,10581.8,10582.9,0
11/22/2018 2:19:00 PM,10576.45,10581.7,10576.45,10581.7,0
11/22/2018 2:18:00 PM,10573.35,10576.2,10572.45,10576,0
11/22/2018 2:17:00 PM,10569.4,10573.35,10569.4,10573.35,0
11/22/2018 2:16:00 PM,10567.25,10569.45,10567,10569,0
11/22/2018 2:15:00 PM,10569.85,10570.65,10566.6,10567.15,0
11/22/2018 2:14:00 PM,10573.2,10573.35,10570.95,10570.95,0
11/22/2018 2:13:00 PM,10574.65,10574.85,10572.75,10572.85,0
11/22/2018 2:12:00 PM,10572.7,10574.55,10572.7,10574.55,0
11/22/2018 2:11:00 PM,10573.25,10573.5,10571.5,10572.85,0
11/22/2018 2:10:00 PM,10579,10579.75,10572.75,10573.05,0
11/22/2018 2:09:00 PM,10581.75,10582.55,10578.15,10578.55,0
