Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
11/22/2018 3:29:00 PM,25995.6,26006.8,25985,26004.3,0
11/22/2018 3:28:00 PM,26006.9,26024.75,25995.45,25995.6,0
11/22/2018 3:27:00 PM,26009.7,26016.75,26004.25,26005.95,0
11/22/2018 3:26:00 PM,25996.4,26012.65,25996.4,26006.75,0
11/22/2018 3:25:00 PM,25985.75,26003.85,25976.05,25998.65,0
11/22/2018 3:24:00 PM,25982.85,25988.25,25975.2,25987.15,0
11/22/2018 3:23:00 PM,26004.7,26005.85,25979.75,25981.4,0
11/22/2018 3:22:00 PM,26008.85,26017.35,26001.65,26006.25,0
11/22/2018 3:21:00 PM,25998.05,26014.6,25994.15,26011.1,0
11/22/2018 3:20:00 PM,25985.8,25997.9,25978.15,25995,0
11/22/2018 3:19:00 PM,25979.2,25991.45,25971.9,25985.65,0
11/22/2018 3:18:00 PM,25968.6,25980.85,25966.15,25980.85,0
11/22/2018 3:17:00 PM,25967.4,25978.05,25951.35,25973.6,0
11/22/2018 3:16:00 PM,25980.45,25980.65,25959.7,25969.6,0
11/22/2018 3:15:00 PM,25998.9,25999.85,25976.15,25981.4,0
11/22/2018 3:14:00 PM,25994.15,26000.7,25988.2,25999.25,0
11/22/2018 3:13:00 PM,25990.8,25997.5,25985.1,25993.7,0
11/22/2018 3:12:00 PM,26001.95,26001.95,25987.25,25988.55,0
11/22/2018 3:11:00 PM,25996.95,25997.1,25988.25,25993.4,0
11/22/2018 3:10:00 PM,25996.95,26002.15,25986.9,25995.75,0
11/22/2018 3:09:00 PM,26004.9,26011.55,25994.2,25996.3,0
11/22/2018 3:08:00 PM,26032.65,26034.85,26000.45,26004.05,0
11/22/2018 3:07:00 PM,26039.8,26039.8,26031.1,26033.2,0
11/22/2018 3:06:00 PM,26045.95,26051.25,26034.9,26037.35,0
11/22/2018 3:05:00 PM,26068.1,26074.05,26044.35,26044.35,0
11/22/2018 3:04:00 PM,26068.7,26076.4,26063.8,26067.15,0
11/22/2018 3:03:00 PM,26071.15,26079.85,26057.9,26070.6,0
