Date,BANKNIFTY06DEC1826800CE O,BANKNIFTY06DEC1826800CE H,BANKNIFTY06DEC1826800CE L,BANKNIFTY06DEC1826800CE C,BANKNIFTY06DEC1826800CE V
12/3/2018 3:29:00 PM,240,242,237,240,10120
12/3/2018 3:28:00 PM,239.9,242,239.5,241.1,13360
12/3/2018 3:27:00 PM,238.9,240.65,238.45,240,7060
12/3/2018 3:26:00 PM,237.55,239,236.9,238.6,5800
12/3/2018 3:25:00 PM,236.5,237.6,236,237.6,4900
12/3/2018 3:24:00 PM,236.65,238.15,235.55,235.95,2940
12/3/2018 3:23:00 PM,237,238.75,234.65,236,6340
12/3/2018 3:22:00 PM,238.7,240,236.1,237,7980
12/3/2018 3:21:00 PM,241.25,242.65,237.45,238,6980
12/3/2018 3:20:00 PM,240.05,242.95,238.4,241.1,13300
12/3/2018 3:19:00 PM,241.65,242,239.05,240.4,5380
12/3/2018 3:18:00 PM,242,242.9,240.45,241.65,5380
12/3/2018 3:17:00 PM,243.55,243.85,239.65,242,7060
12/3/2018 3:16:00 PM,240.55,244.1,240.55,243.55,8940
12/3/2018 3:15:00 PM,242,244.1,240.9,240.9,17620
12/3/2018 3:14:00 PM,240,242,239.1,241,7340
12/3/2018 3:13:00 PM,236.95,240,236.8,240,9720
12/3/2018 3:12:00 PM,238.05,238.8,236.55,236.95,1540
12/3/2018 3:11:00 PM,237.9,238.8,234.95,238.05,3180
12/3/2018 3:10:00 PM,235,238.9,234,237.9,2980
12/3/2018 3:09:00 PM,239.8,241.45,235,235.6,2540
12/3/2018 3:08:00 PM,242.45,243.95,239.5,240.1,1720
12/3/2018 3:07:00 PM,242.5,243.35,240.25,242.45,2540
12/3/2018 3:06:00 PM,244,244,238.7,241.1,3940
12/3/2018 3:05:00 PM,237.3,243.85,235.5,243.85,2620
12/3/2018 3:04:00 PM,239.9,242,235.8,237.6,3500
12/3/2018 3:03:00 PM,233.1,239.9,232.9,239.9,2000
12/3/2018 3:02:00 PM,238.2,239.35,233.25,234.2,2140
12/3/2018 3:01:00 PM,245.95,245.95,235.65,237,5380
12/3/2018 3:00:00 PM,247.35,247.35,243.1,244.85,4140
12/3/2018 2:59:00 PM,237.95,248.25,237.5,247.35,4600
12/3/2018 2:58:00 PM,235.95,237.95,235,237.95,1840
12/3/2018 2:57:00 PM,237.3,237.3,235.5,235.95,920
12/3/2018 2:56:00 PM,237.4,237.85,234.65,237.3,980
12/3/2018 2:55:00 PM,238.9,240.8,236.75,237.4,1880
12/3/2018 2:54:00 PM,237.3,240.7,234.65,238.9,2120
12/3/2018 2:53:00 PM,238.2,238.2,233.95,237.3,1080
12/3/2018 2:52:00 PM,240.7,242.05,236.55,238.2,1280
12/3/2018 2:51:00 PM,244.1,244.1,240.65,240.7,1380
12/3/2018 2:50:00 PM,242.9,244.85,240.7,244.1,1200
12/3/2018 2:49:00 PM,237.05,242.9,237.05,242.9,1520
12/3/2018 2:48:00 PM,233.3,237.05,231.35,237.05,1320
12/3/2018 2:47:00 PM,235.3,235.3,231.3,233.3,1320
12/3/2018 2:46:00 PM,234,237.35,234,235.3,800
12/3/2018 2:45:00 PM,235.9,238.7,233.25,234,1940
12/3/2018 2:44:00 PM,233.3,236,232,236,420
12/3/2018 2:43:00 PM,231,235,229.3,233.3,4160
12/3/2018 2:42:00 PM,233,233,227.95,231,1540
12/3/2018 2:41:00 PM,235.05,235.75,231.7,233,1540
12/3/2018 2:40:00 PM,238.95,238.95,235.05,235.05,320
12/3/2018 2:39:00 PM,236.25,242.85,235.75,238.95,2320
12/3/2018 2:38:00 PM,236.5,237.95,233.05,236.25,2220
12/3/2018 2:37:00 PM,238,239.25,232.55,239.2,4120
12/3/2018 2:36:00 PM,244.35,244.35,238,238,4180
12/3/2018 2:35:00 PM,241.95,246.15,241.95,244.35,2980
12/3/2018 2:34:00 PM,241.05,242.5,240.85,241.95,2860
12/3/2018 2:33:00 PM,240.45,242.8,240.45,241.05,1780
12/3/2018 2:32:00 PM,237.4,242,237.25,240.45,4840
12/3/2018 2:31:00 PM,237.5,239.6,234.25,237.4,5060
12/3/2018 2:30:00 PM,227.35,237,225.65,236.55,4720
12/3/2018 2:29:00 PM,229.8,230.25,222.85,227.95,5920
12/3/2018 2:28:00 PM,234.55,235.45,226.75,229.8,9180
12/3/2018 2:27:00 PM,234.55,236.95,233.1,234.55,2520
12/3/2018 2:26:00 PM,236.55,237.9,234.35,234.85,3140
12/3/2018 2:25:00 PM,243,243,236.3,236.55,2140
12/3/2018 2:24:00 PM,244.6,245.05,242.1,243,700
12/3/2018 2:23:00 PM,246.4,247.1,243.5,244.6,3600
12/3/2018 2:22:00 PM,246.45,247.3,244.6,246.4,2540
12/3/2018 2:21:00 PM,250.15,250.15,246.45,246.45,1900
12/3/2018 2:20:00 PM,250,250.1,248,250,2520
12/3/2018 2:19:00 PM,252.75,253.95,248,250,2620
12/3/2018 2:18:00 PM,249.5,255,249.45,252.75,7740
