Date,BANKNIFTY18DECFUT O,BANKNIFTY18DECFUT H,BANKNIFTY18DECFUT L,BANKNIFTY18DECFUT C,BANKNIFTY18DECFUT V
12/3/2018 3:29:00 PM,26965.4,26966.6,26960,26965.05,13640
12/3/2018 3:28:00 PM,26962.15,26966,26962,26965.8,10180
12/3/2018 3:27:00 PM,26960.3,26965,26960.05,26962.05,18140
12/3/2018 3:26:00 PM,26959.65,26961.1,26958,26960.5,12480
12/3/2018 3:25:00 PM,26956.2,26960,26956,26959.15,11560
12/3/2018 3:24:00 PM,26952.55,26960,26952.55,26957,4460
12/3/2018 3:23:00 PM,26956.15,26961.9,26952.6,26952.6,14400
12/3/2018 3:22:00 PM,26960,26962.95,26955,26956.15,10700
12/3/2018 3:21:00 PM,26963.95,26965.2,26955,26959,7800
12/3/2018 3:20:00 PM,26961.4,26965.85,26955.15,26963.95,21980
12/3/2018 3:19:00 PM,26960.55,26963,26956.1,26961.5,7720
12/3/2018 3:18:00 PM,26962.6,26963.75,26955.1,26962,6320
12/3/2018 3:17:00 PM,26963.55,26965.95,26956.1,26961.7,6440
12/3/2018 3:16:00 PM,26960.05,26966.2,26960,26965,12660
12/3/2018 3:15:00 PM,26961,26969.8,26960,26960.05,14820
12/3/2018 3:14:00 PM,26959,26962.5,26956.75,26962.25,10500
12/3/2018 3:13:00 PM,26952,26958.95,26951,26958.95,3360
12/3/2018 3:12:00 PM,26951.05,26955,26951.05,26952,1680
12/3/2018 3:11:00 PM,26954.6,26954.65,26946.2,26954.65,1900
12/3/2018 3:10:00 PM,26950.15,26954.6,26945,26954.6,3400
12/3/2018 3:09:00 PM,26955.1,26958.2,26948,26950,3000
12/3/2018 3:08:00 PM,26963.55,26963.55,26956.25,26957.25,4120
12/3/2018 3:07:00 PM,26959,26962.5,26955,26962.2,5060
12/3/2018 3:06:00 PM,26963,26963.95,26953,26959,2780
12/3/2018 3:05:00 PM,26948.25,26963,26948.25,26963,2240
12/3/2018 3:04:00 PM,26955,26960.75,26945.4,26945.4,2460
12/3/2018 3:03:00 PM,26946.95,26955,26943.05,26955,2840
12/3/2018 3:02:00 PM,26949.75,26952.85,26945,26945,1400
12/3/2018 3:01:00 PM,26965,26967.8,26945.6,26949.75,2700
12/3/2018 3:00:00 PM,26969,26969.8,26957.55,26965,4360
12/3/2018 2:59:00 PM,26950,26971.5,26948.1,26969,6280
12/3/2018 2:58:00 PM,26946,26950,26944.2,26950,1220
12/3/2018 2:57:00 PM,26942.85,26948.95,26942,26946,1020
12/3/2018 2:56:00 PM,26945.55,26950,26942,26942.85,1880
12/3/2018 2:55:00 PM,26949.35,26952,26944.4,26945.55,1380
12/3/2018 2:54:00 PM,26944.85,26952,26937.55,26949.35,4340
12/3/2018 2:53:00 PM,26947.85,26947.85,26937.55,26944.85,2160
12/3/2018 2:52:00 PM,26952.2,26958.3,26944.2,26947.85,2960
12/3/2018 2:51:00 PM,26959.9,26960,26950.9,26952.2,1920
12/3/2018 2:50:00 PM,26957,26961,26955.05,26959.9,4280
12/3/2018 2:49:00 PM,26942,26956,26942,26956,5680
12/3/2018 2:48:00 PM,26933.45,26942,26933,26942,1200
12/3/2018 2:47:00 PM,26940.6,26940.6,26932.2,26933.45,2380
12/3/2018 2:46:00 PM,26939.9,26945,26937.15,26940.6,1200
12/3/2018 2:45:00 PM,26940,26945,26939.1,26939.9,1700
12/3/2018 2:44:00 PM,26937.35,26940,26932,26940,1180
12/3/2018 2:43:00 PM,26933,26939.95,26930,26939.95,1980
12/3/2018 2:42:00 PM,26935,26935,26927.15,26933,2420
12/3/2018 2:41:00 PM,26941.8,26943.85,26932.45,26935,1400
12/3/2018 2:40:00 PM,26949.9,26949.9,26941.8,26941.8,560
12/3/2018 2:39:00 PM,26943.15,26953,26943.15,26948.1,3400
12/3/2018 2:38:00 PM,26945,26947.95,26936.25,26943.15,1680
12/3/2018 2:37:00 PM,26946.3,26950,26936.7,26950,4880
12/3/2018 2:36:00 PM,26955.5,26956.6,26943.4,26951.55,5140
12/3/2018 2:35:00 PM,26953.4,26962.5,26950.05,26955.5,2820
12/3/2018 2:34:00 PM,26951.85,26954.25,26946.2,26952.95,1460
12/3/2018 2:33:00 PM,26950.5,26953.7,26946.25,26952.95,2340
12/3/2018 2:32:00 PM,26940.15,26952,26940.15,26950.5,3040
12/3/2018 2:31:00 PM,26945.95,26948.9,26936.45,26942,3500
12/3/2018 2:30:00 PM,26920.05,26945.95,26920,26945.95,5260
12/3/2018 2:29:00 PM,26929,26930.05,26915,26920.05,13260
12/3/2018 2:28:00 PM,26938.15,26940.9,26923.45,26929,13780
12/3/2018 2:27:00 PM,26938.6,26944,26936.75,26938.15,2840
12/3/2018 2:26:00 PM,26941.05,26946,26936.75,26940.95,4140
12/3/2018 2:25:00 PM,26950.05,26954.55,26940.55,26941.05,2100
12/3/2018 2:24:00 PM,26959.95,26959.95,26950.05,26950.05,1720
