Date,BANKNIFTY19JANFUT O,BANKNIFTY19JANFUT H,BANKNIFTY19JANFUT L,BANKNIFTY19JANFUT C,BANKNIFTY19JANFUT V
12/3/2018 3:29:00 PM,27043.65,27043.65,27035.2,27035.2,100
12/3/2018 3:28:00 PM,27039.85,27048.7,27039.85,27043.65,80
12/3/2018 3:27:00 PM,27037.4,27041,27037.4,27039.85,580
12/3/2018 3:26:00 PM,27035.7,27037.4,27035.7,27037.4,20
12/3/2018 3:25:00 PM,27035.7,27035.7,27035.7,27035.7,0
12/3/2018 3:24:00 PM,27035.7,27035.7,27035.7,27035.7,0
12/3/2018 3:23:00 PM,27045,27045,27035.7,27035.7,60
12/3/2018 3:22:00 PM,27045,27045,27045,27045,0
12/3/2018 3:21:00 PM,27045,27045,27045,27045,0
12/3/2018 3:20:00 PM,27041,27045,27041,27045,80
12/3/2018 3:19:00 PM,27040,27041,27040,27041,20
12/3/2018 3:18:00 PM,27040,27040,27040,27040,0
12/3/2018 3:17:00 PM,27040,27040,27040,27040,20
12/3/2018 3:16:00 PM,27040,27040,27040,27040,0
12/3/2018 3:15:00 PM,27038,27040,27038,27040,220
12/3/2018 3:14:00 PM,27038,27038,27038,27038,20
12/3/2018 3:13:00 PM,27050.15,27050.15,27038,27038,20
12/3/2018 3:12:00 PM,27050.15,27050.15,27050.15,27050.15,0
12/3/2018 3:11:00 PM,27050.15,27050.15,27050.15,27050.15,0
12/3/2018 3:10:00 PM,27050.15,27050.15,27050.15,27050.15,0
12/3/2018 3:09:00 PM,27050.15,27050.15,27050.15,27050.15,0
12/3/2018 3:08:00 PM,27041.15,27050.15,27041.15,27050.15,40
12/3/2018 3:07:00 PM,27041.15,27041.15,27041.15,27041.15,0
12/3/2018 3:06:00 PM,27041.15,27041.15,27041.15,27041.15,0
12/3/2018 3:05:00 PM,27030,27041.15,27030,27041.15,80
12/3/2018 3:04:00 PM,27030,27030,27030,27030,0
12/3/2018 3:03:00 PM,27041.15,27041.15,27030,27030,60
12/3/2018 3:02:00 PM,27041.15,27041.15,27041.15,27041.15,0
12/3/2018 3:01:00 PM,27030,27041.15,27030,27041.15,20
12/3/2018 3:00:00 PM,27030,27030,27030,27030,0
12/3/2018 2:59:00 PM,27024.8,27030,27024.8,27030,20
12/3/2018 2:58:00 PM,27024.8,27024.8,27024.8,27024.8,0
12/3/2018 2:57:00 PM,27021.15,27024.8,27021.15,27024.8,20
12/3/2018 2:56:00 PM,27021.15,27021.15,27021.15,27021.15,0
12/3/2018 2:55:00 PM,27021.15,27021.15,27021.15,27021.15,0
12/3/2018 2:54:00 PM,27021.15,27021.15,27021.15,27021.15,0
12/3/2018 2:53:00 PM,27030,27030,27021.15,27021.15,20
12/3/2018 2:52:00 PM,27030,27030,27030,27030,0
12/3/2018 2:51:00 PM,27030,27030,27030,27030,0
12/3/2018 2:50:00 PM,27030,27030,27030,27030,0
12/3/2018 2:49:00 PM,27030,27030,27030,27030,0
12/3/2018 2:48:00 PM,27030,27030,27030,27030,0
12/3/2018 2:47:00 PM,27030,27030,27030,27030,0
12/3/2018 2:46:00 PM,27030,27030,27030,27030,0
12/3/2018 2:45:00 PM,27030,27030,27030,27030,0
12/3/2018 2:44:00 PM,27030,27030,27030,27030,0
12/3/2018 2:43:00 PM,27030,27030,27030,27030,0
12/3/2018 2:42:00 PM,27030,27030,27030,27030,0
12/3/2018 2:41:00 PM,27030,27030,27030,27030,0
12/3/2018 2:40:00 PM,27030,27030,27030,27030,0
12/3/2018 2:39:00 PM,27030,27030,27030,27030,0
12/3/2018 2:38:00 PM,27035,27035,27030,27030,20
12/3/2018 2:37:00 PM,27035,27035,27035,27035,0
12/3/2018 2:36:00 PM,27035,27035,27035,27035,0
12/3/2018 2:35:00 PM,27035,27035,27035,27035,0
12/3/2018 2:34:00 PM,27035,27035,27035,27035,0
12/3/2018 2:33:00 PM,27030.3,27035,27030.3,27035,20
12/3/2018 2:32:00 PM,27030.3,27030.3,27030.3,27030.3,0
12/3/2018 2:31:00 PM,27011.65,27030.3,27011.65,27030.3,220
12/3/2018 2:30:00 PM,27010,27011.65,27010,27011.65,20
12/3/2018 2:29:00 PM,27010,27010,27005,27010,60
12/3/2018 2:28:00 PM,27026.3,27026.3,27010,27010,20
12/3/2018 2:27:00 PM,27026.3,27026.3,27026.3,27026.3,0
12/3/2018 2:26:00 PM,27050.3,27050.3,27026.3,27026.3,20
12/3/2018 2:25:00 PM,27050.3,27050.3,27050.3,27050.3,0
12/3/2018 2:24:00 PM,27050.3,27050.3,27050.3,27050.3,0
12/3/2018 2:23:00 PM,27050.3,27050.3,27050.3,27050.3,0
12/3/2018 2:22:00 PM,27043,27050.3,27043,27050.3,20
12/3/2018 2:21:00 PM,27056,27056,27043,27043,40
12/3/2018 2:20:00 PM,27056,27056,27056,27056,0
12/3/2018 2:19:00 PM,27056,27056,27056,27056,0
12/3/2018 2:18:00 PM,27056.5,27056.5,27056,27056,20
12/3/2018 2:17:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:16:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:15:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:14:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:13:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:12:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:11:00 PM,27056.5,27056.5,27056.5,27056.5,0
12/3/2018 2:10:00 PM,27047.85,27056.5,27047.85,27056.5,100
12/3/2018 2:09:00 PM,27027.95,27047.85,27027.95,27047.85,500
12/3/2018 2:08:00 PM,27027.95,27027.95,27027.95,27027.95,0
12/3/2018 2:07:00 PM,27027.95,27027.95,27027.95,27027.95,0
12/3/2018 2:06:00 PM,27027.95,27027.95,27027.95,27027.95,0
12/3/2018 2:05:00 PM,27027.95,27027.95,27027.95,27027.95,0
12/3/2018 2:04:00 PM,27017.15,27027.95,27017.05,27027.95,100
12/3/2018 2:03:00 PM,27044.05,27044.05,27017.1,27017.15,340
12/3/2018 2:02:00 PM,27044.05,27044.05,27044.05,27044.05,20
12/3/2018 2:01:00 PM,27062,27062,27044.05,27044.05,200
12/3/2018 2:00:00 PM,27062,27062,27062,27062,60
12/3/2018 1:59:00 PM,27058,27062,27058,27062,540
12/3/2018 1:58:00 PM,27074,27074,27058,27058,20
12/3/2018 1:57:00 PM,27074,27074,27074,27074,0
12/3/2018 1:56:00 PM,27074,27074,27074,27074,0
12/3/2018 1:55:00 PM,27074,27074,27074,27074,0
12/3/2018 1:54:00 PM,27074,27074,27074,27074,0
12/3/2018 1:53:00 PM,27074,27074,27074,27074,0
12/3/2018 1:52:00 PM,27074,27074,27074,27074,0
12/3/2018 1:51:00 PM,27074,27074,27074,27074,0
12/3/2018 1:50:00 PM,27074,27074,27074,27074,0
12/3/2018 1:49:00 PM,27070,27074.4,27070,27074,220
12/3/2018 1:48:00 PM,27065,27070,27065,27070,80
12/3/2018 1:47:00 PM,27065,27065,27065,27065,0
12/3/2018 1:46:00 PM,27065,27065,27065,27065,0
12/3/2018 1:45:00 PM,27050,27065,27050,27065,20
12/3/2018 1:44:00 PM,27056.8,27056.8,27050,27050,20
12/3/2018 1:43:00 PM,27060,27060,27056.8,27056.8,40
12/3/2018 1:42:00 PM,27062.7,27062.7,27060,27060,80
12/3/2018 1:41:00 PM,27060,27064.95,27060,27062.7,100
12/3/2018 1:40:00 PM,27053.3,27056.95,27052,27056.95,80
12/3/2018 1:39:00 PM,27026,27053.3,27026,27053.3,120
12/3/2018 1:38:00 PM,27026,27026,27026,27026,0
