Date,NIFTY18DEC10950CE O,NIFTY18DEC10950CE H,NIFTY18DEC10950CE L,NIFTY18DEC10950CE C,NIFTY18DEC10950CE V
12/3/2018 3:29:00 PM,179.45,179.9,178.95,179.9,3525
12/3/2018 3:28:00 PM,179.5,179.55,179.15,179.45,2175
12/3/2018 3:27:00 PM,179.7,179.7,179.15,179.5,1725
12/3/2018 3:26:00 PM,179.35,179.9,179.15,179.15,2550
12/3/2018 3:25:00 PM,179,179.45,178.65,179.35,1350
12/3/2018 3:24:00 PM,179,179.6,179,179,2175
12/3/2018 3:23:00 PM,179.2,179.95,179,179,1650
12/3/2018 3:22:00 PM,179.45,179.6,178.55,179.2,2550
12/3/2018 3:21:00 PM,179,179.8,178.5,179.45,3900
12/3/2018 3:20:00 PM,178.3,179,177.25,178.85,5100
12/3/2018 3:19:00 PM,179,179.8,178.2,178.2,2625
12/3/2018 3:18:00 PM,180,180,178.75,179,3975
12/3/2018 3:17:00 PM,179.5,180.4,179.2,180,3300
12/3/2018 3:16:00 PM,177.3,179.5,177.3,179.5,4425
12/3/2018 3:15:00 PM,177.8,177.95,177,177.3,4800
12/3/2018 3:14:00 PM,176.4,177.8,176.4,177.8,1125
12/3/2018 3:13:00 PM,173.45,176.4,173.45,176.4,1875
12/3/2018 3:12:00 PM,174.9,174.9,173.45,173.45,1350
12/3/2018 3:11:00 PM,174.95,174.95,173.5,174.75,1125
12/3/2018 3:10:00 PM,173.85,175,173.85,174.95,525
12/3/2018 3:09:00 PM,173.9,175,173.85,173.85,675
12/3/2018 3:08:00 PM,175.3,175.4,173.9,173.9,525
12/3/2018 3:07:00 PM,175.5,175.5,175,175.3,675
12/3/2018 3:06:00 PM,176.15,176.15,175.5,175.5,300
12/3/2018 3:05:00 PM,174.25,175.45,174.25,174.7,225
12/3/2018 3:04:00 PM,173,175.6,173,174.25,4350
12/3/2018 3:03:00 PM,172.45,173.25,172.1,173,300
12/3/2018 3:02:00 PM,172.55,173.7,172.45,172.45,1650
12/3/2018 3:01:00 PM,176.15,176.15,172.55,172.55,1125
