Date,NIFTY18DECFUT O,NIFTY18DECFUT H,NIFTY18DECFUT L,NIFTY18DECFUT C,NIFTY18DECFUT V
12/3/2018 3:29:00 PM,10928.35,10931.5,10928.35,10931,103950
12/3/2018 3:28:00 PM,10928.15,10929,10927.05,10928.6,54825
12/3/2018 3:27:00 PM,10928.65,10929.65,10928,10928.45,46125
12/3/2018 3:26:00 PM,10928,10929.85,10927.15,10928.35,46950
12/3/2018 3:25:00 PM,10926.1,10927.3,10926,10927,31275
12/3/2018 3:24:00 PM,10927.35,10927.6,10926.05,10926.65,22500
12/3/2018 3:23:00 PM,10927.55,10929.75,10926,10927.45,48975
12/3/2018 3:22:00 PM,10927.1,10929.9,10926.05,10927.55,30300
12/3/2018 3:21:00 PM,10926.9,10929,10924.85,10927.1,33600
12/3/2018 3:20:00 PM,10926,10927.75,10922.5,10925.55,41550
12/3/2018 3:19:00 PM,10927.75,10928,10925.65,10927,23775
12/3/2018 3:18:00 PM,10928.95,10929.65,10925.6,10927.75,27600
12/3/2018 3:17:00 PM,10930,10930,10926.35,10927.3,33000
12/3/2018 3:16:00 PM,10923.8,10930,10923.15,10929,90675
12/3/2018 3:15:00 PM,10923.45,10924,10921.45,10923.95,36525
12/3/2018 3:14:00 PM,10920.95,10924,10920.95,10923.45,34425
12/3/2018 3:13:00 PM,10917,10921.95,10916,10921.8,53850
12/3/2018 3:12:00 PM,10915,10917,10913.45,10917,15675
12/3/2018 3:11:00 PM,10914.55,10915,10910.5,10915,35850
12/3/2018 3:10:00 PM,10914,10915,10911.65,10914.55,23925
12/3/2018 3:09:00 PM,10914.9,10917,10912.3,10914,16200
12/3/2018 3:08:00 PM,10917.4,10917.4,10914,10914.95,17550
12/3/2018 3:07:00 PM,10917.4,10918,10915.4,10917.4,14250
12/3/2018 3:06:00 PM,10917.5,10918,10913.05,10917.4,18000
12/3/2018 3:05:00 PM,10913,10917.4,10912.5,10917.4,17250
12/3/2018 3:04:00 PM,10913.85,10917.4,10912.25,10913,15675
12/3/2018 3:03:00 PM,10910.5,10913.9,10908.55,10913.85,11475
12/3/2018 3:02:00 PM,10914.4,10915,10908.15,10910.5,14250
12/3/2018 3:01:00 PM,10918,10918.25,10910.6,10914.4,18825
12/3/2018 3:00:00 PM,10915,10918,10915,10918,20100
12/3/2018 2:59:00 PM,10905,10916.55,10905,10915,37050
12/3/2018 2:58:00 PM,10905,10905.75,10903.6,10905,10875
12/3/2018 2:57:00 PM,10906,10906,10902.3,10905,6300
12/3/2018 2:56:00 PM,10905.9,10906.95,10902.65,10906,15750
12/3/2018 2:55:00 PM,10907.95,10907.95,10905.05,10906.75,2775
12/3/2018 2:54:00 PM,10901.2,10908.05,10901.2,10907.95,5475
