Date,NIFTY19JANFUT O,NIFTY19JANFUT H,NIFTY19JANFUT L,NIFTY19JANFUT C,NIFTY19JANFUT V
12/3/2018 3:29:00 PM,10973,10975.55,10973,10975.55,2025
12/3/2018 3:28:00 PM,10973,10974,10973,10973,750
12/3/2018 3:27:00 PM,10973.5,10973.95,10973,10973,750
12/3/2018 3:26:00 PM,10971.85,10973.5,10971.85,10973.5,900
12/3/2018 3:25:00 PM,10968.35,10971,10968.35,10971,450
12/3/2018 3:24:00 PM,10971,10971.55,10968.35,10968.35,1350
12/3/2018 3:23:00 PM,10973,10974,10971,10971,225
12/3/2018 3:22:00 PM,10972,10974,10972,10973,450
12/3/2018 3:21:00 PM,10969.5,10972,10969.5,10972,300
12/3/2018 3:20:00 PM,10970.05,10971.95,10969,10969.5,375
12/3/2018 3:19:00 PM,10972.15,10972.15,10970.05,10970.05,300
12/3/2018 3:18:00 PM,10974,10974,10971.5,10972.15,675
12/3/2018 3:17:00 PM,10974,10974,10973.95,10974,300
12/3/2018 3:16:00 PM,10965.65,10974,10965.65,10974,1425
12/3/2018 3:15:00 PM,10969,10969,10965.65,10965.65,375
12/3/2018 3:14:00 PM,10965,10969,10965,10969,75
12/3/2018 3:13:00 PM,10959.5,10965,10959.5,10965,525
12/3/2018 3:12:00 PM,10958,10960,10958,10959.5,375
12/3/2018 3:11:00 PM,10958.95,10959.5,10957,10958,375
12/3/2018 3:10:00 PM,10959,10959,10958.95,10958.95,75
12/3/2018 3:09:00 PM,10960.95,10960.95,10959,10959,75
12/3/2018 3:08:00 PM,10960,10960.95,10959.5,10960.95,225
12/3/2018 3:07:00 PM,10960.5,10961,10960,10960,300
12/3/2018 3:06:00 PM,10961.05,10963.5,10960,10960.5,450
12/3/2018 3:05:00 PM,10962.25,10962.25,10958.55,10961.05,2250
12/3/2018 3:04:00 PM,10956.5,10962.25,10956.5,10962.25,150
12/3/2018 3:03:00 PM,10955.95,10956.5,10955.95,10956.5,600
12/3/2018 3:02:00 PM,10959.5,10959.5,10954.5,10955.95,975
12/3/2018 3:01:00 PM,10962,10963.45,10959.5,10959.5,225
12/3/2018 3:00:00 PM,10962.35,10962.35,10962,10962,75
12/3/2018 2:59:00 PM,10949.5,10962.35,10949.5,10962.35,300
12/3/2018 2:58:00 PM,10948,10949.5,10948,10949.5,600
12/3/2018 2:57:00 PM,10948,10948,10948,10948,0
12/3/2018 2:56:00 PM,10953.5,10953.5,10948,10948,75
12/3/2018 2:55:00 PM,10950.05,10953.5,10950.05,10953.5,450
12/3/2018 2:54:00 PM,10949.9,10950.05,10949.9,10950.05,75
12/3/2018 2:53:00 PM,10953,10953,10948.05,10949.9,600
12/3/2018 2:52:00 PM,10957.5,10957.5,10953,10953,750
12/3/2018 2:51:00 PM,10954,10957.5,10954,10957.5,225
12/3/2018 2:50:00 PM,10953.35,10955,10953.35,10954,450
12/3/2018 2:49:00 PM,10944,10953.35,10944,10953.35,1125
12/3/2018 2:48:00 PM,10940,10944,10940,10944,225
12/3/2018 2:47:00 PM,10943.3,10943.3,10938,10940,1200
12/3/2018 2:46:00 PM,10943,10945,10943,10943.3,150
12/3/2018 2:45:00 PM,10943,10943,10943,10943,0
12/3/2018 2:44:00 PM,10940,10943,10940,10943,150
12/3/2018 2:43:00 PM,10943,10943,10940,10940,300
12/3/2018 2:42:00 PM,10942.05,10943,10940,10943,150
12/3/2018 2:41:00 PM,10949,10949,10942.05,10942.05,225
12/3/2018 2:40:00 PM,10949.8,10949.8,10949,10949,75
12/3/2018 2:39:00 PM,10947.95,10949.8,10947.95,10949.8,975
12/3/2018 2:38:00 PM,10950,10950,10947.7,10947.95,375
12/3/2018 2:37:00 PM,10954.95,10954.95,10950,10950,75
12/3/2018 2:36:00 PM,10959,10959,10951.8,10954.95,675
12/3/2018 2:35:00 PM,10959.5,10960.45,10959,10959,150
12/3/2018 2:34:00 PM,10954,10959.5,10953.05,10959.5,225
12/3/2018 2:33:00 PM,10949,10954,10949,10954,225
12/3/2018 2:32:00 PM,10949,10949,10949,10949,0
12/3/2018 2:31:00 PM,10950.95,10950.95,10948.15,10949,300
12/3/2018 2:30:00 PM,10939.45,10950.95,10939.45,10950.95,375
12/3/2018 2:29:00 PM,10945,10945,10939.45,10939.45,525
12/3/2018 2:28:00 PM,10948.05,10948.05,10943,10945,225
12/3/2018 2:27:00 PM,10961.05,10961.05,10948.05,10948.05,750
12/3/2018 2:26:00 PM,10961.05,10961.05,10961.05,10961.05,0
12/3/2018 2:25:00 PM,10961.05,10961.05,10961.05,10961.05,0
12/3/2018 2:24:00 PM,10965,10965,10961.05,10961.05,75
12/3/2018 2:23:00 PM,10965,10965,10965,10965,0
12/3/2018 2:22:00 PM,10967.05,10967.05,10965,10965,75
12/3/2018 2:21:00 PM,10967.05,10967.05,10967.05,10967.05,0
12/3/2018 2:20:00 PM,10967.5,10968.5,10967,10967.05,225
12/3/2018 2:19:00 PM,10967,10967.5,10967,10967.5,75
12/3/2018 2:18:00 PM,10967,10967,10967,10967,0
12/3/2018 2:17:00 PM,10968.45,10968.45,10967,10967,225
12/3/2018 2:16:00 PM,10963,10963,10963,10963,0
12/3/2018 2:15:00 PM,10962.5,10963,10962.5,10963,75
12/3/2018 2:14:00 PM,10954,10962.5,10954,10962.5,525
12/3/2018 2:13:00 PM,10954,10954,10954,10954,300
12/3/2018 2:12:00 PM,10954.5,10954.5,10952.7,10954,375
12/3/2018 2:11:00 PM,10960.3,10960.3,10954.5,10954.5,375
12/3/2018 2:10:00 PM,10960.3,10960.3,10960.3,10960.3,0
12/3/2018 2:09:00 PM,10955.05,10960.3,10954,10960.3,450
12/3/2018 2:08:00 PM,10955.05,10955.05,10955.05,10955.05,0
12/3/2018 2:07:00 PM,10955,10955.05,10955,10955.05,150
12/3/2018 2:06:00 PM,10950.6,10955,10950.6,10955,150
12/3/2018 2:05:00 PM,10950.6,10950.6,10950.6,10950.6,0
12/3/2018 2:04:00 PM,10949.05,10951.45,10949.05,10950.6,375
12/3/2018 2:03:00 PM,10959,10959,10949.05,10949.05,1575
12/3/2018 2:02:00 PM,10960.85,10960.85,10957.35,10959,1125
12/3/2018 2:01:00 PM,10964.5,10964.5,10960.85,10960.85,150
12/3/2018 2:00:00 PM,10970.95,10970.95,10964.5,10964.5,825
12/3/2018 1:59:00 PM,10972.15,10972.15,10970.95,10970.95,75
12/3/2018 1:58:00 PM,10974.4,10974.4,10971.5,10972.15,300
12/3/2018 1:57:00 PM,10973.1,10977,10973.1,10974.4,450
12/3/2018 1:56:00 PM,10971,10974.35,10971,10973.1,150
12/3/2018 1:55:00 PM,10971.9,10971.9,10970.95,10971,225
12/3/2018 1:54:00 PM,10971.3,10971.95,10971.3,10971.9,225
12/3/2018 1:53:00 PM,10974.25,10974.25,10971.3,10971.3,1275
12/3/2018 1:52:00 PM,10974,10976,10971.85,10976,1800
12/3/2018 1:51:00 PM,10973,10975.4,10972,10974,900
12/3/2018 1:50:00 PM,10972.5,10973,10970.05,10973,375
12/3/2018 1:49:00 PM,10978.5,10979,10972.5,10972.5,1275
12/3/2018 1:48:00 PM,10975.5,10978.5,10975.5,10978.5,1125
12/3/2018 1:47:00 PM,10972.25,10976,10971.5,10975.5,2625
12/3/2018 1:46:00 PM,10970,10973.45,10970,10972.25,300
12/3/2018 1:45:00 PM,10965,10970,10965,10970,825
12/3/2018 1:44:00 PM,10968.6,10968.6,10962.5,10965,375
12/3/2018 1:43:00 PM,10963.55,10968.6,10963.55,10968.6,75
12/3/2018 1:42:00 PM,10966.95,10966.95,10963.55,10963.55,300
12/3/2018 1:41:00 PM,10964.55,10968.45,10964.55,10966.95,1125
12/3/2018 1:40:00 PM,10957.95,10969.25,10957.95,10964.55,3675
12/3/2018 1:39:00 PM,10958.65,10958.65,10955,10957.95,450
12/3/2018 1:38:00 PM,10948,10958.65,10948,10958.65,975
12/3/2018 1:37:00 PM,10950,10950,10948,10948,150
12/3/2018 1:36:00 PM,10950,10950,10950,10950,0
12/3/2018 1:35:00 PM,10948.5,10950,10948,10950,150
12/3/2018 1:34:00 PM,10949,10949,10948.5,10948.5,225
12/3/2018 1:33:00 PM,10947.5,10949,10947.5,10949,75
12/3/2018 1:32:00 PM,10947.5,10947.5,10947.5,10947.5,0
12/3/2018 1:31:00 PM,10947.5,10947.5,10947.5,10947.5,0
12/3/2018 1:30:00 PM,10947.5,10947.5,10947.5,10947.5,0
12/3/2018 1:29:00 PM,10942.45,10947.5,10942.45,10947.5,225
12/3/2018 1:28:00 PM,10942.45,10942.45,10942.45,10942.45,0
12/3/2018 1:27:00 PM,10948,10948.7,10942.45,10942.45,300
12/3/2018 1:26:00 PM,10945.5,10951.45,10945.5,10948,1125
12/3/2018 1:25:00 PM,10940,10945.5,10940,10945.5,75
12/3/2018 1:24:00 PM,10940,10940,10940,10940,0
12/3/2018 1:23:00 PM,10940,10940,10940,10940,0
12/3/2018 1:22:00 PM,10940,10940,10940,10940,0
12/3/2018 1:21:00 PM,10947,10947,10940,10940,75
12/3/2018 1:20:00 PM,10947,10947,10947,10947,0
12/3/2018 1:19:00 PM,10946.55,10947.05,10946.5,10947,1125
12/3/2018 1:18:00 PM,10940.55,10947.65,10940.55,10946.55,900
12/3/2018 1:17:00 PM,10938.8,10943,10938.8,10940.55,750
12/3/2018 1:16:00 PM,10938.8,10938.8,10938.8,10938.8,75
12/3/2018 1:15:00 PM,10938.5,10938.8,10938.5,10938.8,75
12/3/2018 1:14:00 PM,10938.5,10938.5,10938.5,10938.5,75
12/3/2018 1:13:00 PM,10931.5,10938.95,10931.5,10938.5,975
12/3/2018 1:12:00 PM,10925,10931.5,10925,10931.5,225
12/3/2018 1:11:00 PM,10925,10925,10925,10925,0
12/3/2018 1:10:00 PM,10932.5,10932.5,10925,10925,150
12/3/2018 1:09:00 PM,10932.5,10932.5,10932.5,10932.5,1275
12/3/2018 1:08:00 PM,10932.5,10932.5,10932.5,10932.5,0
12/3/2018 1:07:00 PM,10923.05,10932.5,10923.05,10932.5,75
12/3/2018 1:06:00 PM,10928,10928,10923.05,10923.05,75
12/3/2018 1:05:00 PM,10928,10928,10928,10928,0
12/3/2018 1:04:00 PM,10928,10928,10928,10928,225
12/3/2018 1:03:00 PM,10928,10928,10928,10928,75
12/3/2018 1:02:00 PM,10927,10927,10926.95,10927,150
12/3/2018 1:01:00 PM,10927,10927,10927,10927,0
12/3/2018 1:00:00 PM,10921.05,10927,10921,10927,225
12/3/2018 12:59:00 PM,10920.05,10921.05,10919.1,10921.05,1050
12/3/2018 12:58:00 PM,10928.95,10928.95,10920.05,10920.05,675
12/3/2018 12:57:00 PM,10930,10930,10928.95,10928.95,600
12/3/2018 12:56:00 PM,10927.5,10930,10927.5,10930,525
12/3/2018 12:55:00 PM,10932.5,10932.5,10928.05,10928.05,75
12/3/2018 12:54:00 PM,10927,10932.5,10927,10932.5,300
12/3/2018 12:53:00 PM,10931.9,10931.9,10927,10927,150
12/3/2018 12:52:00 PM,10933,10933,10931.9,10931.9,75
12/3/2018 12:51:00 PM,10933,10933,10933,10933,0
12/3/2018 12:50:00 PM,10928.05,10933,10928.05,10933,75
12/3/2018 12:49:00 PM,10928,10928.05,10928,10928.05,75
12/3/2018 12:48:00 PM,10927.05,10928,10927.05,10928,75
12/3/2018 12:47:00 PM,10930,10930,10927.05,10927.05,150
12/3/2018 12:46:00 PM,10938.95,10938.95,10930,10930,900
12/3/2018 12:45:00 PM,10938.95,10938.95,10938.95,10938.95,0
