Date,USDINR18DEC72CE O,USDINR18DEC72CE H,USDINR18DEC72CE L,USDINR18DEC72CE C,USDINR18DEC72CE V
12/3/2018 4:59:00 PM,0.18,0.1875,0.18,0.1875,319
12/3/2018 4:58:00 PM,0.18,0.18,0.1775,0.18,539
12/3/2018 4:57:00 PM,0.18,0.18,0.18,0.18,372
12/3/2018 4:56:00 PM,0.18,0.1825,0.18,0.18,379
12/3/2018 4:55:00 PM,0.18,0.18,0.18,0.18,0
12/3/2018 4:54:00 PM,0.1775,0.18,0.175,0.18,430
12/3/2018 4:53:00 PM,0.1775,0.18,0.1775,0.1775,420
12/3/2018 4:52:00 PM,0.18,0.18,0.1775,0.1775,200
12/3/2018 4:51:00 PM,0.185,0.185,0.18,0.18,32
12/3/2018 4:50:00 PM,0.185,0.185,0.185,0.185,5
12/3/2018 4:49:00 PM,0.1825,0.185,0.1825,0.185,193
12/3/2018 4:48:00 PM,0.18,0.1825,0.18,0.1825,305
12/3/2018 4:47:00 PM,0.1825,0.1825,0.18,0.18,700
12/3/2018 4:46:00 PM,0.1825,0.1825,0.1825,0.1825,98
12/3/2018 4:45:00 PM,0.18,0.185,0.18,0.1825,172
12/3/2018 4:44:00 PM,0.18,0.18,0.18,0.18,0
12/3/2018 4:43:00 PM,0.1825,0.1825,0.18,0.18,2
12/3/2018 4:42:00 PM,0.1825,0.1825,0.1825,0.1825,0
12/3/2018 4:41:00 PM,0.1925,0.1925,0.1825,0.1825,510
12/3/2018 4:40:00 PM,0.185,0.1925,0.185,0.1925,126
12/3/2018 4:39:00 PM,0.185,0.1875,0.185,0.185,485
12/3/2018 4:38:00 PM,0.18,0.185,0.1775,0.185,180
12/3/2018 4:37:00 PM,0.1825,0.1825,0.1775,0.18,71
12/3/2018 4:36:00 PM,0.1825,0.1825,0.1825,0.1825,0
12/3/2018 4:35:00 PM,0.18,0.1825,0.18,0.1825,520
12/3/2018 4:34:00 PM,0.18,0.185,0.18,0.1825,194
12/3/2018 4:33:00 PM,0.1775,0.18,0.1775,0.18,1130
12/3/2018 4:32:00 PM,0.1725,0.1775,0.1725,0.1775,155
12/3/2018 4:31:00 PM,0.1725,0.1725,0.17,0.1725,419
12/3/2018 4:30:00 PM,0.17,0.1725,0.17,0.1725,2
12/3/2018 4:29:00 PM,0.1675,0.17,0.1675,0.17,60
12/3/2018 4:28:00 PM,0.17,0.17,0.165,0.1675,15
12/3/2018 4:27:00 PM,0.17,0.17,0.1675,0.17,13
12/3/2018 4:26:00 PM,0.1725,0.1725,0.17,0.17,109
12/3/2018 4:25:00 PM,0.17,0.1725,0.17,0.1725,10
12/3/2018 4:24:00 PM,0.1675,0.17,0.1675,0.17,98
12/3/2018 4:23:00 PM,0.1675,0.1675,0.1675,0.1675,0
12/3/2018 4:22:00 PM,0.1675,0.1675,0.1675,0.1675,0
12/3/2018 4:21:00 PM,0.1675,0.1675,0.1675,0.1675,12
12/3/2018 4:20:00 PM,0.1625,0.1675,0.1625,0.1675,571
12/3/2018 4:19:00 PM,0.1625,0.1625,0.1625,0.1625,0
12/3/2018 4:18:00 PM,0.1625,0.1625,0.1625,0.1625,0
12/3/2018 4:17:00 PM,0.165,0.165,0.1625,0.1625,147
12/3/2018 4:16:00 PM,0.165,0.165,0.165,0.165,2024
12/3/2018 4:15:00 PM,0.165,0.165,0.165,0.165,16
12/3/2018 4:14:00 PM,0.165,0.165,0.165,0.165,8
12/3/2018 4:13:00 PM,0.1675,0.1675,0.165,0.165,645
12/3/2018 4:12:00 PM,0.165,0.1675,0.165,0.1675,610
12/3/2018 4:11:00 PM,0.1675,0.1675,0.165,0.165,250
12/3/2018 4:10:00 PM,0.17,0.17,0.1675,0.1675,860
12/3/2018 4:09:00 PM,0.17,0.1725,0.17,0.17,82
12/3/2018 4:08:00 PM,0.1675,0.17,0.1675,0.17,30
12/3/2018 4:07:00 PM,0.1675,0.17,0.1675,0.1675,522
12/3/2018 4:06:00 PM,0.1675,0.1675,0.1675,0.1675,65
12/3/2018 4:05:00 PM,0.17,0.1725,0.1675,0.1675,240
12/3/2018 4:04:00 PM,0.165,0.1725,0.165,0.17,526
12/3/2018 4:03:00 PM,0.1625,0.165,0.1625,0.165,35
12/3/2018 4:02:00 PM,0.16,0.1625,0.16,0.1625,10
12/3/2018 4:01:00 PM,0.1575,0.16,0.1575,0.16,511
12/3/2018 4:00:00 PM,0.1575,0.1575,0.155,0.1575,20
12/3/2018 3:59:00 PM,0.1575,0.1575,0.155,0.1575,20
12/3/2018 3:58:00 PM,0.155,0.1575,0.155,0.1575,510
12/3/2018 3:57:00 PM,0.15,0.155,0.15,0.155,474
12/3/2018 3:56:00 PM,0.15,0.1525,0.15,0.15,52
12/3/2018 3:55:00 PM,0.1525,0.1525,0.15,0.15,5
12/3/2018 3:54:00 PM,0.1525,0.1525,0.1525,0.1525,60
12/3/2018 3:53:00 PM,0.155,0.155,0.1525,0.1525,5
12/3/2018 3:52:00 PM,0.1525,0.155,0.1525,0.155,26
12/3/2018 3:51:00 PM,0.15,0.1525,0.15,0.1525,10
12/3/2018 3:50:00 PM,0.1475,0.15,0.1475,0.15,10
12/3/2018 3:49:00 PM,0.1525,0.1525,0.1475,0.1475,550
12/3/2018 3:48:00 PM,0.1525,0.1525,0.1475,0.1525,390
12/3/2018 3:47:00 PM,0.1525,0.1525,0.1525,0.1525,150
12/3/2018 3:46:00 PM,0.1525,0.1525,0.1525,0.1525,231
12/3/2018 3:45:00 PM,0.1525,0.1525,0.15,0.1525,175
12/3/2018 3:44:00 PM,0.145,0.15,0.145,0.15,2487
12/3/2018 3:43:00 PM,0.1425,0.145,0.1425,0.145,35
12/3/2018 3:42:00 PM,0.14,0.1425,0.14,0.1425,10
12/3/2018 3:41:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 3:40:00 PM,0.14,0.14,0.14,0.14,50
12/3/2018 3:39:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 3:38:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 3:37:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 3:36:00 PM,0.14,0.14,0.14,0.14,54
12/3/2018 3:35:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 3:34:00 PM,0.14,0.14,0.14,0.14,100
12/3/2018 3:33:00 PM,0.1325,0.14,0.1325,0.14,30
12/3/2018 3:32:00 PM,0.1325,0.1325,0.1325,0.1325,0
12/3/2018 3:31:00 PM,0.135,0.135,0.1325,0.1325,10
12/3/2018 3:30:00 PM,0.135,0.135,0.135,0.135,50
12/3/2018 3:29:00 PM,0.1325,0.135,0.1325,0.135,10
12/3/2018 3:28:00 PM,0.1325,0.1325,0.1325,0.1325,0
12/3/2018 3:27:00 PM,0.1325,0.1325,0.1325,0.1325,5
12/3/2018 3:26:00 PM,0.1325,0.1325,0.1325,0.1325,0
12/3/2018 3:25:00 PM,0.1325,0.1325,0.1325,0.1325,0
12/3/2018 3:24:00 PM,0.1325,0.1325,0.1325,0.1325,0
12/3/2018 3:23:00 PM,0.135,0.135,0.1325,0.1325,75
12/3/2018 3:22:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 3:21:00 PM,0.1325,0.135,0.1325,0.135,10
12/3/2018 3:20:00 PM,0.135,0.135,0.13,0.1325,218
12/3/2018 3:19:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 3:18:00 PM,0.1375,0.1375,0.135,0.135,20
12/3/2018 3:17:00 PM,0.1375,0.1375,0.1375,0.1375,24
12/3/2018 3:16:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 3:15:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 3:14:00 PM,0.14,0.14,0.1375,0.1375,10
12/3/2018 3:13:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 3:12:00 PM,0.1425,0.1425,0.14,0.14,70
