Date,USDINR19JANFUT O,USDINR19JANFUT H,USDINR19JANFUT L,USDINR19JANFUT C,USDINR19JANFUT V
12/3/2018 4:59:00 PM,70.87,70.895,70.87,70.895,1799
12/3/2018 4:58:00 PM,70.8575,70.88,70.85,70.87,189
12/3/2018 4:57:00 PM,70.845,70.8575,70.8425,70.8575,398
12/3/2018 4:56:00 PM,70.835,70.8475,70.835,70.845,220
12/3/2018 4:55:00 PM,70.84,70.84,70.825,70.835,131
12/3/2018 4:54:00 PM,70.82,70.8475,70.82,70.8425,1380
12/3/2018 4:53:00 PM,70.8425,70.8425,70.82,70.82,520
12/3/2018 4:52:00 PM,70.845,70.85,70.8425,70.8425,90
12/3/2018 4:51:00 PM,70.8475,70.8475,70.8425,70.845,124
12/3/2018 4:50:00 PM,70.85,70.865,70.8475,70.8475,272
12/3/2018 4:49:00 PM,70.84,70.85,70.84,70.85,275
12/3/2018 4:48:00 PM,70.84,70.85,70.8375,70.84,260
12/3/2018 4:47:00 PM,70.85,70.85,70.835,70.84,202
12/3/2018 4:46:00 PM,70.8625,70.8625,70.85,70.85,498
12/3/2018 4:45:00 PM,70.84,70.875,70.84,70.8625,78
12/3/2018 4:44:00 PM,70.85,70.85,70.84,70.84,133
12/3/2018 4:43:00 PM,70.8525,70.8575,70.845,70.8475,1153
12/3/2018 4:42:00 PM,70.845,70.8525,70.845,70.8525,109
12/3/2018 4:41:00 PM,70.89,70.89,70.84,70.845,537
12/3/2018 4:40:00 PM,70.8575,70.895,70.8575,70.89,435
12/3/2018 4:39:00 PM,70.85,70.885,70.85,70.8575,723
12/3/2018 4:38:00 PM,70.84,70.8575,70.84,70.85,559
12/3/2018 4:37:00 PM,70.84,70.84,70.83,70.84,90
12/3/2018 4:36:00 PM,70.8625,70.8625,70.84,70.84,27
12/3/2018 4:35:00 PM,70.8475,70.8625,70.8425,70.8625,195
12/3/2018 4:34:00 PM,70.85,70.865,70.8475,70.8475,440
12/3/2018 4:33:00 PM,70.845,70.8625,70.8425,70.85,466
12/3/2018 4:32:00 PM,70.8175,70.84,70.815,70.8375,1011
12/3/2018 4:31:00 PM,70.8025,70.825,70.8025,70.815,468
12/3/2018 4:30:00 PM,70.8,70.815,70.8,70.8025,637
12/3/2018 4:29:00 PM,70.7925,70.8,70.7925,70.8,274
12/3/2018 4:28:00 PM,70.7825,70.7925,70.7825,70.7925,2232
12/3/2018 4:27:00 PM,70.7875,70.7875,70.78,70.7825,66
12/3/2018 4:26:00 PM,70.8,70.8025,70.7875,70.7875,1049
12/3/2018 4:25:00 PM,70.795,70.8075,70.795,70.8,245
12/3/2018 4:24:00 PM,70.78,70.795,70.78,70.795,33
12/3/2018 4:23:00 PM,70.7825,70.7825,70.78,70.78,282
12/3/2018 4:22:00 PM,70.78,70.7825,70.775,70.7825,629
12/3/2018 4:21:00 PM,70.7875,70.7875,70.77,70.78,809
12/3/2018 4:20:00 PM,70.755,70.7875,70.755,70.7875,638
12/3/2018 4:19:00 PM,70.7625,70.7625,70.755,70.755,3
12/3/2018 4:18:00 PM,70.76,70.7675,70.7575,70.7625,1864
12/3/2018 4:17:00 PM,70.765,70.7675,70.7575,70.76,1481
12/3/2018 4:16:00 PM,70.77,70.78,70.76,70.765,274
12/3/2018 4:15:00 PM,70.7825,70.785,70.77,70.77,9
12/3/2018 4:14:00 PM,70.7775,70.7875,70.7775,70.7825,38
12/3/2018 4:13:00 PM,70.7875,70.7875,70.77,70.7775,2524
12/3/2018 4:12:00 PM,70.7875,70.7925,70.7875,70.7875,366
12/3/2018 4:11:00 PM,70.7975,70.7975,70.7875,70.7875,1186
12/3/2018 4:10:00 PM,70.805,70.805,70.795,70.7975,2712
12/3/2018 4:09:00 PM,70.8125,70.82,70.805,70.805,1159
12/3/2018 4:08:00 PM,70.805,70.815,70.8025,70.8125,208
12/3/2018 4:07:00 PM,70.805,70.81,70.8025,70.805,273
12/3/2018 4:06:00 PM,70.8175,70.82,70.805,70.805,579
12/3/2018 4:05:00 PM,70.8175,70.825,70.8175,70.8175,438
12/3/2018 4:04:00 PM,70.7975,70.8225,70.7975,70.8175,2536
12/3/2018 4:03:00 PM,70.7875,70.805,70.7875,70.7975,854
12/3/2018 4:02:00 PM,70.765,70.7875,70.765,70.7875,156
12/3/2018 4:01:00 PM,70.765,70.78,70.765,70.765,140
12/3/2018 4:00:00 PM,70.77,70.77,70.76,70.765,138
12/3/2018 3:59:00 PM,70.7625,70.775,70.7475,70.77,1358
12/3/2018 3:58:00 PM,70.7525,70.765,70.7475,70.7625,246
12/3/2018 3:57:00 PM,70.7325,70.7525,70.7325,70.7525,349
12/3/2018 3:56:00 PM,70.7225,70.7325,70.7225,70.7325,54
12/3/2018 3:55:00 PM,70.7325,70.7325,70.72,70.7225,61
12/3/2018 3:54:00 PM,70.745,70.745,70.7325,70.7325,556
12/3/2018 3:53:00 PM,70.73,70.745,70.725,70.745,568
12/3/2018 3:52:00 PM,70.7475,70.7475,70.7275,70.73,1093
12/3/2018 3:51:00 PM,70.73,70.75,70.73,70.74,65
12/3/2018 3:50:00 PM,70.72,70.73,70.715,70.73,1518
12/3/2018 3:49:00 PM,70.72,70.72,70.705,70.72,801
12/3/2018 3:48:00 PM,70.73,70.73,70.72,70.72,77
