Date,BANKNIFTY06DEC1826600PE O,BANKNIFTY06DEC1826600PE H,BANKNIFTY06DEC1826600PE L,BANKNIFTY06DEC1826600PE C,BANKNIFTY06DEC1826600PE V
11/30/2018 3:29:00 PM,102.9,103.95,100.8,101.95,25700
11/30/2018 3:28:00 PM,104,104,102.85,103.05,16440
11/30/2018 3:27:00 PM,104.1,104.85,103.35,104,12380
11/30/2018 3:26:00 PM,104.35,104.9,103.45,104.5,20260
11/30/2018 3:25:00 PM,103.25,104.5,103,104.35,15760
11/30/2018 3:24:00 PM,103.75,104.4,102.45,103.2,11180
11/30/2018 3:23:00 PM,101.75,104,101.05,104,26040
11/30/2018 3:22:00 PM,102.9,103.45,101.6,102.15,14980
11/30/2018 3:21:00 PM,102.85,103.55,101.65,102.65,13740
11/30/2018 3:20:00 PM,103.3,105,102.35,103,19000
11/30/2018 3:19:00 PM,104.75,104.85,103.1,103.15,13100
11/30/2018 3:18:00 PM,103.5,104.8,102.75,104.35,11580
11/30/2018 3:17:00 PM,102.65,104.45,101.1,103.85,17220
11/30/2018 3:16:00 PM,104.9,105.7,102.85,102.85,18840
11/30/2018 3:15:00 PM,105.7,107,103.9,104.6,35120
11/30/2018 3:14:00 PM,102.05,105.95,102.05,105.75,18840
11/30/2018 3:13:00 PM,103.45,104.85,101.65,101.7,10980
11/30/2018 3:12:00 PM,103.5,105,103,103.55,21540
11/30/2018 3:11:00 PM,103.85,104.4,102,102.9,12700
11/30/2018 3:10:00 PM,105.6,106.3,102.85,103.85,11060
11/30/2018 3:09:00 PM,100.7,106,100.7,105.75,15040
11/30/2018 3:08:00 PM,99.3,101.05,97.15,101,9160
11/30/2018 3:07:00 PM,102,102,99,99.05,12380
11/30/2018 3:06:00 PM,102,104.3,102,102.9,7120
11/30/2018 3:05:00 PM,102.8,104.1,101.95,102,7500
11/30/2018 3:04:00 PM,97.85,103.8,97.85,102.8,14400
11/30/2018 3:03:00 PM,100,101.2,96.7,97.85,13320
11/30/2018 3:02:00 PM,99.45,101.75,99.25,100.05,5480
11/30/2018 3:01:00 PM,98.65,100.4,97.35,99.1,14760
11/30/2018 3:00:00 PM,102,103.8,97.2,98,24440
11/30/2018 2:59:00 PM,107.65,107.65,101.8,101.8,10040
11/30/2018 2:58:00 PM,104.4,108.7,104.15,107.9,10760
11/30/2018 2:57:00 PM,106,106.55,104.1,104.4,11780
11/30/2018 2:56:00 PM,106.75,108.9,106,106,6080
11/30/2018 2:55:00 PM,106.9,108.15,104.35,106.75,12320
11/30/2018 2:54:00 PM,109.45,110.55,106.65,106.9,13200
11/30/2018 2:53:00 PM,105.15,110.55,104.75,109.05,16140
11/30/2018 2:52:00 PM,103.5,106.25,103.5,105.7,21960
11/30/2018 2:51:00 PM,99.35,103.7,98.45,103.7,8580
11/30/2018 2:50:00 PM,100.6,101.1,97.65,99.05,8500
11/30/2018 2:49:00 PM,99.9,101.4,98,100.6,9280
11/30/2018 2:48:00 PM,98.45,101.3,98.45,100.15,5760
11/30/2018 2:47:00 PM,101.85,101.85,97,98.45,16560
11/30/2018 2:46:00 PM,104.75,105.8,101.4,102.05,19520
11/30/2018 2:45:00 PM,98.05,103.5,98.05,103.35,15940
11/30/2018 2:44:00 PM,100.7,102.15,96.55,98.05,16000
11/30/2018 2:43:00 PM,102.65,103,100.65,100.65,17560
11/30/2018 2:42:00 PM,97.45,102.65,96.75,102.65,16220
11/30/2018 2:41:00 PM,97.9,98.65,96.15,98,35760
11/30/2018 2:40:00 PM,98.2,98.35,91.2,97.55,41560
