Date,NIFTY18DEC11000PE O,NIFTY18DEC11000PE H,NIFTY18DEC11000PE L,NIFTY18DEC11000PE C,NIFTY18DEC11000PE V
11/30/2018 3:29:00 PM,235,235.85,233,233,3900
11/30/2018 3:28:00 PM,235,235.15,233.95,235.15,6600
11/30/2018 3:27:00 PM,235.05,235.55,234,235.55,5325
11/30/2018 3:26:00 PM,236.8,236.8,235,235.1,4050
11/30/2018 3:25:00 PM,236.2,236.8,235.65,236.8,3450
11/30/2018 3:24:00 PM,237,237.45,235.45,235.45,1050
11/30/2018 3:23:00 PM,236.7,237,235.1,236.85,3975
11/30/2018 3:22:00 PM,237.95,237.95,235.6,236.7,10800
11/30/2018 3:21:00 PM,238.8,238.8,237.05,237.95,4650
11/30/2018 3:20:00 PM,239.75,239.75,238.25,238.8,15300
11/30/2018 3:19:00 PM,241.15,241.15,239.5,239.7,10500
11/30/2018 3:18:00 PM,242.25,242.35,241.05,241.15,3975
11/30/2018 3:17:00 PM,241.3,241.6,241,241.5,4800
11/30/2018 3:16:00 PM,244.55,244.55,241.7,241.7,7725
11/30/2018 3:15:00 PM,246,247.45,243.95,244.55,10200
11/30/2018 3:14:00 PM,243.6,245.55,242.9,245.55,10650
11/30/2018 3:13:00 PM,244.15,245,243.6,243.6,2925
11/30/2018 3:12:00 PM,243.15,244.85,243,244.15,3300
11/30/2018 3:11:00 PM,246.7,247.4,242.4,243.7,9900
11/30/2018 3:10:00 PM,246,246.85,245.8,246.7,10950
11/30/2018 3:09:00 PM,244.05,246.45,243.75,246.05,6525
11/30/2018 3:08:00 PM,242,244.05,240,244.05,7125
11/30/2018 3:07:00 PM,246.25,246.25,242,242,8700
11/30/2018 3:06:00 PM,245.75,246.85,245.6,246.25,1725
11/30/2018 3:05:00 PM,250.35,250.6,245.75,245.75,7425
11/30/2018 3:04:00 PM,247.95,251.15,247.3,250,5475
11/30/2018 3:03:00 PM,248.5,248.5,246,247.95,6375
11/30/2018 3:02:00 PM,251.45,251.45,248.5,248.5,1875
11/30/2018 3:01:00 PM,252.85,253.15,249.5,250.25,4650
11/30/2018 3:00:00 PM,259,259,252.85,252.85,6375
11/30/2018 2:59:00 PM,263.05,263.05,259,259,7575
11/30/2018 2:58:00 PM,260.45,263.05,260,263.05,9000
11/30/2018 2:57:00 PM,260,261.15,259.7,260.45,22050
11/30/2018 2:56:00 PM,262.45,262.45,260,260,6675
11/30/2018 2:55:00 PM,261,262.45,258.75,262.45,5475
11/30/2018 2:54:00 PM,262.5,264,261,261,13875
11/30/2018 2:53:00 PM,257.95,262.5,257.55,262.5,8550
11/30/2018 2:52:00 PM,250.8,257.95,250.8,257.95,6075
11/30/2018 2:51:00 PM,248,251.4,248,250.8,2700
11/30/2018 2:50:00 PM,249,249,246.15,248,7575
11/30/2018 2:49:00 PM,246.15,249,245.5,249,2175
11/30/2018 2:48:00 PM,243,246.15,243,246.15,2550
11/30/2018 2:47:00 PM,245.7,245.7,242.65,243,2775
11/30/2018 2:46:00 PM,247.5,248,245.7,245.7,1575
11/30/2018 2:45:00 PM,244.15,247.5,244,247.5,6675
11/30/2018 2:44:00 PM,245.1,246,243.5,244.15,4725
11/30/2018 2:43:00 PM,244.45,245.9,244.45,245.75,1275
11/30/2018 2:42:00 PM,242.5,244.75,242.5,244.45,2250
11/30/2018 2:41:00 PM,244,244,241.7,242.5,3900
11/30/2018 2:40:00 PM,243.45,244,238.75,244,8775
11/30/2018 2:39:00 PM,249,249.15,243.45,243.45,3750
11/30/2018 2:38:00 PM,250.05,250.35,248.05,249,675
11/30/2018 2:37:00 PM,250.2,250.2,249.2,250.05,1425
11/30/2018 2:36:00 PM,247.1,251.2,246.25,250.2,6675
11/30/2018 2:35:00 PM,255.3,255.3,245.5,247.1,7050
11/30/2018 2:34:00 PM,258,258.5,255,255.3,3825
11/30/2018 2:33:00 PM,258.5,259,258,258,7125
11/30/2018 2:32:00 PM,260,260.25,258,258.5,4650
11/30/2018 2:31:00 PM,265.65,265.9,261.45,261.45,450
11/30/2018 2:30:00 PM,266,266.9,265.45,265.65,8850
11/30/2018 2:29:00 PM,264.05,265.55,263.7,265.55,2400
11/30/2018 2:28:00 PM,260.75,263.95,260.75,263.95,150
11/30/2018 2:27:00 PM,261.9,263,260.75,260.75,1050
11/30/2018 2:26:00 PM,260.95,261.9,258.55,261.9,2625
11/30/2018 2:25:00 PM,261.2,262.3,260.95,260.95,975
11/30/2018 2:24:00 PM,259.05,261.2,259.05,261.2,1350
11/30/2018 2:23:00 PM,260,260.5,257.65,259.95,5325
11/30/2018 2:22:00 PM,262.5,262.5,260,260,6900
11/30/2018 2:21:00 PM,267.55,268,261.6,262.5,8550
11/30/2018 2:20:00 PM,265.2,268,265.05,267.9,5475
11/30/2018 2:19:00 PM,263.05,265.2,263.05,265.2,1200
11/30/2018 2:18:00 PM,260,264.9,260,263.05,14850
11/30/2018 2:17:00 PM,256.6,260,256.6,260,375
11/30/2018 2:16:00 PM,256.9,256.9,256.6,256.6,300
11/30/2018 2:15:00 PM,258.5,258.5,256.85,256.85,375
11/30/2018 2:14:00 PM,257.1,258.5,257.1,258.5,1125
11/30/2018 2:13:00 PM,256.15,257.95,256.15,257.1,150
11/30/2018 2:12:00 PM,258.05,258.05,256.15,256.15,225
11/30/2018 2:11:00 PM,259.9,259.9,258.05,258.05,525
11/30/2018 2:10:00 PM,259.45,259.9,259.45,259.9,150
11/30/2018 2:09:00 PM,257.9,260.05,255.3,259.45,2100
11/30/2018 2:08:00 PM,260.5,260.5,257.9,257.9,1800
11/30/2018 2:07:00 PM,262,262.3,260.5,260.5,3525
11/30/2018 2:06:00 PM,261.8,262.8,261.8,262,975
11/30/2018 2:05:00 PM,260.05,261.95,260.05,261.8,375
11/30/2018 2:04:00 PM,260,260.05,259,260.05,2325
11/30/2018 2:03:00 PM,259,260.2,258.5,260,1050
11/30/2018 2:02:00 PM,259.35,261.5,259.1,260.05,750
11/30/2018 2:01:00 PM,261.95,262,259.35,259.35,7950
11/30/2018 2:00:00 PM,260.85,262,260.85,261.95,1800
11/30/2018 1:59:00 PM,261.05,261.05,260,260.85,300
11/30/2018 1:58:00 PM,259.9,261.05,259.2,261.05,2625
11/30/2018 1:57:00 PM,259.5,259.9,255.6,259.9,4350
11/30/2018 1:56:00 PM,261.45,261.45,259.5,259.5,300
11/30/2018 1:55:00 PM,260.65,261.85,260,261.45,2925
11/30/2018 1:54:00 PM,259.1,261.5,259.1,260.65,2250
11/30/2018 1:53:00 PM,261.1,261.1,259,260.1,1350
11/30/2018 1:52:00 PM,258,261.1,258,261.1,1650
11/30/2018 1:51:00 PM,256.85,258.4,256,258,3000
11/30/2018 1:50:00 PM,254.65,256.85,254.5,256.85,2025
11/30/2018 1:49:00 PM,258.5,258.5,254.15,254.4,2475
11/30/2018 1:48:00 PM,257.15,258.5,256,258.5,7275
11/30/2018 1:47:00 PM,259.15,260.15,257.15,257.15,3975
11/30/2018 1:46:00 PM,259.5,260.25,257,259.15,2550
11/30/2018 1:45:00 PM,257.95,260,257.95,259.5,2175
11/30/2018 1:44:00 PM,255.75,260,255.3,257.95,3825
11/30/2018 1:43:00 PM,253.9,256.45,251.6,255.75,6975
11/30/2018 1:42:00 PM,258.3,258.4,254.25,254.6,4125
