Date,USDINR18DEC69.25PE O,USDINR18DEC69.25PE H,USDINR18DEC69.25PE L,USDINR18DEC69.25PE C,USDINR18DEC69.25PE V
11/30/2018 4:59:00 PM,0.4,0.4,0.39,0.395,1001
11/30/2018 4:58:00 PM,0.38,0.39,0.37,0.39,601
11/30/2018 4:57:00 PM,0.3875,0.3875,0.38,0.38,1303
11/30/2018 4:56:00 PM,0.38,0.3875,0.38,0.3875,2
11/30/2018 4:55:00 PM,0.37,0.38,0.37,0.38,265
11/30/2018 4:54:00 PM,0.37,0.37,0.37,0.37,2
11/30/2018 4:53:00 PM,0.3725,0.3725,0.37,0.37,5
11/30/2018 4:52:00 PM,0.3725,0.3725,0.3725,0.3725,0
11/30/2018 4:51:00 PM,0.3725,0.3725,0.3725,0.3725,0
11/30/2018 4:50:00 PM,0.3575,0.3725,0.3575,0.3725,220
11/30/2018 4:49:00 PM,0.365,0.365,0.3575,0.3575,44
11/30/2018 4:48:00 PM,0.3625,0.365,0.3575,0.365,15
11/30/2018 4:47:00 PM,0.365,0.365,0.3625,0.3625,1
11/30/2018 4:46:00 PM,0.36,0.365,0.36,0.365,103
11/30/2018 4:45:00 PM,0.365,0.365,0.36,0.36,41
11/30/2018 4:44:00 PM,0.3675,0.3675,0.365,0.365,46
11/30/2018 4:43:00 PM,0.3675,0.3675,0.3675,0.3675,0
11/30/2018 4:42:00 PM,0.365,0.3675,0.365,0.3675,74
11/30/2018 4:41:00 PM,0.365,0.365,0.365,0.365,0
11/30/2018 4:40:00 PM,0.365,0.365,0.365,0.365,0
11/30/2018 4:39:00 PM,0.365,0.365,0.365,0.365,0
11/30/2018 4:38:00 PM,0.3625,0.365,0.3625,0.365,69
11/30/2018 4:37:00 PM,0.3625,0.3625,0.3625,0.3625,10
11/30/2018 4:36:00 PM,0.3625,0.3625,0.3625,0.3625,2
11/30/2018 4:35:00 PM,0.3675,0.3675,0.3625,0.3625,60
11/30/2018 4:34:00 PM,0.38,0.38,0.3675,0.3675,50
11/30/2018 4:33:00 PM,0.3725,0.38,0.3725,0.38,200
11/30/2018 4:32:00 PM,0.3675,0.3725,0.3675,0.3725,28
11/30/2018 4:31:00 PM,0.3675,0.3675,0.3675,0.3675,0
11/30/2018 4:30:00 PM,0.3675,0.3675,0.3675,0.3675,0
11/30/2018 4:29:00 PM,0.3675,0.3675,0.3675,0.3675,20
11/30/2018 4:28:00 PM,0.3675,0.3675,0.3675,0.3675,0
11/30/2018 4:27:00 PM,0.365,0.37,0.365,0.3675,30
11/30/2018 4:26:00 PM,0.365,0.365,0.365,0.365,0
11/30/2018 4:25:00 PM,0.365,0.365,0.365,0.365,0
11/30/2018 4:24:00 PM,0.365,0.365,0.365,0.365,0
11/30/2018 4:23:00 PM,0.375,0.375,0.365,0.365,76
11/30/2018 4:22:00 PM,0.375,0.375,0.375,0.375,0
11/30/2018 4:21:00 PM,0.375,0.375,0.375,0.375,0
