Date,USDINR18DEC70.5CE O,USDINR18DEC70.5CE H,USDINR18DEC70.5CE L,USDINR18DEC70.5CE C,USDINR18DEC70.5CE V
11/30/2018 4:59:00 PM,0.35,0.35,0.3425,0.35,1639
11/30/2018 4:58:00 PM,0.3575,0.3575,0.35,0.35,424
11/30/2018 4:57:00 PM,0.3575,0.36,0.355,0.3575,220
11/30/2018 4:56:00 PM,0.3625,0.365,0.3575,0.3575,236
11/30/2018 4:55:00 PM,0.3675,0.3675,0.3625,0.3625,114
11/30/2018 4:54:00 PM,0.37,0.37,0.3675,0.3675,98
11/30/2018 4:53:00 PM,0.3725,0.3725,0.37,0.37,24
11/30/2018 4:52:00 PM,0.3725,0.3725,0.3725,0.3725,50
11/30/2018 4:51:00 PM,0.375,0.375,0.3725,0.3725,106
11/30/2018 4:50:00 PM,0.3775,0.3775,0.37,0.375,462
11/30/2018 4:49:00 PM,0.375,0.38,0.375,0.3775,30
11/30/2018 4:48:00 PM,0.3775,0.38,0.375,0.375,393
11/30/2018 4:47:00 PM,0.3825,0.3825,0.3775,0.38,609
11/30/2018 4:46:00 PM,0.3825,0.3825,0.3825,0.3825,0
11/30/2018 4:45:00 PM,0.38,0.3825,0.38,0.3825,85
11/30/2018 4:44:00 PM,0.38,0.38,0.38,0.38,13
11/30/2018 4:43:00 PM,0.3825,0.3825,0.38,0.38,250
11/30/2018 4:42:00 PM,0.38,0.3825,0.38,0.3825,240
11/30/2018 4:41:00 PM,0.38,0.38,0.38,0.38,100
11/30/2018 4:40:00 PM,0.3875,0.3875,0.38,0.38,109
11/30/2018 4:39:00 PM,0.3875,0.3875,0.3875,0.3875,70
11/30/2018 4:38:00 PM,0.3925,0.3925,0.3875,0.3875,60
11/30/2018 4:37:00 PM,0.3875,0.395,0.3875,0.3925,211
11/30/2018 4:36:00 PM,0.3875,0.3875,0.3875,0.3875,0
11/30/2018 4:35:00 PM,0.3875,0.3875,0.3875,0.3875,0
11/30/2018 4:34:00 PM,0.385,0.3875,0.385,0.3875,68
11/30/2018 4:33:00 PM,0.39,0.39,0.3825,0.385,862
11/30/2018 4:32:00 PM,0.405,0.405,0.3875,0.39,352
11/30/2018 4:31:00 PM,0.3975,0.405,0.3975,0.4,680
11/30/2018 4:30:00 PM,0.3975,0.3975,0.3975,0.3975,0
11/30/2018 4:29:00 PM,0.395,0.3975,0.395,0.3975,21
11/30/2018 4:28:00 PM,0.395,0.395,0.395,0.395,25
11/30/2018 4:27:00 PM,0.395,0.4,0.395,0.3975,82
11/30/2018 4:26:00 PM,0.4,0.4,0.3925,0.395,61
11/30/2018 4:25:00 PM,0.3925,0.4,0.3925,0.4,11
11/30/2018 4:24:00 PM,0.4,0.4025,0.3925,0.3925,372
11/30/2018 4:23:00 PM,0.3975,0.4025,0.3975,0.4,191
11/30/2018 4:22:00 PM,0.3925,0.3975,0.3925,0.3975,300
11/30/2018 4:21:00 PM,0.3925,0.3925,0.39,0.3925,150
11/30/2018 4:20:00 PM,0.3975,0.3975,0.3925,0.3925,286
11/30/2018 4:19:00 PM,0.4125,0.4125,0.3975,0.3975,429
11/30/2018 4:18:00 PM,0.4125,0.4125,0.41,0.4125,386
11/30/2018 4:17:00 PM,0.415,0.4175,0.4125,0.4125,715
11/30/2018 4:16:00 PM,0.4125,0.415,0.4125,0.415,100
11/30/2018 4:15:00 PM,0.41,0.415,0.41,0.4125,247
11/30/2018 4:14:00 PM,0.4125,0.4125,0.4075,0.41,331
11/30/2018 4:13:00 PM,0.415,0.4175,0.4125,0.4125,86
11/30/2018 4:12:00 PM,0.41,0.415,0.41,0.415,90
11/30/2018 4:11:00 PM,0.4175,0.4175,0.41,0.41,755
11/30/2018 4:10:00 PM,0.4225,0.4225,0.4175,0.4175,256
11/30/2018 4:09:00 PM,0.4225,0.4225,0.42,0.4225,75
11/30/2018 4:08:00 PM,0.4275,0.4275,0.4225,0.4225,201
11/30/2018 4:07:00 PM,0.425,0.4275,0.425,0.4275,411
11/30/2018 4:06:00 PM,0.4225,0.425,0.4225,0.425,94
11/30/2018 4:05:00 PM,0.425,0.425,0.4225,0.4225,250
11/30/2018 4:04:00 PM,0.425,0.425,0.425,0.425,141
11/30/2018 4:03:00 PM,0.42,0.4275,0.42,0.425,365
11/30/2018 4:02:00 PM,0.42,0.42,0.42,0.42,0
11/30/2018 4:01:00 PM,0.425,0.425,0.42,0.42,70
11/30/2018 4:00:00 PM,0.4225,0.425,0.4225,0.425,151
11/30/2018 3:59:00 PM,0.42,0.425,0.42,0.4225,655
11/30/2018 3:58:00 PM,0.43,0.43,0.42,0.42,290
11/30/2018 3:57:00 PM,0.4375,0.4375,0.43,0.43,2
11/30/2018 3:56:00 PM,0.4375,0.4375,0.4375,0.4375,0
11/30/2018 3:55:00 PM,0.4375,0.4375,0.4375,0.4375,0
11/30/2018 3:54:00 PM,0.435,0.4375,0.435,0.4375,10
11/30/2018 3:53:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 3:52:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 3:51:00 PM,0.4375,0.4375,0.435,0.435,523
11/30/2018 3:50:00 PM,0.44,0.44,0.4375,0.4375,351
11/30/2018 3:49:00 PM,0.44,0.44,0.44,0.44,100
11/30/2018 3:48:00 PM,0.4375,0.44,0.4375,0.44,200
11/30/2018 3:47:00 PM,0.4375,0.4375,0.4375,0.4375,500
11/30/2018 3:46:00 PM,0.43,0.4375,0.43,0.4375,500
11/30/2018 3:45:00 PM,0.435,0.435,0.43,0.43,100
11/30/2018 3:44:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 3:43:00 PM,0.43,0.435,0.43,0.435,690
11/30/2018 3:42:00 PM,0.43,0.43,0.43,0.43,0
11/30/2018 3:41:00 PM,0.42,0.43,0.42,0.43,76
11/30/2018 3:40:00 PM,0.4225,0.4225,0.42,0.42,5
11/30/2018 3:39:00 PM,0.44,0.44,0.4225,0.4225,206
11/30/2018 3:38:00 PM,0.44,0.44,0.44,0.44,0
11/30/2018 3:37:00 PM,0.44,0.44,0.44,0.44,0
11/30/2018 3:36:00 PM,0.4425,0.4425,0.4375,0.44,400
11/30/2018 3:35:00 PM,0.44,0.4425,0.44,0.4425,6
11/30/2018 3:34:00 PM,0.44,0.44,0.44,0.44,0
11/30/2018 3:33:00 PM,0.4425,0.4425,0.44,0.44,111
11/30/2018 3:32:00 PM,0.45,0.45,0.4425,0.445,145
11/30/2018 3:31:00 PM,0.445,0.45,0.445,0.45,57
11/30/2018 3:30:00 PM,0.445,0.445,0.445,0.445,0
11/30/2018 3:29:00 PM,0.435,0.445,0.435,0.445,13
11/30/2018 3:28:00 PM,0.435,0.435,0.435,0.435,2
11/30/2018 3:27:00 PM,0.435,0.435,0.435,0.435,10
11/30/2018 3:26:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 3:25:00 PM,0.4375,0.4375,0.435,0.435,210
11/30/2018 3:24:00 PM,0.44,0.44,0.4375,0.4375,57
11/30/2018 3:23:00 PM,0.4425,0.4425,0.44,0.44,193
11/30/2018 3:22:00 PM,0.4475,0.4475,0.4425,0.4425,2
11/30/2018 3:21:00 PM,0.4425,0.4475,0.4425,0.4475,44
11/30/2018 3:20:00 PM,0.44,0.4425,0.44,0.4425,99
11/30/2018 3:19:00 PM,0.435,0.44,0.435,0.44,100
11/30/2018 3:18:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 3:17:00 PM,0.44,0.44,0.435,0.435,121
11/30/2018 3:16:00 PM,0.44,0.44,0.44,0.44,59
11/30/2018 3:15:00 PM,0.445,0.4475,0.44,0.44,36
11/30/2018 3:14:00 PM,0.45,0.45,0.44,0.445,155
11/30/2018 3:13:00 PM,0.4525,0.4525,0.45,0.45,30
11/30/2018 3:12:00 PM,0.45,0.4525,0.45,0.4525,670
