Date,USDINR18DEC70PE O,USDINR18DEC70PE H,USDINR18DEC70PE L,USDINR18DEC70PE C,USDINR18DEC70PE V
11/30/2018 4:59:00 PM,0.74,0.75,0.7375,0.75,2122
11/30/2018 4:58:00 PM,0.745,0.745,0.7375,0.74,1131
11/30/2018 4:57:00 PM,0.745,0.745,0.7375,0.745,264
11/30/2018 4:56:00 PM,0.7375,0.75,0.735,0.745,3300
11/30/2018 4:55:00 PM,0.72,0.74,0.72,0.735,1640
11/30/2018 4:54:00 PM,0.72,0.72,0.7175,0.72,3071
11/30/2018 4:53:00 PM,0.71,0.72,0.71,0.72,127
11/30/2018 4:52:00 PM,0.71,0.7125,0.71,0.71,148
11/30/2018 4:51:00 PM,0.7075,0.71,0.7075,0.71,1557
11/30/2018 4:50:00 PM,0.7,0.715,0.7,0.7075,605
11/30/2018 4:49:00 PM,0.7,0.7,0.7,0.7,0
11/30/2018 4:48:00 PM,0.6975,0.7025,0.6925,0.7,447
11/30/2018 4:47:00 PM,0.7025,0.7025,0.695,0.6975,1588
11/30/2018 4:46:00 PM,0.7,0.705,0.7,0.7025,407
11/30/2018 4:45:00 PM,0.705,0.7075,0.7,0.7,448
11/30/2018 4:44:00 PM,0.705,0.7075,0.705,0.705,226
11/30/2018 4:43:00 PM,0.7075,0.7075,0.705,0.705,100
11/30/2018 4:42:00 PM,0.7075,0.7075,0.705,0.7075,120
11/30/2018 4:41:00 PM,0.71,0.7125,0.7075,0.7075,96
11/30/2018 4:40:00 PM,0.705,0.71,0.705,0.71,809
11/30/2018 4:39:00 PM,0.705,0.705,0.705,0.705,40
11/30/2018 4:38:00 PM,0.695,0.705,0.695,0.705,53
11/30/2018 4:37:00 PM,0.6975,0.6975,0.695,0.695,100
11/30/2018 4:36:00 PM,0.7,0.7,0.6975,0.6975,300
11/30/2018 4:35:00 PM,0.705,0.705,0.7,0.7,1
11/30/2018 4:34:00 PM,0.71,0.71,0.705,0.705,6
11/30/2018 4:33:00 PM,0.7175,0.7275,0.71,0.71,1039
11/30/2018 4:32:00 PM,0.7025,0.72,0.6975,0.7175,1054
11/30/2018 4:31:00 PM,0.7025,0.7025,0.7025,0.7025,0
11/30/2018 4:30:00 PM,0.705,0.705,0.7025,0.7025,65
11/30/2018 4:29:00 PM,0.7025,0.705,0.7,0.705,61
11/30/2018 4:28:00 PM,0.71,0.71,0.7025,0.7025,273
11/30/2018 4:27:00 PM,0.71,0.71,0.705,0.7075,81
11/30/2018 4:26:00 PM,0.7075,0.71,0.7075,0.71,137
11/30/2018 4:25:00 PM,0.71,0.71,0.7075,0.7075,100
11/30/2018 4:24:00 PM,0.705,0.7125,0.7,0.71,213
11/30/2018 4:23:00 PM,0.705,0.71,0.6975,0.705,1123
