Date,USDINR18DECFUT O,USDINR18DECFUT H,USDINR18DECFUT L,USDINR18DECFUT C,USDINR18DECFUT V
11/30/2018 4:59:00 PM,69.79,69.7925,69.78,69.785,8682
11/30/2018 4:58:00 PM,69.7925,69.795,69.7875,69.7875,3830
11/30/2018 4:57:00 PM,69.7875,69.805,69.7875,69.795,9394
11/30/2018 4:56:00 PM,69.805,69.8075,69.7875,69.7925,10743
11/30/2018 4:55:00 PM,69.8275,69.83,69.805,69.805,7546
11/30/2018 4:54:00 PM,69.835,69.835,69.8225,69.83,13720
11/30/2018 4:53:00 PM,69.8475,69.85,69.83,69.835,5293
11/30/2018 4:52:00 PM,69.855,69.855,69.8475,69.8475,3611
11/30/2018 4:51:00 PM,69.85,69.8575,69.845,69.855,4462
11/30/2018 4:50:00 PM,69.8625,69.8625,69.84,69.85,4535
11/30/2018 4:49:00 PM,69.87,69.875,69.86,69.86,1873
11/30/2018 4:48:00 PM,69.865,69.8725,69.86,69.87,1090
11/30/2018 4:47:00 PM,69.87,69.88,69.865,69.865,5145
11/30/2018 4:46:00 PM,69.87,69.8725,69.8575,69.87,16402
11/30/2018 4:45:00 PM,69.8625,69.875,69.8625,69.87,12750
11/30/2018 4:44:00 PM,69.8625,69.865,69.8625,69.8625,10630
11/30/2018 4:43:00 PM,69.865,69.87,69.8575,69.8625,7981
11/30/2018 4:42:00 PM,69.8625,69.87,69.855,69.8625,8010
11/30/2018 4:41:00 PM,69.855,69.865,69.855,69.8625,3002
11/30/2018 4:40:00 PM,69.875,69.875,69.8525,69.855,2712
11/30/2018 4:39:00 PM,69.8725,69.875,69.87,69.8725,2434
11/30/2018 4:38:00 PM,69.89,69.89,69.8725,69.8725,2515
11/30/2018 4:37:00 PM,69.885,69.895,69.885,69.89,1213
11/30/2018 4:36:00 PM,69.8825,69.89,69.88,69.885,2040
11/30/2018 4:35:00 PM,69.87,69.885,69.8675,69.8825,2374
11/30/2018 4:34:00 PM,69.865,69.875,69.8625,69.87,2135
11/30/2018 4:33:00 PM,69.865,69.8675,69.8375,69.865,29434
11/30/2018 4:32:00 PM,69.9025,69.905,69.86,69.865,38828
11/30/2018 4:31:00 PM,69.8975,69.905,69.89,69.9025,5279
11/30/2018 4:30:00 PM,69.885,69.9,69.885,69.9,1710
11/30/2018 4:29:00 PM,69.8925,69.895,69.8825,69.885,3326
11/30/2018 4:28:00 PM,69.8775,69.8925,69.8775,69.8925,1760
11/30/2018 4:27:00 PM,69.8725,69.89,69.8725,69.88,3338
11/30/2018 4:26:00 PM,69.8825,69.8825,69.8675,69.8725,3642
11/30/2018 4:25:00 PM,69.88,69.89,69.8775,69.88,7208
11/30/2018 4:24:00 PM,69.89,69.89,69.87,69.88,7464
11/30/2018 4:23:00 PM,69.89,69.895,69.88,69.89,18402
11/30/2018 4:22:00 PM,69.87,69.8925,69.87,69.8925,6022
11/30/2018 4:21:00 PM,69.8625,69.87,69.8525,69.87,10881
11/30/2018 4:20:00 PM,69.88,69.895,69.8625,69.8675,13521
11/30/2018 4:19:00 PM,69.9175,69.92,69.88,69.88,12923
11/30/2018 4:18:00 PM,69.9275,69.9325,69.915,69.9175,2645
11/30/2018 4:17:00 PM,69.9325,69.9375,69.92,69.9275,3768
11/30/2018 4:16:00 PM,69.925,69.9325,69.925,69.9325,5529
11/30/2018 4:15:00 PM,69.9225,69.9325,69.92,69.925,3258
11/30/2018 4:14:00 PM,69.925,69.925,69.9075,69.925,10048
11/30/2018 4:13:00 PM,69.94,69.9475,69.92,69.9275,5513
11/30/2018 4:12:00 PM,69.93,69.94,69.93,69.9375,3249
11/30/2018 4:11:00 PM,69.9425,69.945,69.925,69.93,14138
11/30/2018 4:10:00 PM,69.95,69.9525,69.945,69.945,6394
11/30/2018 4:09:00 PM,69.965,69.97,69.95,69.95,14056
11/30/2018 4:08:00 PM,69.9725,69.9725,69.965,69.965,1598
11/30/2018 4:07:00 PM,69.9675,69.9775,69.9675,69.9775,894
11/30/2018 4:06:00 PM,69.965,69.9775,69.965,69.9675,902
11/30/2018 4:05:00 PM,69.97,69.975,69.965,69.965,3912
11/30/2018 4:04:00 PM,69.9825,69.985,69.97,69.97,1351
11/30/2018 4:03:00 PM,69.9875,69.9925,69.9825,69.9825,2300
11/30/2018 4:02:00 PM,69.975,69.9875,69.975,69.9875,289
11/30/2018 4:01:00 PM,69.98,69.98,69.9675,69.975,1122
11/30/2018 4:00:00 PM,69.975,69.9825,69.9725,69.98,1244
11/30/2018 3:59:00 PM,69.97,69.9825,69.965,69.975,4401
11/30/2018 3:58:00 PM,69.985,69.9925,69.97,69.97,4343
11/30/2018 3:57:00 PM,69.9925,69.9925,69.98,69.9875,2215
11/30/2018 3:56:00 PM,70.005,70.0075,69.9925,69.995,761
11/30/2018 3:55:00 PM,70.005,70.0075,70.0025,70.005,572
11/30/2018 3:54:00 PM,70,70.01,70,70,1346
11/30/2018 3:53:00 PM,70.0175,70.0175,70,70,714
11/30/2018 3:52:00 PM,70.0125,70.0175,70.0125,70.0175,207
11/30/2018 3:51:00 PM,70.0125,70.0125,70.01,70.0125,138
11/30/2018 3:50:00 PM,70.0125,70.0125,70.005,70.01,994
11/30/2018 3:49:00 PM,70.0225,70.025,70.01,70.0125,699
11/30/2018 3:48:00 PM,70.0125,70.025,70.01,70.025,298
11/30/2018 3:47:00 PM,70.0125,70.0175,70.0075,70.0125,1531
11/30/2018 3:46:00 PM,70.0075,70.015,70.0075,70.015,1102
11/30/2018 3:45:00 PM,70,70.0075,69.9975,70.0075,1614
11/30/2018 3:44:00 PM,69.995,70.005,69.995,70,452
11/30/2018 3:43:00 PM,70,70.0075,69.995,69.995,2471
