Date,YESBANK18DEC180PE O,YESBANK18DEC180PE H,YESBANK18DEC180PE L,YESBANK18DEC180PE C,YESBANK18DEC180PE V
11/30/2018 3:29:00 PM,22.35,22.45,22.35,22.45,1750
11/30/2018 3:28:00 PM,22.3,22.35,22.3,22.35,14000
11/30/2018 3:27:00 PM,22.35,22.35,22.3,22.3,1750
11/30/2018 3:26:00 PM,21.85,22.35,21.85,22.35,8750
11/30/2018 3:25:00 PM,21.8,21.85,21.8,21.85,1750
11/30/2018 3:24:00 PM,22,22,21.8,21.8,8750
11/30/2018 3:23:00 PM,21.95,22,21.75,22,7000
11/30/2018 3:22:00 PM,22.1,22.1,22.1,22.1,1750
11/30/2018 3:21:00 PM,22.45,22.45,22.1,22.1,7000
11/30/2018 3:20:00 PM,22.45,22.45,22.45,22.45,1750
11/30/2018 3:19:00 PM,22.7,22.7,22.45,22.45,3500
11/30/2018 3:18:00 PM,22.7,22.7,22.7,22.7,0
11/30/2018 3:17:00 PM,22.8,22.8,22.7,22.7,1750
11/30/2018 3:16:00 PM,22.8,22.8,22.8,22.8,1750
11/30/2018 3:15:00 PM,22.7,22.7,22.7,22.7,1750
11/30/2018 3:14:00 PM,22.7,22.7,22.7,22.7,0
11/30/2018 3:13:00 PM,23,23,22.7,22.7,1750
11/30/2018 3:12:00 PM,23,23,23,23,0
11/30/2018 3:11:00 PM,22.8,23,22.8,23,3500
11/30/2018 3:10:00 PM,22.8,22.8,22.8,22.8,0
11/30/2018 3:09:00 PM,23,23,22.8,22.8,1750
11/30/2018 3:08:00 PM,23,23,23,23,0
11/30/2018 3:07:00 PM,23,23,23,23,0
11/30/2018 3:06:00 PM,23,23,23,23,0
11/30/2018 3:05:00 PM,23,23,23,23,0
11/30/2018 3:04:00 PM,23,23,23,23,0
11/30/2018 3:03:00 PM,23,23,23,23,0
11/30/2018 3:02:00 PM,23,23,23,23,0
11/30/2018 3:01:00 PM,23,23,23,23,0
11/30/2018 3:00:00 PM,23.3,23.3,23,23,1750
11/30/2018 2:59:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:58:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:57:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:56:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:55:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:54:00 PM,23.2,23.3,23.2,23.3,3500
11/30/2018 2:53:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 2:52:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 2:51:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 2:50:00 PM,23.2,23.2,23.2,23.2,1750
11/30/2018 2:49:00 PM,22.85,23.2,22.85,23.2,1750
11/30/2018 2:48:00 PM,22.85,22.85,22.85,22.85,0
11/30/2018 2:47:00 PM,22.75,22.85,22.75,22.85,1750
11/30/2018 2:46:00 PM,22.75,22.75,22.75,22.75,0
11/30/2018 2:45:00 PM,22.75,22.75,22.75,22.75,0
11/30/2018 2:44:00 PM,22.75,22.75,22.75,22.75,0
11/30/2018 2:43:00 PM,22.2,22.8,22.2,22.75,10500
11/30/2018 2:42:00 PM,22.75,22.75,22.2,22.2,1750
11/30/2018 2:41:00 PM,23.3,23.3,22.5,22.75,36750
11/30/2018 2:40:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:39:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:38:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:37:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 2:36:00 PM,24,24,23.3,23.3,5250
11/30/2018 2:35:00 PM,24,24,24,24,0
11/30/2018 2:34:00 PM,24,24,24,24,0
11/30/2018 2:33:00 PM,24,24,24,24,0
11/30/2018 2:32:00 PM,24,24,24,24,0
11/30/2018 2:31:00 PM,24,24,24,24,0
11/30/2018 2:30:00 PM,24,24,24,24,0
11/30/2018 2:29:00 PM,24,24,24,24,0
11/30/2018 2:28:00 PM,24,24,24,24,0
11/30/2018 2:27:00 PM,24,24,24,24,0
11/30/2018 2:26:00 PM,24,24,24,24,0
11/30/2018 2:25:00 PM,24,24,24,24,0
11/30/2018 2:24:00 PM,24,24,24,24,3500
11/30/2018 2:23:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:22:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:21:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:20:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:19:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:18:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:17:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:16:00 PM,23.85,23.85,23.85,23.85,0
11/30/2018 2:15:00 PM,24,24,23.85,23.85,3500
11/30/2018 2:14:00 PM,24,24,24,24,0
11/30/2018 2:13:00 PM,24.35,24.35,24,24,3500
11/30/2018 2:12:00 PM,24.35,24.35,24.35,24.35,0
11/30/2018 2:11:00 PM,24.35,24.35,24.35,24.35,0
11/30/2018 2:10:00 PM,24.35,24.35,24.35,24.35,0
11/30/2018 2:09:00 PM,24.35,24.35,24.35,24.35,0
11/30/2018 2:08:00 PM,24.35,24.35,24.35,24.35,0
11/30/2018 2:07:00 PM,24.35,24.35,24.35,24.35,17500
11/30/2018 2:06:00 PM,24.5,24.5,24.35,24.35,17500
11/30/2018 2:05:00 PM,24.5,24.5,24.5,24.5,0
11/30/2018 2:04:00 PM,24.5,24.5,24.5,24.5,0
11/30/2018 2:03:00 PM,24.5,24.5,24.5,24.5,0
11/30/2018 2:02:00 PM,24.5,24.5,24.5,24.5,0
11/30/2018 2:01:00 PM,24.4,24.5,24.4,24.5,1750
11/30/2018 2:00:00 PM,24.1,24.4,24.1,24.4,8750
11/30/2018 1:59:00 PM,24.1,24.1,24.1,24.1,1750
11/30/2018 1:58:00 PM,24,24.1,24,24.1,3500
11/30/2018 1:57:00 PM,24,24,24,24,0
11/30/2018 1:56:00 PM,24,24,24,24,1750
11/30/2018 1:55:00 PM,23.65,24,23.65,24,1750
11/30/2018 1:54:00 PM,23.65,23.65,23.65,23.65,0
11/30/2018 1:53:00 PM,23.65,23.65,23.65,23.65,0
11/30/2018 1:52:00 PM,23.65,23.65,23.65,23.65,0
11/30/2018 1:51:00 PM,23.65,23.65,23.65,23.65,0
11/30/2018 1:50:00 PM,23.65,23.65,23.65,23.65,0
11/30/2018 1:49:00 PM,23.65,23.65,23.65,23.65,0
11/30/2018 1:48:00 PM,24.1,24.1,23.65,23.65,1750
11/30/2018 1:47:00 PM,24.1,24.1,24.1,24.1,0
11/30/2018 1:46:00 PM,24.1,24.1,24.1,24.1,0
11/30/2018 1:45:00 PM,24.1,24.1,24.1,24.1,0
11/30/2018 1:44:00 PM,24.1,24.1,24.1,24.1,0
11/30/2018 1:43:00 PM,24.1,24.1,24.1,24.1,0
11/30/2018 1:42:00 PM,24.1,24.1,24.1,24.1,0
11/30/2018 1:41:00 PM,23.3,24.1,23.3,24.1,1750
11/30/2018 1:40:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:39:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:38:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:37:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:36:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:35:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:34:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:33:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:32:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:31:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:30:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:29:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:28:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:27:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:26:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:25:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:24:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:23:00 PM,23.3,23.3,23.3,23.3,0
11/30/2018 1:22:00 PM,23.45,23.45,23.3,23.3,3500
11/30/2018 1:21:00 PM,23.45,23.45,23.45,23.45,0
11/30/2018 1:20:00 PM,23.45,23.45,23.45,23.45,1750
11/30/2018 1:19:00 PM,23.45,23.45,23.45,23.45,0
11/30/2018 1:18:00 PM,23.45,23.45,23.45,23.45,0
11/30/2018 1:17:00 PM,23.45,23.45,23.45,23.45,0
11/30/2018 1:16:00 PM,23.45,23.45,23.45,23.45,0
11/30/2018 1:15:00 PM,23.45,23.45,23.45,23.45,0
11/30/2018 1:14:00 PM,23.4,23.45,23.2,23.45,7000
11/30/2018 1:13:00 PM,23.4,23.4,23.4,23.4,0
11/30/2018 1:12:00 PM,23.4,23.4,23.4,23.4,0
11/30/2018 1:11:00 PM,23.4,23.4,23.4,23.4,0
11/30/2018 1:10:00 PM,23.4,23.4,23.4,23.4,0
11/30/2018 1:09:00 PM,23.4,23.4,23.4,23.4,0
11/30/2018 1:08:00 PM,23.4,23.4,23.4,23.4,0
11/30/2018 1:07:00 PM,23.2,23.4,23.2,23.4,1750
11/30/2018 1:06:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 1:05:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 1:04:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 1:03:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 1:02:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 1:01:00 PM,23.2,23.2,23.2,23.2,0
11/30/2018 1:00:00 PM,23.25,23.25,23.2,23.2,3500
11/30/2018 12:59:00 PM,23.25,23.25,23.25,23.25,0
11/30/2018 12:58:00 PM,22.95,23.25,22.95,23.25,1750
11/30/2018 12:57:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:56:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:55:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:54:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:53:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:52:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:51:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:50:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:49:00 PM,22.95,22.95,22.95,22.95,0
11/30/2018 12:48:00 PM,23,23,22.95,22.95,1750
11/30/2018 12:47:00 PM,23,23,23,23,0
11/30/2018 12:46:00 PM,22.85,23,22.8,23,5250
11/30/2018 12:45:00 PM,22.65,22.85,22.5,22.85,5250
