Date,YESBANK18DECFUT O,YESBANK18DECFUT H,YESBANK18DECFUT L,YESBANK18DECFUT C,YESBANK18DECFUT V
11/30/2018 3:29:00 PM,170.65,170.85,170.6,170.85,582750
11/30/2018 3:28:00 PM,170.65,170.8,170.5,170.6,351750
11/30/2018 3:27:00 PM,170.6,170.65,170.45,170.65,378000
11/30/2018 3:26:00 PM,170.95,170.95,170.55,170.55,266000
11/30/2018 3:25:00 PM,171.25,171.25,170.95,170.95,472500
11/30/2018 3:24:00 PM,170.9,171.35,170.9,171.2,455000
11/30/2018 3:23:00 PM,171.15,171.3,170.75,170.8,792750
11/30/2018 3:22:00 PM,170.7,171.2,170.7,171.2,635250
11/30/2018 3:21:00 PM,170.7,170.9,170.6,170.65,483000
11/30/2018 3:20:00 PM,170.55,170.9,170.5,170.75,551250
11/30/2018 3:19:00 PM,170.4,170.6,170.35,170.4,710500
11/30/2018 3:18:00 PM,170.1,170.25,170,170.25,463750
11/30/2018 3:17:00 PM,170.1,170.25,170,170.1,218750
11/30/2018 3:16:00 PM,169.95,170.25,169.9,170.1,624750
11/30/2018 3:15:00 PM,170.05,170.15,169.8,169.85,344750
11/30/2018 3:14:00 PM,170.1,170.1,169.9,170,210000
11/30/2018 3:13:00 PM,169.95,170.15,169.9,170,327250
11/30/2018 3:12:00 PM,169.8,170,169.75,169.95,234500
11/30/2018 3:11:00 PM,169.65,169.8,169.55,169.7,78750
11/30/2018 3:10:00 PM,169.7,169.8,169.5,169.5,166250
11/30/2018 3:09:00 PM,169.85,170,169.6,169.6,238000
11/30/2018 3:08:00 PM,170.3,170.3,169.95,169.95,173250
11/30/2018 3:07:00 PM,169.9,170.3,169.85,170.3,292250
11/30/2018 3:06:00 PM,169.75,169.95,169.65,169.95,175000
11/30/2018 3:05:00 PM,169.95,169.95,169.85,169.9,120750
11/30/2018 3:04:00 PM,169.8,169.8,169.65,169.7,168000
11/30/2018 3:03:00 PM,169.9,170,169.85,169.9,108500
11/30/2018 3:02:00 PM,170.05,170.1,169.7,169.8,134750
11/30/2018 3:01:00 PM,170.05,170.15,170,170,176750
11/30/2018 3:00:00 PM,169.55,170.15,169.55,170.15,266000
11/30/2018 2:59:00 PM,169.6,169.65,169.5,169.55,82250
11/30/2018 2:58:00 PM,169.5,169.6,169.45,169.55,91000
11/30/2018 2:57:00 PM,169.6,169.65,169.35,169.5,113750
11/30/2018 2:56:00 PM,169.5,169.7,169.4,169.65,103250
11/30/2018 2:55:00 PM,169.35,169.6,169.3,169.5,136500
11/30/2018 2:54:00 PM,168.8,169.35,168.7,169.25,157500
11/30/2018 2:53:00 PM,168.8,168.95,168.45,168.8,290500
11/30/2018 2:52:00 PM,169.15,169.25,168.8,168.8,374500
11/30/2018 2:51:00 PM,169.35,169.45,169.25,169.25,131250
11/30/2018 2:50:00 PM,169.35,169.55,169.3,169.4,117250
11/30/2018 2:49:00 PM,169.55,169.55,169.1,169.4,358750
11/30/2018 2:48:00 PM,169.95,170.05,169.4,169.55,407750
11/30/2018 2:47:00 PM,170.2,170.4,169.95,169.95,138250
11/30/2018 2:46:00 PM,170,170.1,169.8,170.1,185500
11/30/2018 2:45:00 PM,170.35,170.45,169.8,170,260750
11/30/2018 2:44:00 PM,170.35,170.4,170.1,170.35,211750
11/30/2018 2:43:00 PM,170.4,170.7,170.35,170.4,432250
11/30/2018 2:42:00 PM,170.7,171.2,170.35,170.45,1025500
11/30/2018 2:41:00 PM,170.2,170.7,170.05,170.7,535500
11/30/2018 2:40:00 PM,170.25,170.4,169.7,170.1,714000
11/30/2018 2:39:00 PM,169.55,170.2,169.55,170.15,714000
11/30/2018 2:38:00 PM,169.25,169.65,169.05,169.55,302750
11/30/2018 2:37:00 PM,169.2,169.6,169.15,169.25,493500
11/30/2018 2:36:00 PM,168.95,169.5,168.85,169.15,864500
11/30/2018 2:35:00 PM,168.6,168.9,168.35,168.9,362250
11/30/2018 2:34:00 PM,168.4,168.6,168.3,168.6,71750
11/30/2018 2:33:00 PM,168.2,168.4,168.2,168.4,38500
11/30/2018 2:32:00 PM,168.35,168.55,168.2,168.2,145250
11/30/2018 2:31:00 PM,168.2,168.35,168.15,168.35,33250
11/30/2018 2:30:00 PM,168.15,168.2,168.05,168.2,42000
11/30/2018 2:29:00 PM,168.3,168.35,168.15,168.15,36750
11/30/2018 2:28:00 PM,168.5,168.5,168.25,168.3,66500
11/30/2018 2:27:00 PM,168.3,168.6,168.3,168.5,54250
11/30/2018 2:26:00 PM,168.35,168.4,168.25,168.3,63000
11/30/2018 2:25:00 PM,168.25,168.55,168.2,168.35,110250
11/30/2018 2:24:00 PM,168.2,168.3,168.15,168.25,50750
11/30/2018 2:23:00 PM,168.05,168.15,167.95,167.95,50750
11/30/2018 2:22:00 PM,168.2,168.2,168.05,168.05,26250
11/30/2018 2:21:00 PM,168,168.2,167.95,168.2,105000
11/30/2018 2:20:00 PM,168.2,168.3,167.9,168,82250
11/30/2018 2:19:00 PM,168.2,168.25,168.1,168.2,45500
11/30/2018 2:18:00 PM,168.4,168.4,167.95,168.1,124250
11/30/2018 2:17:00 PM,168.35,168.6,168.15,168.4,103250
11/30/2018 2:16:00 PM,168.5,168.75,168.35,168.35,112000
11/30/2018 2:15:00 PM,168.2,168.45,168.15,168.45,66500
11/30/2018 2:14:00 PM,168.15,168.2,168.05,168.2,38500
11/30/2018 2:13:00 PM,168.2,168.25,168.05,168.15,47250
11/30/2018 2:12:00 PM,167.85,168.2,167.85,168.1,91000
11/30/2018 2:11:00 PM,167.65,167.9,167.65,167.85,33250
11/30/2018 2:10:00 PM,167.9,167.95,167.6,167.7,140000
11/30/2018 2:09:00 PM,167.9,168,167.9,167.9,40250
11/30/2018 2:08:00 PM,167.7,168.1,167.7,167.9,189000
11/30/2018 2:07:00 PM,167.7,168,167.7,167.7,115500
11/30/2018 2:06:00 PM,167.85,167.9,167.7,167.7,68250
11/30/2018 2:05:00 PM,167.85,167.95,167.6,167.85,103250
11/30/2018 2:04:00 PM,167.85,168.1,167.85,168,87500
11/30/2018 2:03:00 PM,168,168,167.75,167.85,49000
11/30/2018 2:02:00 PM,167.75,168.15,167.6,168,127750
11/30/2018 2:01:00 PM,167.45,167.9,167.45,167.75,234500
11/30/2018 2:00:00 PM,167.95,168,167.3,167.45,668500
11/30/2018 1:59:00 PM,168.2,168.3,167.9,167.95,245000
11/30/2018 1:58:00 PM,168.35,168.5,167.9,168.2,323750
11/30/2018 1:57:00 PM,168.2,168.6,168.2,168.35,106750
11/30/2018 1:56:00 PM,167.9,168.25,167.9,168.15,101500
11/30/2018 1:55:00 PM,168.15,168.3,167.9,167.95,154000
11/30/2018 1:54:00 PM,168.25,168.35,168.1,168.15,43750
11/30/2018 1:53:00 PM,168.65,168.65,168,168.25,316750
11/30/2018 1:52:00 PM,168.55,168.75,168.4,168.65,89250
