Date,AXISBANK-EQ O,AXISBANK-EQ H,AXISBANK-EQ L,AXISBANK-EQ C,AXISBANK-EQ V
11/29/2018 3:29:00 PM,631.9,631.9,629.5,629.5,38329
11/29/2018 3:28:00 PM,631.5,631.95,631.3,631.6,31117
11/29/2018 3:27:00 PM,631.65,632,631.25,631.55,73434
11/29/2018 3:26:00 PM,631.5,632.1,631.3,631.65,203677
11/29/2018 3:25:00 PM,631.9,631.9,631.25,631.5,46374
11/29/2018 3:24:00 PM,631.1,631.95,630.9,631.8,46391
11/29/2018 3:23:00 PM,631.8,631.8,630.6,630.65,133997
11/29/2018 3:22:00 PM,631.1,631.8,631.05,631.5,66414
11/29/2018 3:21:00 PM,630.95,631.25,630.6,631.1,62544
11/29/2018 3:20:00 PM,630.8,631,630.6,630.9,71447
11/29/2018 3:19:00 PM,631.15,631.15,630.35,630.45,69438
11/29/2018 3:18:00 PM,630.85,631.4,630.6,631.2,113150
11/29/2018 3:17:00 PM,631.05,631.5,630.7,630.7,106073
11/29/2018 3:16:00 PM,631.55,631.55,630.65,630.85,111353
11/29/2018 3:15:00 PM,631.2,631.7,631,631.15,89100
11/29/2018 3:14:00 PM,630.95,631.35,630.5,631.3,124821
11/29/2018 3:13:00 PM,631.35,631.4,630.6,630.9,55356
11/29/2018 3:12:00 PM,631.35,631.6,630.8,631.1,66210
11/29/2018 3:11:00 PM,631.5,631.75,630.7,630.95,91347
11/29/2018 3:10:00 PM,632,632.2,631.3,631.75,88457
11/29/2018 3:09:00 PM,632.4,632.4,631.5,632,72491
11/29/2018 3:08:00 PM,633.2,633.4,632.2,632.2,57386
11/29/2018 3:07:00 PM,631.55,633.35,631.35,632.8,104077
11/29/2018 3:06:00 PM,631.25,631.7,631,631.55,59654
11/29/2018 3:05:00 PM,631.45,631.75,631,631.25,61180
11/29/2018 3:04:00 PM,630.1,631.45,630,631.35,64692
11/29/2018 3:03:00 PM,631.6,631.8,629.6,630,87475
11/29/2018 3:02:00 PM,632.25,632.35,631.5,631.8,71147
11/29/2018 3:01:00 PM,631.8,632.4,631.5,632.25,109522
11/29/2018 3:00:00 PM,631,631.5,630.6,631.5,69983
11/29/2018 2:59:00 PM,630.7,631.2,630.55,631,43906
11/29/2018 2:58:00 PM,631.3,631.35,630.7,630.9,43463
11/29/2018 2:57:00 PM,630.4,631.3,630.4,631.3,23192
11/29/2018 2:56:00 PM,630.05,630.55,630.05,630.4,54959
11/29/2018 2:55:00 PM,630.45,630.7,630,630,72585
11/29/2018 2:54:00 PM,630.5,631,630.45,630.45,22418
11/29/2018 2:53:00 PM,630.1,631.1,630.1,630.75,74996
11/29/2018 2:52:00 PM,630,630.25,629.7,630.2,20473
11/29/2018 2:51:00 PM,629.8,630.2,629.55,630,38504
11/29/2018 2:50:00 PM,629.4,630.2,629.3,629.55,117249
11/29/2018 2:49:00 PM,629.45,629.9,629.2,629.4,22404
11/29/2018 2:48:00 PM,629.1,629.5,629.05,629.2,51346
11/29/2018 2:47:00 PM,629.35,629.65,629.05,629.1,16528
11/29/2018 2:46:00 PM,629.65,629.9,629.25,629.6,22977
11/29/2018 2:45:00 PM,629,629.6,628.5,629.4,77106
11/29/2018 2:44:00 PM,628.5,629,628.5,629,32984
11/29/2018 2:43:00 PM,628.55,628.9,628.5,628.6,40150
11/29/2018 2:42:00 PM,628.8,629,628.25,628.5,29809
11/29/2018 2:41:00 PM,629.95,630,628.7,628.8,34421
11/29/2018 2:40:00 PM,628.5,630,628.3,629.7,42987
11/29/2018 2:39:00 PM,628.3,628.5,628.1,628.35,49613
11/29/2018 2:38:00 PM,628.25,628.5,628,628.25,34245
11/29/2018 2:37:00 PM,628.2,628.4,628.1,628.4,32256
11/29/2018 2:36:00 PM,628.1,628.5,628.1,628.2,32262
11/29/2018 2:35:00 PM,628,628.5,628,628.1,65595
11/29/2018 2:34:00 PM,628.25,628.25,627.75,628,112042
11/29/2018 2:33:00 PM,628.3,628.35,628,628.25,43077
11/29/2018 2:32:00 PM,628,628.4,627.85,628,75848
11/29/2018 2:31:00 PM,627,628,627,627.95,30579
11/29/2018 2:30:00 PM,626.75,627.45,626.25,627.3,66508
11/29/2018 2:29:00 PM,626,627,625.8,626.75,27061
11/29/2018 2:28:00 PM,626.35,626.35,625.8,625.9,15944
11/29/2018 2:27:00 PM,625.95,626.3,625.7,626.1,25525
11/29/2018 2:26:00 PM,625.95,626.25,625.65,626,24483
11/29/2018 2:25:00 PM,626.1,626.35,625.55,625.95,29341
11/29/2018 2:24:00 PM,627.7,627.9,626.15,626.35,44454
11/29/2018 2:23:00 PM,628.25,628.5,627.7,627.7,380039
11/29/2018 2:22:00 PM,628.2,628.55,628,628.2,13427
11/29/2018 2:21:00 PM,628,628.75,627.95,628.25,46367
11/29/2018 2:20:00 PM,628.6,628.6,627.65,628,39032
11/29/2018 2:19:00 PM,629.8,629.9,628.25,628.6,66749
11/29/2018 2:18:00 PM,630.7,630.75,629.6,629.95,75938
11/29/2018 2:17:00 PM,630.3,630.8,630.1,630.7,69672
11/29/2018 2:16:00 PM,629.9,630.85,629.65,630.3,99784
11/29/2018 2:15:00 PM,630.3,630.3,629.65,629.75,88299
11/29/2018 2:14:00 PM,630.95,631.1,630,630.15,94809
11/29/2018 2:13:00 PM,629.2,631.55,629.2,631,189794
11/29/2018 2:12:00 PM,628.4,629.35,628.1,629.2,143250
11/29/2018 2:11:00 PM,627.95,628.8,627.95,628.45,75491
11/29/2018 2:10:00 PM,627.7,628,627.5,628,37240
11/29/2018 2:09:00 PM,627.35,627.7,627.2,627.7,14523
11/29/2018 2:08:00 PM,627.1,627.7,626.85,627.35,16212
11/29/2018 2:07:00 PM,627.95,628,627.5,627.5,20206
11/29/2018 2:06:00 PM,627.9,627.95,627.55,627.75,6151
11/29/2018 2:05:00 PM,628.05,628.4,627.55,627.6,61219
11/29/2018 2:04:00 PM,628,628.05,627.7,628.05,33015
11/29/2018 2:03:00 PM,626.9,628,626.4,627.95,66104
11/29/2018 2:02:00 PM,626.55,626.9,626.25,626.75,21640
11/29/2018 2:01:00 PM,625.45,627,625.3,626.7,29140
11/29/2018 2:00:00 PM,625.3,625.5,625.1,625.5,51680
11/29/2018 1:59:00 PM,625.95,626.2,625.15,625.45,24982
11/29/2018 1:58:00 PM,626.4,626.4,625.9,625.95,14832
11/29/2018 1:57:00 PM,626.45,626.5,626.05,626.4,9581
11/29/2018 1:56:00 PM,626.85,627,626.1,626.35,29783
11/29/2018 1:55:00 PM,628.3,628.35,626.45,626.45,44992
11/29/2018 1:54:00 PM,627.75,628.55,627.75,628.3,23081
11/29/2018 1:53:00 PM,627.95,628.2,627.75,628,54354
11/29/2018 1:52:00 PM,627.6,628,627.4,627.8,58283
11/29/2018 1:51:00 PM,628.5,628.5,627.5,627.8,51629
11/29/2018 1:50:00 PM,628.3,628.95,628,628.5,44844
11/29/2018 1:49:00 PM,627.9,628.3,627.25,628.3,54758
11/29/2018 1:48:00 PM,627.95,628.15,627.55,627.75,39572
11/29/2018 1:47:00 PM,626.75,629,626.75,627.65,121940
11/29/2018 1:46:00 PM,626.15,626.7,626,626.5,24990
11/29/2018 1:45:00 PM,625.8,626.1,625.75,625.95,27625
11/29/2018 1:44:00 PM,625.7,625.8,625.4,625.8,8452
11/29/2018 1:43:00 PM,625.7,625.75,625.3,625.7,11589
11/29/2018 1:42:00 PM,625.95,626,625.5,625.7,9022
11/29/2018 1:41:00 PM,626,626.1,625.75,625.8,5722
11/29/2018 1:40:00 PM,625.85,626.1,625.8,626,14692
11/29/2018 1:39:00 PM,625.75,626,625.5,625.85,10822
11/29/2018 1:38:00 PM,626.2,626.25,625.5,625.75,9825
11/29/2018 1:37:00 PM,625.9,626.25,625.75,626.1,6209
11/29/2018 1:36:00 PM,626,626.2,625.7,625.95,5290
11/29/2018 1:35:00 PM,625.9,626.2,625.85,626.05,916304
