Date,BANKBARODA-EQ O,BANKBARODA-EQ H,BANKBARODA-EQ L,BANKBARODA-EQ C,BANKBARODA-EQ V
11/29/2018 3:29:00 PM,104.95,105.15,104.95,105.15,41445
11/29/2018 3:28:00 PM,105,105.1,104.95,105,51624
11/29/2018 3:27:00 PM,105,105.1,104.85,105,112189
11/29/2018 3:26:00 PM,105.05,105.1,104.85,104.9,76403
11/29/2018 3:25:00 PM,104.9,105.1,104.9,105.1,88315
11/29/2018 3:24:00 PM,104.9,105.05,104.9,105.05,64302
11/29/2018 3:23:00 PM,105,105.1,104.9,105,165163
11/29/2018 3:22:00 PM,105.05,105.1,104.9,105.1,137897
11/29/2018 3:21:00 PM,105.1,105.1,104.95,105,79241
11/29/2018 3:20:00 PM,105.1,105.15,104.9,105.1,123091
11/29/2018 3:19:00 PM,105.25,105.35,105.15,105.15,88575
11/29/2018 3:18:00 PM,104.95,105.25,104.85,105.2,202515
11/29/2018 3:17:00 PM,104.95,105,104.8,104.95,92377
11/29/2018 3:16:00 PM,104.8,105,104.8,104.95,88623
11/29/2018 3:15:00 PM,104.75,105.1,104.7,104.8,198861
11/29/2018 3:14:00 PM,104.75,104.85,104.7,104.75,78392
11/29/2018 3:13:00 PM,104.9,104.9,104.75,104.8,60635
11/29/2018 3:12:00 PM,104.85,105,104.8,104.8,95547
11/29/2018 3:11:00 PM,104.75,104.95,104.7,104.8,77403
11/29/2018 3:10:00 PM,104.7,104.8,104.65,104.8,91324
11/29/2018 3:09:00 PM,104.7,104.75,104.6,104.7,72669
11/29/2018 3:08:00 PM,104.85,104.85,104.7,104.75,65597
11/29/2018 3:07:00 PM,104.9,104.95,104.8,104.85,92077
11/29/2018 3:06:00 PM,105.2,105.25,104.85,104.9,132451
11/29/2018 3:05:00 PM,105.25,105.35,105.2,105.2,84878
11/29/2018 3:04:00 PM,105.25,105.35,105.2,105.2,64665
11/29/2018 3:03:00 PM,105.2,105.35,105.2,105.3,68313
11/29/2018 3:02:00 PM,105.55,105.55,105.2,105.25,70700
11/29/2018 3:01:00 PM,105.6,105.65,105.4,105.55,70090
11/29/2018 3:00:00 PM,105.35,105.7,105.3,105.6,150032
11/29/2018 2:59:00 PM,105.3,105.4,105.2,105.2,63706
