Date,BANKBARODA18DECFUT O,BANKBARODA18DECFUT H,BANKBARODA18DECFUT L,BANKBARODA18DECFUT C,BANKBARODA18DECFUT V
11/29/2018 3:29:00 PM,105.45,105.6,105.3,105.6,204000
11/29/2018 3:28:00 PM,105.25,105.35,105.2,105.35,164000
11/29/2018 3:27:00 PM,105.3,105.3,105.2,105.2,92000
11/29/2018 3:26:00 PM,105.25,105.3,105.15,105.3,192000
11/29/2018 3:25:00 PM,105.2,105.25,105.15,105.25,92000
11/29/2018 3:24:00 PM,105.1,105.3,105.1,105.2,160000
11/29/2018 3:23:00 PM,105.2,105.25,105.05,105.1,180000
11/29/2018 3:22:00 PM,105.2,105.2,105.05,105.2,156000
11/29/2018 3:21:00 PM,105.1,105.2,105,105.2,100000
11/29/2018 3:20:00 PM,105.15,105.15,105,105.05,164000
11/29/2018 3:19:00 PM,105.2,105.2,105.1,105.15,128000
11/29/2018 3:18:00 PM,105.1,105.25,105.05,105.2,128000
11/29/2018 3:17:00 PM,105.15,105.15,105,105.1,176000
11/29/2018 3:16:00 PM,105.15,105.25,105.15,105.15,124000
11/29/2018 3:15:00 PM,105.15,105.3,105.1,105.2,304000
11/29/2018 3:14:00 PM,105.05,105.15,105.05,105.15,128000
11/29/2018 3:13:00 PM,105.05,105.2,105.05,105.05,196000
11/29/2018 3:12:00 PM,105.1,105.3,105.05,105.05,136000
11/29/2018 3:11:00 PM,105.1,105.25,105.1,105.1,100000
11/29/2018 3:10:00 PM,105.1,105.15,105.05,105.1,120000
11/29/2018 3:09:00 PM,105.1,105.15,105.05,105.1,128000
11/29/2018 3:08:00 PM,105.1,105.15,105.05,105.1,116000
11/29/2018 3:07:00 PM,105.15,105.2,105.1,105.1,108000
11/29/2018 3:06:00 PM,105.5,105.55,105.15,105.15,212000
11/29/2018 3:05:00 PM,105.5,105.65,105.45,105.5,136000
11/29/2018 3:04:00 PM,105.65,105.65,105.5,105.5,120000
11/29/2018 3:03:00 PM,105.65,105.7,105.6,105.65,124000
11/29/2018 3:02:00 PM,105.8,105.85,105.55,105.6,128000
11/29/2018 3:01:00 PM,105.85,105.95,105.8,105.8,124000
11/29/2018 3:00:00 PM,105.65,106,105.6,105.85,192000
11/29/2018 2:59:00 PM,105.6,105.7,105.5,105.5,128000
11/29/2018 2:58:00 PM,105.8,105.8,105.6,105.6,60000
11/29/2018 2:57:00 PM,105.85,105.9,105.75,105.8,120000
11/29/2018 2:56:00 PM,105.85,106.05,105.8,105.85,88000
11/29/2018 2:55:00 PM,105.8,105.9,105.55,105.85,240000
11/29/2018 2:54:00 PM,106,106,105.75,105.8,192000
11/29/2018 2:53:00 PM,106.1,106.15,105.95,106,340000
11/29/2018 2:52:00 PM,106.3,106.35,106.1,106.1,168000
11/29/2018 2:51:00 PM,106.3,106.4,106.25,106.3,108000
11/29/2018 2:50:00 PM,106.55,106.55,106.35,106.35,88000
11/29/2018 2:49:00 PM,106.6,106.6,106.5,106.55,36000
11/29/2018 2:48:00 PM,106.45,106.6,106.45,106.6,92000
11/29/2018 2:47:00 PM,106.5,106.55,106.4,106.55,76000
11/29/2018 2:46:00 PM,106.6,106.6,106.4,106.4,72000
11/29/2018 2:45:00 PM,106.6,106.6,106.5,106.6,80000
11/29/2018 2:44:00 PM,106.55,106.6,106.5,106.5,36000
11/29/2018 2:43:00 PM,106.6,106.6,106.6,106.6,32000
11/29/2018 2:42:00 PM,106.5,106.6,106.5,106.6,56000
11/29/2018 2:41:00 PM,106.55,106.55,106.45,106.55,44000
11/29/2018 2:40:00 PM,106.35,106.5,106.35,106.5,128000
11/29/2018 2:39:00 PM,106.35,106.4,106.25,106.4,128000
11/29/2018 2:38:00 PM,106.35,106.5,106.35,106.5,104000
11/29/2018 2:37:00 PM,106.3,106.35,106.2,106.35,96000
11/29/2018 2:36:00 PM,106.2,106.3,106.2,106.3,16000
11/29/2018 2:35:00 PM,106.2,106.2,106.1,106.2,96000
11/29/2018 2:34:00 PM,106.3,106.3,106.1,106.1,196000
11/29/2018 2:33:00 PM,106.2,106.35,106.1,106.3,124000
11/29/2018 2:32:00 PM,106.1,106.2,106.1,106.2,36000
11/29/2018 2:31:00 PM,105.95,106.2,105.95,106.1,144000
11/29/2018 2:30:00 PM,106.15,106.2,106,106,108000
11/29/2018 2:29:00 PM,106.15,106.25,106.1,106.15,112000
11/29/2018 2:28:00 PM,106,106.25,106,106.15,104000
11/29/2018 2:27:00 PM,105.95,106.05,105.95,106,36000
11/29/2018 2:26:00 PM,106.2,106.2,105.95,105.95,96000
11/29/2018 2:25:00 PM,106.15,106.25,106.05,106.2,84000
11/29/2018 2:24:00 PM,106.25,106.3,106.15,106.15,140000
11/29/2018 2:23:00 PM,106.1,106.25,106,106.1,168000
11/29/2018 2:22:00 PM,106.4,106.45,106.1,106.1,168000
11/29/2018 2:21:00 PM,106.45,106.45,106.4,106.4,48000
11/29/2018 2:20:00 PM,106.35,106.4,106.35,106.35,48000
11/29/2018 2:19:00 PM,106.45,106.45,106.35,106.35,36000
11/29/2018 2:18:00 PM,106.4,106.45,106.4,106.45,32000
11/29/2018 2:17:00 PM,106.4,106.4,106.35,106.4,92000
11/29/2018 2:16:00 PM,106.25,106.45,106.25,106.35,80000
11/29/2018 2:15:00 PM,106.25,106.45,106.25,106.25,112000
11/29/2018 2:14:00 PM,106.45,106.6,106.25,106.25,124000
11/29/2018 2:13:00 PM,106.9,106.9,106.45,106.45,120000
11/29/2018 2:12:00 PM,107,107,106.9,106.9,132000
11/29/2018 2:11:00 PM,107.05,107.1,106.95,107,116000
11/29/2018 2:10:00 PM,107,107.15,107,107.05,168000
11/29/2018 2:09:00 PM,106.9,107.1,106.9,107,148000
11/29/2018 2:08:00 PM,106.9,106.95,106.85,106.9,72000
11/29/2018 2:07:00 PM,106.95,107,106.85,106.9,132000
11/29/2018 2:06:00 PM,106.85,107,106.75,106.95,192000
11/29/2018 2:05:00 PM,106.85,106.85,106.75,106.85,64000
11/29/2018 2:04:00 PM,106.8,106.9,106.7,106.85,184000
11/29/2018 2:03:00 PM,106.6,106.75,106.55,106.75,156000
11/29/2018 2:02:00 PM,106.7,106.75,106.6,106.6,136000
11/29/2018 2:01:00 PM,106.7,106.75,106.65,106.7,208000
