Date,COPPER18NOVFUT O,COPPER18NOVFUT H,COPPER18NOVFUT L,COPPER18NOVFUT C,COPPER18NOVFUT V
11/29/2018 11:54:00 PM,426.45,426.45,426.1,426.4,49
11/29/2018 11:53:00 PM,426.3,426.45,426.3,426.45,16
11/29/2018 11:52:00 PM,426,426.25,426,426.25,48
11/29/2018 11:51:00 PM,426.15,426.25,425.95,426,36
11/29/2018 11:50:00 PM,426.15,426.2,426.1,426.2,45
11/29/2018 11:49:00 PM,426.15,426.15,426,426.15,41
11/29/2018 11:48:00 PM,426.15,426.15,426.05,426.15,30
11/29/2018 11:47:00 PM,426.2,426.2,426.05,426.15,62
11/29/2018 11:46:00 PM,426.1,426.2,426.05,426.15,44
11/29/2018 11:45:00 PM,425.7,426.2,425.7,426.1,93
11/29/2018 11:44:00 PM,425.8,425.9,425.75,425.75,22
11/29/2018 11:43:00 PM,425.9,425.9,425.8,425.8,27
11/29/2018 11:42:00 PM,425.85,426,425.8,425.9,38
11/29/2018 11:41:00 PM,425.95,426.1,425.7,425.85,333
11/29/2018 11:40:00 PM,426.15,426.25,425.85,425.95,363
11/29/2018 11:39:00 PM,426.2,426.25,426.15,426.15,65
11/29/2018 11:38:00 PM,426.1,426.4,426.1,426.2,47
11/29/2018 11:37:00 PM,426.5,426.5,426.1,426.1,92
11/29/2018 11:36:00 PM,426.65,426.75,426.35,426.5,260
11/29/2018 11:35:00 PM,427,427,426.5,426.6,86
11/29/2018 11:34:00 PM,426.85,426.9,426.7,426.8,94
11/29/2018 11:33:00 PM,426.75,426.85,426.5,426.85,196
11/29/2018 11:32:00 PM,427.2,427.2,426.6,426.75,149
11/29/2018 11:31:00 PM,427.35,427.35,426.8,427.2,119
11/29/2018 11:30:00 PM,427.65,427.8,427.2,427.3,159
11/29/2018 11:29:00 PM,427.7,427.8,427.6,427.65,63
11/29/2018 11:28:00 PM,427.7,427.75,427.5,427.7,58
11/29/2018 11:27:00 PM,427.5,427.75,427.5,427.7,76
11/29/2018 11:26:00 PM,427.35,427.6,427.3,427.5,123
11/29/2018 11:25:00 PM,427.5,427.55,427.35,427.35,109
11/29/2018 11:24:00 PM,427.55,427.55,427.45,427.5,8
11/29/2018 11:23:00 PM,427.4,427.65,427.4,427.45,38
11/29/2018 11:22:00 PM,427.6,427.6,427.3,427.4,35
11/29/2018 11:21:00 PM,427.6,427.6,427.55,427.6,8
11/29/2018 11:20:00 PM,427.35,427.65,427.35,427.6,59
11/29/2018 11:19:00 PM,427.35,427.4,427.35,427.35,20
11/29/2018 11:18:00 PM,427.4,427.45,427.35,427.35,6
11/29/2018 11:17:00 PM,427.15,427.4,427.15,427.35,15
11/29/2018 11:16:00 PM,427.25,427.25,427.15,427.15,83
11/29/2018 11:15:00 PM,427.2,427.2,427,427.2,18
11/29/2018 11:14:00 PM,427,427.2,426.95,427.2,34
11/29/2018 11:13:00 PM,427.05,427.05,426.95,427,10
11/29/2018 11:12:00 PM,426.95,427.1,426.9,427.05,77
11/29/2018 11:11:00 PM,427.1,427.1,426.85,426.85,40
11/29/2018 11:10:00 PM,427.2,427.2,427,427.1,13
11/29/2018 11:09:00 PM,427.2,427.2,426.9,427.2,74
11/29/2018 11:08:00 PM,427.2,427.25,427.2,427.2,27
11/29/2018 11:07:00 PM,427.2,427.25,427.1,427.2,71
11/29/2018 11:06:00 PM,427.15,427.3,427.1,427.2,15
11/29/2018 11:05:00 PM,427.15,427.3,427.15,427.15,13
11/29/2018 11:04:00 PM,427.3,427.3,427.1,427.15,23
11/29/2018 11:03:00 PM,427.4,427.45,427.3,427.3,19
11/29/2018 11:02:00 PM,427.25,427.4,427.2,427.4,22
11/29/2018 11:01:00 PM,427.4,427.4,427.25,427.25,16
11/29/2018 11:00:00 PM,427.35,427.4,427.3,427.4,13
11/29/2018 10:59:00 PM,427.45,427.45,427.35,427.35,23
11/29/2018 10:58:00 PM,427.1,427.4,427.1,427.4,20
11/29/2018 10:57:00 PM,427.2,427.2,427.1,427.1,21
11/29/2018 10:56:00 PM,427.2,427.3,427.15,427.2,22
11/29/2018 10:55:00 PM,427.3,427.4,427.2,427.2,47
11/29/2018 10:54:00 PM,427.2,427.3,427.2,427.3,16
11/29/2018 10:53:00 PM,427.15,427.3,427.15,427.2,22
11/29/2018 10:52:00 PM,427.35,427.35,427.15,427.15,27
11/29/2018 10:51:00 PM,427.4,427.45,427.3,427.35,43
11/29/2018 10:50:00 PM,427.5,427.5,427.4,427.4,18
11/29/2018 10:49:00 PM,427.55,427.6,427.45,427.5,14
11/29/2018 10:48:00 PM,427.55,427.6,427.5,427.55,22
11/29/2018 10:47:00 PM,427.55,427.6,427.5,427.55,14
11/29/2018 10:46:00 PM,427.7,427.7,427.5,427.5,32
11/29/2018 10:45:00 PM,427.7,427.7,427.65,427.7,15
11/29/2018 10:44:00 PM,427.75,427.75,427.7,427.7,14
11/29/2018 10:43:00 PM,427.65,427.85,427.65,427.75,25
