Date,CRUDEOIL18DECFUT O,CRUDEOIL18DECFUT H,CRUDEOIL18DECFUT L,CRUDEOIL18DECFUT C,CRUDEOIL18DECFUT V
11/29/2018 11:54:00 PM,3634,3643,3634,3643,304
11/29/2018 11:53:00 PM,3633,3635,3632,3634,214
11/29/2018 11:52:00 PM,3631,3633,3629,3633,426
11/29/2018 11:51:00 PM,3634,3634,3630,3631,231
11/29/2018 11:50:00 PM,3635,3635,3632,3634,218
11/29/2018 11:49:00 PM,3631,3635,3630,3635,231
11/29/2018 11:48:00 PM,3630,3631,3630,3631,137
11/29/2018 11:47:00 PM,3631,3633,3630,3630,99
11/29/2018 11:46:00 PM,3631,3632,3629,3631,360
11/29/2018 11:45:00 PM,3629,3632,3627,3631,346
11/29/2018 11:44:00 PM,3629,3631,3627,3629,119
11/29/2018 11:43:00 PM,3629,3630,3628,3629,169
11/29/2018 11:42:00 PM,3628,3630,3628,3629,213
11/29/2018 11:41:00 PM,3630,3633,3627,3628,962
11/29/2018 11:40:00 PM,3629,3633,3628,3629,626
11/29/2018 11:39:00 PM,3628,3630,3627,3629,135
11/29/2018 11:38:00 PM,3627,3629,3625,3628,151
11/29/2018 11:37:00 PM,3630,3630,3625,3627,153
11/29/2018 11:36:00 PM,3628,3631,3627,3630,320
11/29/2018 11:35:00 PM,3641,3643,3628,3628,550
11/29/2018 11:34:00 PM,3637,3647,3636,3641,807
11/29/2018 11:33:00 PM,3634,3637,3633,3637,406
11/29/2018 11:32:00 PM,3632,3636,3631,3634,250
11/29/2018 11:31:00 PM,3632,3634,3631,3632,548
11/29/2018 11:30:00 PM,3635,3637,3630,3632,274
11/29/2018 11:29:00 PM,3634,3641,3634,3635,936
11/29/2018 11:28:00 PM,3631,3634,3631,3634,221
11/29/2018 11:27:00 PM,3631,3633,3631,3632,201
11/29/2018 11:26:00 PM,3629,3633,3627,3632,325
11/29/2018 11:25:00 PM,3628,3629,3626,3629,108
11/29/2018 11:24:00 PM,3629,3629,3627,3628,49
11/29/2018 11:23:00 PM,3630,3630,3627,3629,100
