Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
11/29/2018 3:29:00 PM,85.25,85.45,85.1,85.25,58510
11/29/2018 3:28:00 PM,85.5,85.55,85.25,85.25,144369
11/29/2018 3:27:00 PM,85.45,85.55,85.35,85.5,111202
11/29/2018 3:26:00 PM,85.45,85.55,85.45,85.45,123660
11/29/2018 3:25:00 PM,85.5,85.55,85.45,85.5,103103
11/29/2018 3:24:00 PM,85.4,85.6,85.4,85.5,129504
11/29/2018 3:23:00 PM,85.5,85.65,85.35,85.5,437739
11/29/2018 3:22:00 PM,85.25,85.6,85.25,85.6,365845
11/29/2018 3:21:00 PM,85.35,85.4,85.2,85.2,169148
11/29/2018 3:20:00 PM,85.45,85.45,85.3,85.3,175057
11/29/2018 3:19:00 PM,85.2,85.4,85.15,85.4,138485
11/29/2018 3:18:00 PM,85.3,85.35,85.2,85.3,199354
11/29/2018 3:17:00 PM,85.55,85.55,85.2,85.3,204354
11/29/2018 3:16:00 PM,85.55,85.55,85.4,85.55,159750
11/29/2018 3:15:00 PM,85.5,85.6,85.45,85.55,151056
11/29/2018 3:14:00 PM,85.35,85.5,85.3,85.5,158752
11/29/2018 3:13:00 PM,85.25,85.35,85.25,85.35,150524
11/29/2018 3:12:00 PM,85.2,85.3,85.15,85.25,130496
11/29/2018 3:11:00 PM,85.15,85.3,85.15,85.2,183575
11/29/2018 3:10:00 PM,85.1,85.15,85.1,85.15,159670
11/29/2018 3:09:00 PM,85,85.1,84.95,85.1,112325
11/29/2018 3:08:00 PM,85,85,84.9,84.95,97371
11/29/2018 3:07:00 PM,85,85,84.95,85,90833
11/29/2018 3:06:00 PM,85,85,84.9,85,130448
11/29/2018 3:05:00 PM,85,85,84.95,84.95,85894
11/29/2018 3:04:00 PM,84.95,85,84.95,85,109533
11/29/2018 3:03:00 PM,85,85,84.95,85,112948
11/29/2018 3:02:00 PM,84.95,85,84.95,84.95,105154
11/29/2018 3:01:00 PM,84.95,85,84.95,85,132096
11/29/2018 3:00:00 PM,84.5,84.95,84.4,84.95,133703
11/29/2018 2:59:00 PM,84.45,84.5,84.3,84.45,48131
11/29/2018 2:58:00 PM,84.5,84.5,84.4,84.45,58433
11/29/2018 2:57:00 PM,84.4,84.5,84.35,84.5,32160
11/29/2018 2:56:00 PM,84.3,84.4,84.25,84.35,42121
11/29/2018 2:55:00 PM,84.25,84.3,84.2,84.3,23183
11/29/2018 2:54:00 PM,84.3,84.35,84.2,84.25,32222
11/29/2018 2:53:00 PM,84.25,84.35,84.2,84.3,46869
11/29/2018 2:52:00 PM,84.3,84.3,84.2,84.25,39819
11/29/2018 2:51:00 PM,84.25,84.35,84.25,84.3,39684
11/29/2018 2:50:00 PM,84.2,84.3,84.15,84.3,30932
11/29/2018 2:49:00 PM,84.3,84.3,84.15,84.2,51020
11/29/2018 2:48:00 PM,84.35,84.35,84.2,84.3,24354
11/29/2018 2:47:00 PM,84.3,84.35,84.2,84.35,33168
11/29/2018 2:46:00 PM,84.35,84.4,84.25,84.3,46177
11/29/2018 2:45:00 PM,84.35,84.4,84.3,84.35,21816
11/29/2018 2:44:00 PM,84.45,84.45,84.3,84.35,49904
11/29/2018 2:43:00 PM,84.35,84.45,84.25,84.45,36205
