Date,HDFCBANK-EQ O,HDFCBANK-EQ H,HDFCBANK-EQ L,HDFCBANK-EQ C,HDFCBANK-EQ V
11/29/2018 3:29:00 PM,2131.9,2133.8,2130.3,2132.25,22992
11/29/2018 3:28:00 PM,2131.8,2135,2131.55,2131.65,128395
11/29/2018 3:27:00 PM,2130.8,2132.75,2130.1,2131.95,136462
11/29/2018 3:26:00 PM,2132,2132,2130.6,2130.85,55183
11/29/2018 3:25:00 PM,2131.6,2133,2131.6,2132,61870
11/29/2018 3:24:00 PM,2133.2,2133.25,2131.5,2131.7,49497
11/29/2018 3:23:00 PM,2130.3,2133.5,2130.3,2133.2,56560
11/29/2018 3:22:00 PM,2131.6,2131.95,2130.2,2130.5,48468
11/29/2018 3:21:00 PM,2132.4,2132.65,2131.15,2131.95,34822
11/29/2018 3:20:00 PM,2133.2,2133.3,2132,2132.45,46942
11/29/2018 3:19:00 PM,2130.05,2133.25,2130,2133.25,137009
11/29/2018 3:18:00 PM,2130,2130.2,2129.85,2130.05,67631
11/29/2018 3:17:00 PM,2130.1,2130.55,2130,2130,42628
11/29/2018 3:16:00 PM,2129.85,2130.55,2129.85,2130,41314
11/29/2018 3:15:00 PM,2130,2130.45,2129.85,2129.85,58714
11/29/2018 3:14:00 PM,2130,2131,2129.35,2130,75967
11/29/2018 3:13:00 PM,2130.1,2130.45,2130,2130,43576
11/29/2018 3:12:00 PM,2130.55,2130.55,2129.7,2130.45,57629
11/29/2018 3:11:00 PM,2130.3,2130.85,2130.3,2130.5,32951
11/29/2018 3:10:00 PM,2130.1,2131,2129.65,2130.15,45581
11/29/2018 3:09:00 PM,2130.05,2130.45,2130,2130.1,37617
11/29/2018 3:08:00 PM,2130.1,2130.75,2129.5,2130,66613
11/29/2018 3:07:00 PM,2130.15,2131,2130,2130.1,37166
11/29/2018 3:06:00 PM,2130.2,2130.4,2130,2130,53148
11/29/2018 3:05:00 PM,2130,2130.35,2130,2130.15,53572
11/29/2018 3:04:00 PM,2130,2130.2,2130,2130,81114
11/29/2018 3:03:00 PM,2129.4,2130.4,2129.2,2130,80060
11/29/2018 3:02:00 PM,2130,2130.45,2128.8,2129.4,70459
11/29/2018 3:01:00 PM,2130.15,2130.25,2130,2130.05,64741
11/29/2018 3:00:00 PM,2131.25,2131.25,2130,2130.15,67685
11/29/2018 2:59:00 PM,2130,2131.85,2130,2130.75,22466
11/29/2018 2:58:00 PM,2130.6,2130.65,2130,2130.05,16027
11/29/2018 2:57:00 PM,2130.4,2131,2130,2130.9,18108
11/29/2018 2:56:00 PM,2130,2131,2130,2130.5,41493
11/29/2018 2:55:00 PM,2130.6,2130.9,2129.75,2130,18161
11/29/2018 2:54:00 PM,2130.35,2130.65,2130,2130.35,14569
11/29/2018 2:53:00 PM,2133.05,2133.4,2130.1,2130.55,19398
11/29/2018 2:52:00 PM,2132.2,2133.55,2131.3,2133.05,16905
11/29/2018 2:51:00 PM,2130.5,2132.7,2130.25,2132.3,24850
11/29/2018 2:50:00 PM,2129.25,2130.2,2129.25,2130.15,17381
11/29/2018 2:49:00 PM,2131.45,2131.85,2129.15,2129.65,16950
