Date,ICICIBANK-EQ O,ICICIBANK-EQ H,ICICIBANK-EQ L,ICICIBANK-EQ C,ICICIBANK-EQ V
11/29/2018 3:29:00 PM,362.05,363.4,362,362.2,88257
11/29/2018 3:28:00 PM,361.9,362.35,361.8,361.95,517139
11/29/2018 3:27:00 PM,362.55,362.55,361.6,361.95,316031
11/29/2018 3:26:00 PM,362.5,362.55,362.25,362.4,263454
11/29/2018 3:25:00 PM,363.1,363.1,362.3,362.5,313674
11/29/2018 3:24:00 PM,362.55,363.1,362.55,362.9,442270
11/29/2018 3:23:00 PM,362.55,362.7,362.25,362.55,341157
11/29/2018 3:22:00 PM,362.4,362.7,362.3,362.5,194285
11/29/2018 3:21:00 PM,362.2,362.5,362.15,362.4,311617
11/29/2018 3:20:00 PM,362,362.25,361.95,362.25,239090
11/29/2018 3:19:00 PM,361.95,362.15,361.85,361.9,324519
11/29/2018 3:18:00 PM,361.9,362,361.5,361.9,384498
11/29/2018 3:17:00 PM,361.3,361.85,361.2,361.65,244275
11/29/2018 3:16:00 PM,361.2,361.45,361.05,361.25,230097
11/29/2018 3:15:00 PM,362.3,362.3,361.15,361.2,301719
11/29/2018 3:14:00 PM,361.85,362.35,361.7,362.35,213058
11/29/2018 3:13:00 PM,361.45,362,361.3,361.9,231483
11/29/2018 3:12:00 PM,361.3,361.5,361.15,361.4,212221
11/29/2018 3:11:00 PM,361.35,361.5,360.95,361.15,259571
11/29/2018 3:10:00 PM,361.65,361.75,361.3,361.45,263064
11/29/2018 3:09:00 PM,362,362,361.45,361.6,250475
11/29/2018 3:08:00 PM,362.2,362.3,361.8,361.95,319156
11/29/2018 3:07:00 PM,362.3,362.4,362,362,214601
11/29/2018 3:06:00 PM,362.2,362.45,361.95,362.35,203462
11/29/2018 3:05:00 PM,362.45,362.45,361.8,362.2,213626
11/29/2018 3:04:00 PM,362.55,363,362.35,362.45,184206
11/29/2018 3:03:00 PM,362.85,362.95,362.4,362.55,214802
11/29/2018 3:02:00 PM,363.35,363.5,362.85,362.85,271843
11/29/2018 3:01:00 PM,363.7,363.7,363.25,363.35,239764
11/29/2018 3:00:00 PM,364.5,364.5,363.65,363.65,204696
11/29/2018 2:59:00 PM,364.35,364.5,364.3,364.5,69438
11/29/2018 2:58:00 PM,364.45,364.5,364.1,364.35,26317
11/29/2018 2:57:00 PM,364.3,364.5,364.2,364.35,23853
11/29/2018 2:56:00 PM,364.1,364.3,363.95,364.3,47288
11/29/2018 2:55:00 PM,364.05,364.2,364,364.1,31057
11/29/2018 2:54:00 PM,364.1,364.2,364,364,9264
11/29/2018 2:53:00 PM,364.05,364.15,363.9,364.1,22828
11/29/2018 2:52:00 PM,364.15,364.3,363.9,364.05,38479
11/29/2018 2:51:00 PM,363.8,364.35,363.8,364.15,34087
11/29/2018 2:50:00 PM,363.55,363.95,363.55,363.8,39868
11/29/2018 2:49:00 PM,363.7,363.8,363.5,363.55,12343
11/29/2018 2:48:00 PM,363.5,363.7,363.5,363.7,31801
11/29/2018 2:47:00 PM,363.45,363.55,363.3,363.55,40844
11/29/2018 2:46:00 PM,363.65,363.65,363.3,363.45,34682
11/29/2018 2:45:00 PM,363.55,363.65,363.5,363.6,34313
11/29/2018 2:44:00 PM,362.9,363.55,362.75,363.5,34176
11/29/2018 2:43:00 PM,363.35,363.4,362.9,362.9,76709
11/29/2018 2:42:00 PM,363.85,363.85,363.15,363.35,48482
11/29/2018 2:41:00 PM,363.95,364,363.65,363.85,54169
11/29/2018 2:40:00 PM,363.85,364,363.85,363.95,22057
11/29/2018 2:39:00 PM,364.05,364.1,363.8,363.85,12882
11/29/2018 2:38:00 PM,364.15,364.35,364.05,364.1,22070
11/29/2018 2:37:00 PM,364.3,364.35,363.95,364.2,73403
11/29/2018 2:36:00 PM,363.9,364.35,363.85,364.3,35716
11/29/2018 2:35:00 PM,363.9,364,363.5,363.9,44743
11/29/2018 2:34:00 PM,364.3,364.45,363.9,363.9,57097
11/29/2018 2:33:00 PM,364.45,364.45,364.2,364.3,22495
11/29/2018 2:32:00 PM,364.45,364.5,364.45,364.45,27994
11/29/2018 2:31:00 PM,364.25,364.5,364.15,364.45,22733
11/29/2018 2:30:00 PM,364.35,364.55,364.3,364.3,65822
11/29/2018 2:29:00 PM,364.05,364.5,363.85,364.35,80037
11/29/2018 2:28:00 PM,364.45,364.5,364.15,364.2,85931
11/29/2018 2:27:00 PM,364.4,364.5,364.35,364.5,94646
11/29/2018 2:26:00 PM,364.5,364.65,364.45,364.45,300462
11/29/2018 2:25:00 PM,365.55,365.55,364.35,364.45,151632
11/29/2018 2:24:00 PM,365.5,365.7,365.4,365.55,94561
11/29/2018 2:23:00 PM,365.5,365.7,365.45,365.5,39685
11/29/2018 2:22:00 PM,366,366.05,365.5,365.55,62506
11/29/2018 2:21:00 PM,365.95,366.05,365.9,366,70285
11/29/2018 2:20:00 PM,365.9,366.05,365.75,365.95,255293
11/29/2018 2:19:00 PM,365.6,366.2,365.5,365.9,215906
11/29/2018 2:18:00 PM,366,366.05,365.7,365.85,144042
