Date,IDFCBANK-EQ O,IDFCBANK-EQ H,IDFCBANK-EQ L,IDFCBANK-EQ C,IDFCBANK-EQ V
11/29/2018 3:29:00 PM,38.65,38.75,38.65,38.7,198683
11/29/2018 3:28:00 PM,38.65,38.65,38.6,38.6,168777
11/29/2018 3:27:00 PM,38.6,38.65,38.55,38.6,288863
11/29/2018 3:26:00 PM,38.5,38.65,38.5,38.65,269103
11/29/2018 3:25:00 PM,38.55,38.6,38.5,38.5,241953
11/29/2018 3:24:00 PM,38.65,38.7,38.55,38.55,360839
11/29/2018 3:23:00 PM,38.55,38.7,38.55,38.65,271143
11/29/2018 3:22:00 PM,38.55,38.6,38.5,38.6,245265
11/29/2018 3:21:00 PM,38.55,38.6,38.5,38.5,263447
11/29/2018 3:20:00 PM,38.5,38.6,38.5,38.6,323098
11/29/2018 3:19:00 PM,38.45,38.5,38.4,38.45,305993
11/29/2018 3:18:00 PM,38.45,38.55,38.4,38.45,264470
11/29/2018 3:17:00 PM,38.3,38.45,38.25,38.45,327236
11/29/2018 3:16:00 PM,38.3,38.35,38.25,38.25,257104
11/29/2018 3:15:00 PM,38.25,38.35,38.25,38.3,292684
11/29/2018 3:14:00 PM,38.25,38.3,38.2,38.3,195271
11/29/2018 3:13:00 PM,38.25,38.3,38.2,38.25,200196
11/29/2018 3:12:00 PM,38.3,38.35,38.3,38.3,216463
11/29/2018 3:11:00 PM,38.35,38.4,38.3,38.3,213279
11/29/2018 3:10:00 PM,38.4,38.4,38.3,38.3,168083
11/29/2018 3:09:00 PM,38.35,38.5,38.35,38.35,235390
11/29/2018 3:08:00 PM,38.45,38.45,38.3,38.35,206881
11/29/2018 3:07:00 PM,38.3,38.45,38.25,38.45,196137
11/29/2018 3:06:00 PM,38.3,38.35,38.25,38.3,235742
11/29/2018 3:05:00 PM,38.15,38.3,38.1,38.3,186290
11/29/2018 3:04:00 PM,38.45,38.45,38.1,38.1,226007
11/29/2018 3:03:00 PM,38.65,38.65,38.4,38.4,245772
11/29/2018 3:02:00 PM,38.6,38.65,38.6,38.6,208554
11/29/2018 3:01:00 PM,38.65,38.75,38.55,38.65,233825
11/29/2018 3:00:00 PM,38.55,38.65,38.55,38.65,194715
11/29/2018 2:59:00 PM,38.6,38.65,38.55,38.55,27287
11/29/2018 2:58:00 PM,38.7,38.7,38.55,38.6,29978
11/29/2018 2:57:00 PM,38.75,38.75,38.65,38.7,24922
11/29/2018 2:56:00 PM,38.75,38.75,38.7,38.75,76172
