Date,INDUSINDBK-EQ O,INDUSINDBK-EQ H,INDUSINDBK-EQ L,INDUSINDBK-EQ C,INDUSINDBK-EQ V
11/29/2018 3:29:00 PM,1668,1668.95,1664,1667,12285
11/29/2018 3:28:00 PM,1668.05,1668.75,1666.3,1666.85,16482
11/29/2018 3:27:00 PM,1664.5,1670.95,1664.5,1667.95,74158
11/29/2018 3:26:00 PM,1664,1665,1663.7,1664.85,12315
11/29/2018 3:25:00 PM,1662.25,1664,1661.55,1664,23628
11/29/2018 3:24:00 PM,1664,1664,1662.1,1662.3,13672
11/29/2018 3:23:00 PM,1664.8,1665,1662.35,1664,37110
11/29/2018 3:22:00 PM,1661.25,1664.55,1661,1663.85,20084
11/29/2018 3:21:00 PM,1659.85,1661.4,1659.85,1661.1,25024
11/29/2018 3:20:00 PM,1659.9,1659.9,1659.65,1659.9,14457
11/29/2018 3:19:00 PM,1657,1659.9,1657,1659.65,10061
11/29/2018 3:18:00 PM,1656.2,1659.75,1656.2,1657,19768
11/29/2018 3:17:00 PM,1657.6,1658.7,1655.35,1656.05,14165
11/29/2018 3:16:00 PM,1654.55,1657.65,1654.2,1657.6,28486
11/29/2018 3:15:00 PM,1654.75,1654.85,1654.25,1654.55,17361
11/29/2018 3:14:00 PM,1655,1655,1654.75,1654.75,18964
11/29/2018 3:13:00 PM,1654.9,1655,1654.9,1654.95,10597
11/29/2018 3:12:00 PM,1656.2,1658,1654.7,1654.9,14291
11/29/2018 3:11:00 PM,1654.9,1656.2,1654.3,1656.2,11223
11/29/2018 3:10:00 PM,1655.75,1656.45,1654,1654.9,20682
11/29/2018 3:09:00 PM,1657,1657.05,1655.75,1655.8,13447
11/29/2018 3:08:00 PM,1660.25,1660.25,1656.45,1657,15106
11/29/2018 3:07:00 PM,1658.65,1661.75,1658.65,1659.45,28340
11/29/2018 3:06:00 PM,1656.7,1659,1656.7,1658.6,9009
11/29/2018 3:05:00 PM,1658.3,1658.85,1656.5,1656.7,11448
11/29/2018 3:04:00 PM,1656.7,1659.25,1656.65,1658.3,11264
11/29/2018 3:03:00 PM,1657.05,1657.05,1656.65,1656.65,7989
11/29/2018 3:02:00 PM,1656.7,1658.5,1656.7,1657,12543
11/29/2018 3:01:00 PM,1657.6,1658.7,1656.25,1656.7,10839
11/29/2018 3:00:00 PM,1651.5,1658.5,1651.35,1657.8,11326
11/29/2018 2:59:00 PM,1651.25,1652,1650.1,1651.5,8242
11/29/2018 2:58:00 PM,1650.9,1651.4,1650.05,1650.05,5694
11/29/2018 2:57:00 PM,1653.4,1654.2,1649.55,1650.3,6533
11/29/2018 2:56:00 PM,1656.2,1656.4,1653.55,1653.55,10899
11/29/2018 2:55:00 PM,1655.5,1656.25,1654.05,1656.25,8219
11/29/2018 2:54:00 PM,1652.6,1655.95,1651.05,1655,8606
11/29/2018 2:53:00 PM,1650.05,1652.95,1649.75,1652.6,10914
11/29/2018 2:52:00 PM,1651.4,1651.4,1649.7,1650.5,8534
11/29/2018 2:51:00 PM,1649.2,1652.9,1649.2,1650.8,7728
11/29/2018 2:50:00 PM,1650.2,1650.4,1649,1649.95,6084
11/29/2018 2:49:00 PM,1649.75,1650.4,1649.55,1650.2,4788
11/29/2018 2:48:00 PM,1651,1651.1,1649.4,1649.75,7101
11/29/2018 2:47:00 PM,1653.15,1653.15,1651,1651,4929
11/29/2018 2:46:00 PM,1654.2,1655.75,1652.45,1653.15,8682
11/29/2018 2:45:00 PM,1654.2,1655,1652.5,1654.2,9189
11/29/2018 2:44:00 PM,1651.55,1654.5,1651.55,1654.2,8631
11/29/2018 2:43:00 PM,1652.2,1653,1651,1651.3,8326
11/29/2018 2:42:00 PM,1654.3,1654.65,1651.75,1652.1,10515
11/29/2018 2:41:00 PM,1655.45,1655.7,1654.05,1654.5,4676
11/29/2018 2:40:00 PM,1655.55,1656.5,1654.65,1655.25,9515
11/29/2018 2:39:00 PM,1656.55,1656.55,1654.65,1655.7,4575
11/29/2018 2:38:00 PM,1657.7,1658.3,1656,1656.5,6208
11/29/2018 2:37:00 PM,1655.5,1657.5,1655.05,1657.2,3778
11/29/2018 2:36:00 PM,1656.65,1656.65,1654.8,1655.5,6969
11/29/2018 2:35:00 PM,1655.45,1655.55,1654,1654.8,4654
11/29/2018 2:34:00 PM,1656.4,1657.55,1655.45,1655.45,4744
11/29/2018 2:33:00 PM,1656.4,1656.85,1655.65,1656.4,4207
11/29/2018 2:32:00 PM,1658.55,1658.55,1655.3,1656.05,7683
11/29/2018 2:31:00 PM,1660.05,1660.65,1658,1659,8925
11/29/2018 2:30:00 PM,1661.85,1662,1660.15,1660.85,4271
11/29/2018 2:29:00 PM,1662,1662.95,1661.75,1661.85,3202
11/29/2018 2:28:00 PM,1662.95,1664.85,1661.9,1661.9,10488
11/29/2018 2:27:00 PM,1661,1663,1660.9,1662.95,4147
11/29/2018 2:26:00 PM,1661.25,1662.65,1660.4,1660.9,7203
11/29/2018 2:25:00 PM,1662,1662.1,1660.35,1661.25,5150
11/29/2018 2:24:00 PM,1663.8,1663.85,1662,1662,4546
11/29/2018 2:23:00 PM,1661.6,1664.35,1661.6,1663.8,2573
11/29/2018 2:22:00 PM,1662.05,1662.5,1660,1661.6,10657
11/29/2018 2:21:00 PM,1665.8,1665.85,1662.05,1662.05,12399
11/29/2018 2:20:00 PM,1665.1,1665.45,1663.4,1665.45,7242
11/29/2018 2:19:00 PM,1665.3,1665.6,1662.4,1665.1,16228
11/29/2018 2:18:00 PM,1666.85,1667.6,1665.25,1665.25,18187
11/29/2018 2:17:00 PM,1662.05,1667.2,1662.05,1667.2,21292
11/29/2018 2:16:00 PM,1660.8,1663.05,1660.4,1663,12363
11/29/2018 2:15:00 PM,1661.45,1662.25,1659.85,1660.1,22096
11/29/2018 2:14:00 PM,1659.2,1662,1659,1660.65,33174
11/29/2018 2:13:00 PM,1658.35,1659.6,1657.15,1659,21493
11/29/2018 2:12:00 PM,1658.05,1658.6,1656.4,1658.05,9557
11/29/2018 2:11:00 PM,1655.3,1658.35,1655.3,1657.95,11518
11/29/2018 2:10:00 PM,1652.4,1655,1652.4,1654.9,5021
11/29/2018 2:09:00 PM,1651.55,1652.4,1651,1652.4,3916
11/29/2018 2:08:00 PM,1652.15,1652.8,1651.1,1651.55,6054
11/29/2018 2:07:00 PM,1653.3,1655.65,1652.15,1652.15,5419
11/29/2018 2:06:00 PM,1653.05,1658.35,1652.9,1652.9,301311
11/29/2018 2:05:00 PM,1651,1654,1650.75,1653,8091
11/29/2018 2:04:00 PM,1650.2,1651,1649.75,1651,4511
11/29/2018 2:03:00 PM,1650,1651,1649.65,1650.2,3128
11/29/2018 2:02:00 PM,1650,1650.65,1649.35,1650,4190
11/29/2018 2:01:00 PM,1650.5,1651.3,1650.15,1650.25,3681
11/29/2018 2:00:00 PM,1650.15,1650.5,1650.15,1650.35,1720
11/29/2018 1:59:00 PM,1650,1650.3,1649.75,1650.15,791
11/29/2018 1:58:00 PM,1650,1650.1,1648.8,1650,6010
11/29/2018 1:57:00 PM,1649.9,1650.6,1649.15,1649.75,1422
11/29/2018 1:56:00 PM,1649.35,1651.3,1649.05,1649.9,3915
11/29/2018 1:55:00 PM,1649,1649.85,1648,1649.35,5519
11/29/2018 1:54:00 PM,1648.75,1649.55,1647.6,1649,4320
11/29/2018 1:53:00 PM,1648.15,1650,1648,1648.75,7701
11/29/2018 1:52:00 PM,1649.2,1649.2,1647.25,1647.8,5786
11/29/2018 1:51:00 PM,1649.3,1649.85,1648.7,1648.75,2224
11/29/2018 1:50:00 PM,1650.35,1650.5,1649.3,1649.3,2815
11/29/2018 1:49:00 PM,1649.2,1650.35,1648.65,1650.35,7000
11/29/2018 1:48:00 PM,1649.5,1649.95,1649,1649,944
11/29/2018 1:47:00 PM,1650.2,1650.35,1649.5,1649.5,2333
11/29/2018 1:46:00 PM,1650.6,1650.6,1649.8,1650.2,1498
11/29/2018 1:45:00 PM,1650.9,1651,1650.2,1650.3,1158
11/29/2018 1:44:00 PM,1649.45,1650.9,1649.4,1650.35,3018
11/29/2018 1:43:00 PM,1648.7,1649.95,1648.45,1649.45,4392
11/29/2018 1:42:00 PM,1649,1649.25,1648.7,1648.7,2434
11/29/2018 1:41:00 PM,1649.35,1649.4,1649,1649,2374
11/29/2018 1:40:00 PM,1650.4,1650.7,1649.3,1649.35,1441
11/29/2018 1:39:00 PM,1649.75,1650.9,1649.5,1650.4,6486
11/29/2018 1:38:00 PM,1649.7,1649.95,1648.4,1649.75,5618
11/29/2018 1:37:00 PM,1650,1650.2,1649.65,1649.7,1624
11/29/2018 1:36:00 PM,1649,1650.2,1649,1650,4932
11/29/2018 1:35:00 PM,1650,1650.05,1649.3,1649.45,4191
11/29/2018 1:34:00 PM,1650,1650.25,1650,1650,1525
11/29/2018 1:33:00 PM,1650.05,1651,1650,1650,871
11/29/2018 1:32:00 PM,1650.05,1651,1650,1650.05,3303
