Date,KOTAKBANK-EQ O,KOTAKBANK-EQ H,KOTAKBANK-EQ L,KOTAKBANK-EQ C,KOTAKBANK-EQ V
11/29/2018 3:29:00 PM,1210.9,1211.7,1207.5,1207.5,6863
11/29/2018 3:28:00 PM,1214.95,1214.95,1208.2,1210.35,21874
11/29/2018 3:27:00 PM,1214.2,1216,1213.85,1214.95,55389
11/29/2018 3:26:00 PM,1211.85,1214.65,1211.25,1214.1,86281
11/29/2018 3:25:00 PM,1210.15,1211.8,1209.3,1211.15,22395
11/29/2018 3:24:00 PM,1208.95,1210.6,1208.95,1210.2,22092
11/29/2018 3:23:00 PM,1208.7,1209.15,1208.1,1209,23645
11/29/2018 3:22:00 PM,1210.65,1210.7,1207.35,1208.2,27733
11/29/2018 3:21:00 PM,1210.9,1211.55,1210.4,1210.95,23337
11/29/2018 3:20:00 PM,1211.6,1211.8,1210,1210.9,17836
11/29/2018 3:19:00 PM,1210.8,1211.8,1210.75,1211.15,22166
11/29/2018 3:18:00 PM,1210.95,1211.7,1210.35,1210.8,14202
11/29/2018 3:17:00 PM,1210.95,1211.75,1210.3,1210.45,17172
11/29/2018 3:16:00 PM,1212.05,1212.2,1210.7,1210.95,22336
11/29/2018 3:15:00 PM,1211.85,1212.95,1211.7,1212.9,32112
11/29/2018 3:14:00 PM,1212.4,1213,1211.4,1212.4,20431
11/29/2018 3:13:00 PM,1212.5,1212.5,1210.35,1212.15,30224
11/29/2018 3:12:00 PM,1210.7,1212.75,1210.7,1212.5,25861
11/29/2018 3:11:00 PM,1209.7,1210.7,1209.3,1210.7,14631
11/29/2018 3:10:00 PM,1210.85,1211.75,1209.1,1210,25074
11/29/2018 3:09:00 PM,1209.9,1211.8,1209.85,1210.65,29079
11/29/2018 3:08:00 PM,1206.9,1210,1206.9,1209.7,30519
11/29/2018 3:07:00 PM,1213.25,1213.7,1206.25,1206.65,44714
11/29/2018 3:06:00 PM,1217.95,1217.95,1212,1213.25,52412
11/29/2018 3:05:00 PM,1217.95,1218.15,1217.5,1218,24695
11/29/2018 3:04:00 PM,1217.35,1218.7,1217.25,1217.95,26143
