Date,KOTAKBANK18DECFUT O,KOTAKBANK18DECFUT H,KOTAKBANK18DECFUT L,KOTAKBANK18DECFUT C,KOTAKBANK18DECFUT V
11/29/2018 3:29:00 PM,1208.25,1209.3,1207,1207.3,44000
11/29/2018 3:28:00 PM,1210.9,1211.1,1208.05,1208.25,56000
11/29/2018 3:27:00 PM,1211,1212,1210.9,1210.9,72800
11/29/2018 3:26:00 PM,1209.05,1211.35,1208.9,1210.4,145600
11/29/2018 3:25:00 PM,1207.25,1209.05,1207.2,1209.05,55200
11/29/2018 3:24:00 PM,1206.85,1207.95,1206.85,1207.25,33600
11/29/2018 3:23:00 PM,1206.55,1207,1206.5,1206.85,25600
11/29/2018 3:22:00 PM,1208.25,1208.25,1206.35,1206.55,59200
11/29/2018 3:21:00 PM,1208.7,1209.3,1207.9,1208.05,58400
11/29/2018 3:20:00 PM,1207.95,1208.8,1207.95,1208.7,30400
11/29/2018 3:19:00 PM,1207.85,1208.85,1207.85,1207.95,52000
11/29/2018 3:18:00 PM,1208,1208.25,1207.75,1207.85,38400
11/29/2018 3:17:00 PM,1208.4,1209.05,1207.85,1208.6,65600
11/29/2018 3:16:00 PM,1209.5,1209.65,1208.35,1208.4,37600
11/29/2018 3:15:00 PM,1209.5,1210,1209.05,1209.5,54400
11/29/2018 3:14:00 PM,1208.85,1210,1208.85,1209.5,28800
11/29/2018 3:13:00 PM,1209.5,1209.5,1207.35,1208.85,51200
11/29/2018 3:12:00 PM,1208,1209.5,1208,1209.4,35200
11/29/2018 3:11:00 PM,1207.8,1208.35,1207.55,1208,28800
11/29/2018 3:10:00 PM,1207.4,1208,1206.95,1207.1,48800
11/29/2018 3:09:00 PM,1207,1208.7,1207,1208,52800
11/29/2018 3:08:00 PM,1206.15,1207.9,1206.15,1207,77600
11/29/2018 3:07:00 PM,1211,1211,1206.1,1206.1,60000
11/29/2018 3:06:00 PM,1214.85,1214.85,1211,1211,76000
11/29/2018 3:05:00 PM,1213.6,1215.15,1213.35,1214.9,61600
11/29/2018 3:04:00 PM,1214,1214.5,1213.45,1214,44800
11/29/2018 3:03:00 PM,1215,1215,1212.95,1214,62400
11/29/2018 3:02:00 PM,1214.3,1215,1213.6,1215,100800
11/29/2018 3:01:00 PM,1212.05,1214.45,1212.05,1214.3,83200
11/29/2018 3:00:00 PM,1210.3,1212.35,1210.3,1212.35,68800
11/29/2018 2:59:00 PM,1209.15,1210,1209.15,1210,69600
11/29/2018 2:58:00 PM,1208.95,1209.9,1208.3,1209.7,48000
11/29/2018 2:57:00 PM,1206.75,1209,1206.7,1208.9,20000
11/29/2018 2:56:00 PM,1206.75,1207.9,1206.2,1206.75,24000
11/29/2018 2:55:00 PM,1209,1209.05,1206.2,1206.75,44000
11/29/2018 2:54:00 PM,1207.95,1209.7,1207.45,1209,44000
11/29/2018 2:53:00 PM,1207.95,1208.8,1207.8,1207.95,40800
11/29/2018 2:52:00 PM,1206.3,1208,1206,1207.95,59200
11/29/2018 2:51:00 PM,1205,1207.1,1204.85,1206.3,92000
11/29/2018 2:50:00 PM,1204.45,1205,1204.45,1205,16800
11/29/2018 2:49:00 PM,1204.45,1204.75,1204.45,1204.45,4000
11/29/2018 2:48:00 PM,1204.45,1204.7,1204.4,1204.45,8800
11/29/2018 2:47:00 PM,1204.5,1204.6,1204.05,1204.45,9600
11/29/2018 2:46:00 PM,1204.85,1205.25,1204.25,1204.5,19200
11/29/2018 2:45:00 PM,1203.85,1204.8,1203.85,1204.8,19200
11/29/2018 2:44:00 PM,1203.7,1203.85,1203,1203.3,19200
11/29/2018 2:43:00 PM,1204.65,1204.85,1203.7,1203.7,32800
11/29/2018 2:42:00 PM,1203.25,1204.65,1203.25,1204.65,75200
11/29/2018 2:41:00 PM,1203.4,1204.05,1203.1,1203.25,68000
11/29/2018 2:40:00 PM,1203.1,1203.4,1202.85,1203.4,18400
11/29/2018 2:39:00 PM,1204.4,1204.4,1202.8,1202.8,23200
11/29/2018 2:38:00 PM,1204.75,1204.9,1204.1,1204.4,8000
11/29/2018 2:37:00 PM,1204,1204.7,1203.85,1204.5,36800
11/29/2018 2:36:00 PM,1203,1204,1202.35,1204,19200
11/29/2018 2:35:00 PM,1203.4,1204.15,1202.85,1203,28000
11/29/2018 2:34:00 PM,1204.85,1204.85,1203.4,1203.4,49600
11/29/2018 2:33:00 PM,1205.45,1205.5,1204.5,1204.75,44800
11/29/2018 2:32:00 PM,1203.65,1205.45,1203.55,1205.45,84800
11/29/2018 2:31:00 PM,1202,1203.4,1201.75,1203.3,48000
11/29/2018 2:30:00 PM,1201,1201.9,1201,1201.9,31200
11/29/2018 2:29:00 PM,1200.5,1201.25,1200.25,1201,44800
11/29/2018 2:28:00 PM,1199.6,1200.5,1199.55,1200.5,41600
11/29/2018 2:27:00 PM,1200.15,1200.5,1199.7,1199.7,20800
11/29/2018 2:26:00 PM,1200.3,1200.3,1199.6,1200.15,33600
11/29/2018 2:25:00 PM,1199.15,1200.3,1198.45,1200.3,25600
11/29/2018 2:24:00 PM,1199.15,1199.75,1199.1,1199.15,20800
11/29/2018 2:23:00 PM,1200.35,1200.85,1199.15,1199.15,32800
11/29/2018 2:22:00 PM,1200.85,1200.85,1200.3,1200.35,16800
11/29/2018 2:21:00 PM,1201.9,1201.9,1200.85,1200.85,15200
11/29/2018 2:20:00 PM,1201.9,1202,1201,1201.9,35200
11/29/2018 2:19:00 PM,1200.7,1202,1200.7,1201.9,30400
11/29/2018 2:18:00 PM,1201.1,1201.1,1200.2,1200.7,22400
11/29/2018 2:17:00 PM,1200.65,1201.1,1200.35,1201.1,50400
11/29/2018 2:16:00 PM,1199.35,1201.1,1199.15,1200.65,78400
11/29/2018 2:15:00 PM,1201.65,1202.2,1199.2,1199.35,112800
11/29/2018 2:14:00 PM,1202,1202.6,1201.2,1201.65,31200
11/29/2018 2:13:00 PM,1202.15,1202.25,1201.15,1202,73600
11/29/2018 2:12:00 PM,1202.15,1202.45,1201.5,1202.25,55200
