Date,NATURALGAS18DECFUT O,NATURALGAS18DECFUT H,NATURALGAS18DECFUT L,NATURALGAS18DECFUT C,NATURALGAS18DECFUT V
11/29/2018 11:54:00 PM,323,323.9,323,323.6,50
11/29/2018 11:53:00 PM,323.2,323.3,322.4,323,51
11/29/2018 11:52:00 PM,323.5,323.5,322.6,323.2,27
11/29/2018 11:51:00 PM,323.9,324.1,323.5,323.5,37
11/29/2018 11:50:00 PM,324.2,324.3,323.5,323.9,35
11/29/2018 11:49:00 PM,322.3,324.5,322.3,324.2,133
11/29/2018 11:48:00 PM,322,322.5,322,322.3,55
11/29/2018 11:47:00 PM,323.5,323.5,322,322,89
11/29/2018 11:46:00 PM,323.9,324.2,323.5,323.5,75
11/29/2018 11:45:00 PM,323.4,324,323.3,323.9,89
11/29/2018 11:44:00 PM,322.9,324,322.7,323.1,121
11/29/2018 11:43:00 PM,324,324,322.8,323.1,118
11/29/2018 11:42:00 PM,324.3,324.3,323.7,324,52
11/29/2018 11:41:00 PM,324.1,325.1,323.4,324.4,353
11/29/2018 11:40:00 PM,322.3,324.3,322.3,324.1,303
11/29/2018 11:39:00 PM,322.3,322.7,322,322.3,72
11/29/2018 11:38:00 PM,323.1,323.2,322.2,322.3,115
11/29/2018 11:37:00 PM,322.5,323.7,322.5,323.1,118
11/29/2018 11:36:00 PM,322.4,322.6,322,322.5,89
11/29/2018 11:35:00 PM,322.6,322.8,321.9,322.5,187
11/29/2018 11:34:00 PM,323.6,323.8,322.7,322.7,149
11/29/2018 11:33:00 PM,324.6,324.9,323.6,323.6,151
11/29/2018 11:32:00 PM,323.6,324.9,323.6,324.6,110
11/29/2018 11:31:00 PM,323.4,324.2,323,323.5,211
11/29/2018 11:30:00 PM,325.3,325.3,323.4,323.4,247
11/29/2018 11:29:00 PM,324.3,325.3,324.3,325.3,163
11/29/2018 11:28:00 PM,324.8,324.8,324.2,324.3,195
11/29/2018 11:27:00 PM,324.9,325.6,324.8,324.8,253
11/29/2018 11:26:00 PM,323.7,325,323.5,325,215
11/29/2018 11:25:00 PM,324.2,324.2,323.6,323.7,76
11/29/2018 11:24:00 PM,325,325.3,323.6,324.2,385
11/29/2018 11:23:00 PM,323.2,325.1,323.1,325,466
11/29/2018 11:22:00 PM,321.7,323.4,321.6,323.2,383
11/29/2018 11:21:00 PM,321,321.8,320.9,321.6,116
11/29/2018 11:20:00 PM,320.6,321.2,320.6,321,66
11/29/2018 11:19:00 PM,320.9,320.9,320.5,320.7,24
11/29/2018 11:18:00 PM,320.2,320.9,320.2,320.9,64
11/29/2018 11:17:00 PM,320.9,320.9,320.2,320.2,58
11/29/2018 11:16:00 PM,320.7,321.2,320.7,320.9,62
11/29/2018 11:15:00 PM,320.9,321.6,320.8,320.9,94
11/29/2018 11:14:00 PM,321,321.4,320.6,320.9,161
11/29/2018 11:13:00 PM,322.1,322.4,320.9,321,155
11/29/2018 11:12:00 PM,320.5,322.5,320.5,322,434
11/29/2018 11:11:00 PM,319,320.8,319,320.5,311
11/29/2018 11:10:00 PM,319.2,319.4,319,319,63
11/29/2018 11:09:00 PM,319.5,319.5,319,319.2,59
11/29/2018 11:08:00 PM,319.9,319.9,319,319.5,128
11/29/2018 11:07:00 PM,320.3,320.6,319.4,319.9,173
11/29/2018 11:06:00 PM,320.4,321.3,320.3,320.3,220
11/29/2018 11:05:00 PM,320.1,320.6,319.8,320.4,199
11/29/2018 11:04:00 PM,319,320.3,319,319.7,216
11/29/2018 11:03:00 PM,318.5,319.3,318.5,319,234
11/29/2018 11:02:00 PM,318,318.5,317.9,318.5,70
11/29/2018 11:01:00 PM,317.9,318.2,317.7,318,98
11/29/2018 11:00:00 PM,318.5,318.6,317.6,318,201
11/29/2018 10:59:00 PM,318.5,318.9,318.5,318.5,58
11/29/2018 10:58:00 PM,318.5,318.8,318.5,318.5,165
11/29/2018 10:57:00 PM,319.4,319.6,318.3,318.4,306
11/29/2018 10:56:00 PM,319.6,319.9,318.9,319.4,231
11/29/2018 10:55:00 PM,320.5,320.5,318.9,319.6,287
11/29/2018 10:54:00 PM,320,321,320,320.5,299
11/29/2018 10:53:00 PM,320.2,320.3,319.7,320,175
11/29/2018 10:52:00 PM,320.2,320.5,320.1,320.2,103
11/29/2018 10:51:00 PM,321.2,321.3,320.2,320.2,411
11/29/2018 10:50:00 PM,321.1,321.8,321.1,321.2,159
11/29/2018 10:49:00 PM,322.6,322.6,321,321.1,381
11/29/2018 10:48:00 PM,322.5,323.3,322.2,322.6,721
11/29/2018 10:47:00 PM,320.2,322.5,320.2,322.3,575
11/29/2018 10:46:00 PM,320.4,320.6,320,320.2,327
11/29/2018 10:45:00 PM,319.4,320.8,319.4,320.4,582
11/29/2018 10:44:00 PM,318.1,319.6,318.1,319.4,375
11/29/2018 10:43:00 PM,317.5,318.4,317.2,318.1,143
11/29/2018 10:42:00 PM,317.1,317.9,317.1,317.5,133
11/29/2018 10:41:00 PM,317.2,317.6,316.8,317.1,144
11/29/2018 10:40:00 PM,318.2,318.5,317,317.2,346
11/29/2018 10:39:00 PM,318.5,318.6,318.3,318.4,124
11/29/2018 10:38:00 PM,318.9,319,318.4,318.5,148
11/29/2018 10:37:00 PM,317.9,319.2,317.9,318.8,474
11/29/2018 10:36:00 PM,318.3,318.7,317.9,317.9,268
11/29/2018 10:35:00 PM,319,319.1,318,318,260
11/29/2018 10:34:00 PM,318.2,319.4,317.9,319,708
11/29/2018 10:33:00 PM,317.6,318.4,317.4,318.2,364
11/29/2018 10:32:00 PM,317,317.9,317,317.8,186
11/29/2018 10:31:00 PM,316.1,317,316.1,317,98
11/29/2018 10:30:00 PM,316.5,317.1,316.1,316.1,154
11/29/2018 10:29:00 PM,317,317,316.4,316.5,145
11/29/2018 10:28:00 PM,317.3,317.4,317,317,192
