Date,NICKEL18NOVFUT O,NICKEL18NOVFUT H,NICKEL18NOVFUT L,NICKEL18NOVFUT C,NICKEL18NOVFUT V
11/29/2018 11:54:00 PM,763,764,762.6,764,18
11/29/2018 11:53:00 PM,762.5,763.1,762.5,763,90
11/29/2018 11:52:00 PM,763.3,763.3,762.5,762.5,78
11/29/2018 11:51:00 PM,763.4,763.6,763.1,763.1,101
11/29/2018 11:50:00 PM,763.4,763.6,763.2,763.4,82
11/29/2018 11:49:00 PM,763.6,763.7,763.2,763.4,113
11/29/2018 11:48:00 PM,764,764,763.6,763.7,32
11/29/2018 11:47:00 PM,764.4,764.4,764,764,33
11/29/2018 11:46:00 PM,764.4,764.5,764.2,764.4,34
11/29/2018 11:45:00 PM,764.2,764.8,764.2,764.4,171
11/29/2018 11:44:00 PM,764.4,764.5,764.2,764.2,14
11/29/2018 11:43:00 PM,764.3,764.4,764.2,764.4,23
11/29/2018 11:42:00 PM,764.7,764.7,764.2,764.3,45
11/29/2018 11:41:00 PM,764.4,764.9,764.3,764.7,153
11/29/2018 11:40:00 PM,764.6,764.8,764.2,764.4,249
11/29/2018 11:39:00 PM,764.6,765,764.5,764.5,61
11/29/2018 11:38:00 PM,764.1,764.7,764,764.6,214
11/29/2018 11:37:00 PM,764.5,764.5,764.1,764.1,35
11/29/2018 11:36:00 PM,764.5,764.6,764.4,764.5,24
11/29/2018 11:35:00 PM,764.3,764.6,764.1,764.5,78
11/29/2018 11:34:00 PM,765,765,764.1,764.3,57
11/29/2018 11:33:00 PM,764.4,765.1,764.4,765,97
11/29/2018 11:32:00 PM,764.5,764.8,764.4,764.4,49
11/29/2018 11:31:00 PM,764.1,764.5,764.1,764.5,73
11/29/2018 11:30:00 PM,765.3,765.3,764.1,764.1,80
11/29/2018 11:29:00 PM,765.2,765.3,765,765.3,9
11/29/2018 11:28:00 PM,765.9,765.9,765.2,765.2,50
11/29/2018 11:27:00 PM,765.7,765.9,765.7,765.9,10
11/29/2018 11:26:00 PM,765.7,765.9,765.7,765.7,24
11/29/2018 11:25:00 PM,765.7,765.8,765.5,765.7,43
11/29/2018 11:24:00 PM,765.5,765.7,765.5,765.7,18
11/29/2018 11:23:00 PM,765,765.5,765,765.5,23
11/29/2018 11:22:00 PM,765.1,765.2,764.9,765,23
11/29/2018 11:21:00 PM,765,765.3,765,765.1,25
11/29/2018 11:20:00 PM,765,765.2,765,765,54
11/29/2018 11:19:00 PM,765,765,764.8,765,19
11/29/2018 11:18:00 PM,764.9,765,764.8,765,20
11/29/2018 11:17:00 PM,764.6,765,764.4,764.9,44
11/29/2018 11:16:00 PM,764.3,764.6,764.2,764.6,12
11/29/2018 11:15:00 PM,764.7,764.7,764.3,764.3,32
11/29/2018 11:14:00 PM,764.5,764.7,764.5,764.7,5
