Date,RBLBANK-EQ O,RBLBANK-EQ H,RBLBANK-EQ L,RBLBANK-EQ C,RBLBANK-EQ V
11/29/2018 3:29:00 PM,543.25,545.05,543,543,14498
11/29/2018 3:28:00 PM,545.7,545.7,544.8,544.8,3673
11/29/2018 3:27:00 PM,545.95,545.95,545.3,545.3,6104
11/29/2018 3:26:00 PM,545.6,546.35,545.3,546.35,9017
11/29/2018 3:25:00 PM,546.3,546.4,545.6,545.6,6361
11/29/2018 3:24:00 PM,545.85,546.3,545.85,546.15,4432
11/29/2018 3:23:00 PM,545.85,546.3,545.5,545.85,12113
11/29/2018 3:22:00 PM,545,545.95,545,545.95,6481
11/29/2018 3:21:00 PM,545.05,545.25,545,545,4580
11/29/2018 3:20:00 PM,545.3,545.3,544.95,545.05,19819
11/29/2018 3:19:00 PM,545.1,545.3,544.75,545,13449
11/29/2018 3:18:00 PM,545.2,545.55,545.05,545.45,16235
11/29/2018 3:17:00 PM,545.5,545.6,545.15,545.2,7447
11/29/2018 3:16:00 PM,546.1,546.15,545.55,545.55,6724
11/29/2018 3:15:00 PM,546.1,546.3,545.75,546.1,13138
11/29/2018 3:14:00 PM,545.85,546.6,545.85,546.15,11234
11/29/2018 3:13:00 PM,545.7,546,545.35,545.85,6407
11/29/2018 3:12:00 PM,545.4,545.5,545.15,545.2,5348
11/29/2018 3:11:00 PM,545.1,545.5,545.1,545.4,7315
11/29/2018 3:10:00 PM,545.1,545.55,545,545.15,9222
11/29/2018 3:09:00 PM,545.2,545.2,545,545,14742
11/29/2018 3:08:00 PM,545.25,545.75,545.2,545.2,8408
11/29/2018 3:07:00 PM,545.2,546.05,545.2,545.9,12336
11/29/2018 3:06:00 PM,545.25,545.6,545.2,545.2,5258
11/29/2018 3:05:00 PM,545.25,545.5,545.2,545.25,4150
11/29/2018 3:04:00 PM,545.2,545.4,545.05,545.25,4740
11/29/2018 3:03:00 PM,545.1,545.25,545.1,545.2,3777
11/29/2018 3:02:00 PM,545.35,545.5,544.95,545.1,16339
11/29/2018 3:01:00 PM,545.6,545.8,545.4,545.4,7079
11/29/2018 3:00:00 PM,546.4,546.4,545.6,545.6,5139
11/29/2018 2:59:00 PM,546,546.55,545.75,546,7731
11/29/2018 2:58:00 PM,545.8,546,545.65,546,6727
11/29/2018 2:57:00 PM,546,546,545.65,545.8,7945
11/29/2018 2:56:00 PM,545.9,546,545.75,546,1746
11/29/2018 2:55:00 PM,546,546,545.7,545.9,3317
11/29/2018 2:54:00 PM,545.65,546.1,545.6,546,23158
11/29/2018 2:53:00 PM,545.6,546.15,545.45,545.65,4725
11/29/2018 2:52:00 PM,545.55,546,545.25,545.6,4100
11/29/2018 2:51:00 PM,546.35,547.25,545.4,545.95,15907
11/29/2018 2:50:00 PM,546.3,546.8,546.2,546.35,2096
11/29/2018 2:49:00 PM,546.45,546.7,546.2,546.2,5188
11/29/2018 2:48:00 PM,545.8,546.85,545.8,546.45,6859
11/29/2018 2:47:00 PM,545,545.8,545,545.8,3174
11/29/2018 2:46:00 PM,545.4,545.5,545,545,6932
11/29/2018 2:45:00 PM,544.95,545.8,544.95,545.4,8097
11/29/2018 2:44:00 PM,544.95,545.7,544.95,544.95,17349
11/29/2018 2:43:00 PM,545,546,544.7,544.95,30375
11/29/2018 2:42:00 PM,548.1,548.1,544.65,544.65,39057
11/29/2018 2:41:00 PM,548.65,549.45,548.45,548.55,10106
11/29/2018 2:40:00 PM,549.25,549.55,548.6,548.65,11479
11/29/2018 2:39:00 PM,549.75,550.3,548.8,549.25,15341
11/29/2018 2:38:00 PM,549.25,550,549.15,549.75,9507
11/29/2018 2:37:00 PM,549.8,550,549.5,549.55,7893
11/29/2018 2:36:00 PM,548.7,549.9,548.6,549.65,3868
11/29/2018 2:35:00 PM,547.75,548.95,547.75,548.7,6754
11/29/2018 2:34:00 PM,549.7,549.7,547.95,547.95,9113
11/29/2018 2:33:00 PM,549.65,549.9,549.4,549.7,5742
11/29/2018 2:32:00 PM,549.7,550,549.35,549.65,7331
11/29/2018 2:31:00 PM,550.15,550.35,549.4,549.75,9896
11/29/2018 2:30:00 PM,550.8,551.15,550,550.2,24450
11/29/2018 2:29:00 PM,549.65,551,549.65,550.9,31379
11/29/2018 2:28:00 PM,550,550.4,549.45,549.65,11351
11/29/2018 2:27:00 PM,546.35,550.95,546.35,550.35,55264
11/29/2018 2:26:00 PM,546.75,546.85,546.3,546.35,4342
11/29/2018 2:25:00 PM,546.4,547.35,546.35,547.35,8420
11/29/2018 2:24:00 PM,545.6,546.65,545.6,546.6,5550
11/29/2018 2:23:00 PM,546.25,546.25,545.35,545.6,2278
11/29/2018 2:22:00 PM,546.4,546.5,545.05,546.25,20132
11/29/2018 2:21:00 PM,545.8,546.9,545.45,546.4,8490
11/29/2018 2:20:00 PM,545.85,546.1,545.75,545.8,602
11/29/2018 2:19:00 PM,546.35,547.4,545.8,545.85,11584
11/29/2018 2:18:00 PM,546.5,547.15,546.5,546.85,7858
11/29/2018 2:17:00 PM,546.5,547.15,546.25,546.5,13345
11/29/2018 2:16:00 PM,545.3,548.3,545,547,35705
11/29/2018 2:15:00 PM,545.7,546.25,545,545.6,26649
11/29/2018 2:14:00 PM,546.15,546.4,545.15,545.7,7932
11/29/2018 2:13:00 PM,546,546.65,545.4,546.15,14179
11/29/2018 2:12:00 PM,545.15,545.95,545,545.8,12647
11/29/2018 2:11:00 PM,544.55,545.65,544.55,545.15,28459
11/29/2018 2:10:00 PM,543.9,544.55,543.5,544.55,19853
11/29/2018 2:09:00 PM,543.95,544,543.5,543.9,2533
11/29/2018 2:08:00 PM,544.35,544.5,543.9,543.95,2874
11/29/2018 2:07:00 PM,544,544.85,543.5,544.35,8656
11/29/2018 2:06:00 PM,544.85,544.9,544.1,544.1,2926
11/29/2018 2:05:00 PM,544,544.9,544,544.85,4316
11/29/2018 2:04:00 PM,543.95,545,543.95,544,9932
11/29/2018 2:03:00 PM,543.85,544.85,543.85,543.95,10693
11/29/2018 2:02:00 PM,545,545,544,544.45,9339
11/29/2018 2:01:00 PM,544.1,545,544,545,24150
11/29/2018 2:00:00 PM,544.2,544.6,544.1,544.1,647
11/29/2018 1:59:00 PM,544.2,544.65,544.2,544.25,297
11/29/2018 1:58:00 PM,544.25,544.55,544.05,544.2,1920
11/29/2018 1:57:00 PM,544.55,544.65,544,544.05,2691
11/29/2018 1:56:00 PM,543.9,544.7,543.85,544.55,6728
11/29/2018 1:55:00 PM,544.5,544.5,543.9,543.9,3273
