Date,RBLBANK18DECFUT O,RBLBANK18DECFUT H,RBLBANK18DECFUT L,RBLBANK18DECFUT C,RBLBANK18DECFUT V
11/29/2018 3:29:00 PM,541.6,541.6,538,538,64800
11/29/2018 3:28:00 PM,541.95,541.95,541.6,541.6,7200
11/29/2018 3:27:00 PM,541.95,542,541.65,541.95,12000
11/29/2018 3:26:00 PM,542.45,542.45,541.4,541.55,16800
11/29/2018 3:25:00 PM,542,542.65,542,542.45,3600
11/29/2018 3:24:00 PM,542,542.65,541.95,542,16800
11/29/2018 3:23:00 PM,541.4,542.25,541.4,542,28800
11/29/2018 3:22:00 PM,541.1,541.65,541.1,541.4,13200
11/29/2018 3:21:00 PM,541.05,541.15,541.05,541.1,3600
11/29/2018 3:20:00 PM,541.5,541.5,541.05,541.05,14400
11/29/2018 3:19:00 PM,541.85,541.95,541.2,541.25,14400
11/29/2018 3:18:00 PM,542,542.2,541.6,541.6,10800
11/29/2018 3:17:00 PM,542.25,542.25,542,542,24000
11/29/2018 3:16:00 PM,542.05,542.45,542.05,542.45,16800
11/29/2018 3:15:00 PM,542.35,542.35,542.05,542.05,13200
11/29/2018 3:14:00 PM,541.9,542.45,541.9,542.45,25200
11/29/2018 3:13:00 PM,541.65,542,541.65,542,27600
11/29/2018 3:12:00 PM,541.75,541.75,541.6,541.6,1200
11/29/2018 3:11:00 PM,541.2,541.75,541.2,541.75,8400
11/29/2018 3:10:00 PM,541.15,541.2,541.15,541.2,9600
11/29/2018 3:09:00 PM,541,541.2,541,541.2,9600
11/29/2018 3:08:00 PM,541.55,541.55,541.3,541.3,28800
11/29/2018 3:07:00 PM,541.35,542,541.35,542,18000
11/29/2018 3:06:00 PM,541.4,541.4,541.3,541.3,10800
11/29/2018 3:05:00 PM,541.25,541.3,541.25,541.3,3600
11/29/2018 3:04:00 PM,541.65,541.7,541.25,541.25,4800
11/29/2018 3:03:00 PM,541.5,541.65,541.45,541.65,6000
11/29/2018 3:02:00 PM,541.5,541.55,541.5,541.5,3600
11/29/2018 3:01:00 PM,541.7,541.7,541.5,541.5,4800
11/29/2018 3:00:00 PM,542.15,542.15,541.6,541.7,6000
11/29/2018 2:59:00 PM,542,542.45,541.8,542.15,20400
11/29/2018 2:58:00 PM,542,542.15,541.95,542,10800
11/29/2018 2:57:00 PM,541.6,542.15,541.6,542,7200
11/29/2018 2:56:00 PM,541.6,541.6,541.6,541.6,0
11/29/2018 2:55:00 PM,542.2,542.2,541.6,541.6,6000
11/29/2018 2:54:00 PM,541.65,542.2,541.65,542.2,25200
11/29/2018 2:53:00 PM,541.55,541.75,541.55,541.65,3600
11/29/2018 2:52:00 PM,541.5,541.8,541,541.55,22800
11/29/2018 2:51:00 PM,542.4,543.05,541.15,541.15,50400
11/29/2018 2:50:00 PM,542.25,542.55,542.25,542.45,3600
11/29/2018 2:49:00 PM,541.9,542.3,541.9,542.25,6000
11/29/2018 2:48:00 PM,541.75,542.15,541.75,541.9,10800
11/29/2018 2:47:00 PM,540.9,541.75,540.9,541.75,9600
11/29/2018 2:46:00 PM,541.25,541.25,540.9,540.9,6000
11/29/2018 2:45:00 PM,540.45,541.85,540.45,541.25,25200
11/29/2018 2:44:00 PM,541,541.4,540.45,540.45,34800
11/29/2018 2:43:00 PM,540.9,541.5,540.05,541,58800
11/29/2018 2:42:00 PM,544.35,544.35,540,540,104400
11/29/2018 2:41:00 PM,543.95,545,543.85,544.5,20400
11/29/2018 2:40:00 PM,544.85,545.1,543.95,543.95,12000
11/29/2018 2:39:00 PM,546,546.1,544.8,544.85,100800
11/29/2018 2:38:00 PM,545.8,546,545.4,546,14400
11/29/2018 2:37:00 PM,545.15,545.85,545.15,545.8,8400
11/29/2018 2:36:00 PM,544.6,545.3,544.6,545.15,6000
11/29/2018 2:35:00 PM,544,545,544,544.6,10800
11/29/2018 2:34:00 PM,545.8,545.8,544,544,8400
11/29/2018 2:33:00 PM,545.5,546,545.5,545.8,8400
11/29/2018 2:32:00 PM,546,546,545.5,545.5,13200
11/29/2018 2:31:00 PM,546.2,546.25,546,546,12000
11/29/2018 2:30:00 PM,546.6,546.6,546,546.2,27600
11/29/2018 2:29:00 PM,545.55,546.8,545.55,546.6,18000
11/29/2018 2:28:00 PM,547.1,547.1,545.55,545.55,13200
11/29/2018 2:27:00 PM,542.7,547.3,542.7,547.1,122400
11/29/2018 2:26:00 PM,543,543,542.7,542.7,2400
11/29/2018 2:25:00 PM,542.5,543,542.5,543,4800
11/29/2018 2:24:00 PM,542.1,542.5,541.95,542.5,9600
11/29/2018 2:23:00 PM,542.4,542.4,541.7,542.1,16800
11/29/2018 2:22:00 PM,542,542.4,541.5,542.4,30000
11/29/2018 2:21:00 PM,541,542.2,541,542,13200
11/29/2018 2:20:00 PM,541.3,541.3,541,541,2400
11/29/2018 2:19:00 PM,542.85,542.85,541.95,542.05,10800
11/29/2018 2:18:00 PM,542.5,542.85,542.25,542.85,8400
11/29/2018 2:17:00 PM,543,543,542.05,542.5,16800
11/29/2018 2:16:00 PM,541.65,544,541.2,543,45600
11/29/2018 2:15:00 PM,541.2,541.85,540.55,541.45,15600
11/29/2018 2:14:00 PM,541.45,541.8,540.9,541.2,13200
11/29/2018 2:13:00 PM,541.75,542,541.3,541.45,21600
11/29/2018 2:12:00 PM,541.15,541.75,541.05,541.75,12000
11/29/2018 2:11:00 PM,540.8,541.1,540.8,541,24000
11/29/2018 2:10:00 PM,539.65,540.55,539.65,540.55,13200
11/29/2018 2:09:00 PM,540.2,540.2,539.65,539.65,2400
11/29/2018 2:08:00 PM,540.2,540.2,539.75,540.2,8400
11/29/2018 2:07:00 PM,540.5,540.5,540.15,540.2,10800
11/29/2018 2:06:00 PM,540.75,540.85,540.05,540.5,10800
11/29/2018 2:05:00 PM,540.25,540.75,540.25,540.75,6000
11/29/2018 2:04:00 PM,540.2,540.5,540.2,540.25,9600
11/29/2018 2:03:00 PM,540.15,540.6,540,540.2,15600
11/29/2018 2:02:00 PM,540.75,540.75,540,540,8400
11/29/2018 2:01:00 PM,540.2,540.75,540.1,540.75,18000
11/29/2018 2:00:00 PM,540.6,540.6,540.2,540.2,2400
11/29/2018 1:59:00 PM,540.35,540.6,540.35,540.6,1200
11/29/2018 1:58:00 PM,540.35,540.35,540.35,540.35,2400
11/29/2018 1:57:00 PM,540.35,540.35,540.35,540.35,1200
11/29/2018 1:56:00 PM,539.3,540.45,539.3,540.35,18000
11/29/2018 1:55:00 PM,540,540.25,539.3,539.3,9600
11/29/2018 1:54:00 PM,540.1,540.65,540,540,10800
11/29/2018 1:53:00 PM,540.5,540.5,540.1,540.1,3600
11/29/2018 1:52:00 PM,540.5,540.5,540.5,540.5,0
11/29/2018 1:51:00 PM,540.7,540.7,540.2,540.5,10800
11/29/2018 1:50:00 PM,540.35,540.8,539.95,540.7,22800
11/29/2018 1:49:00 PM,540.5,540.55,540.25,540.35,14400
11/29/2018 1:48:00 PM,540.6,540.6,540.5,540.5,2400
11/29/2018 1:47:00 PM,541,541,540.6,540.6,13200
11/29/2018 1:46:00 PM,540.75,541,540.75,541,8400
11/29/2018 1:45:00 PM,540.45,540.8,540.45,540.8,10800
11/29/2018 1:44:00 PM,540.5,540.5,540.45,540.45,1200
11/29/2018 1:43:00 PM,540.5,540.5,540.5,540.5,6000
11/29/2018 1:42:00 PM,540.7,540.7,540.4,540.5,2400
11/29/2018 1:41:00 PM,540.15,540.7,540.05,540.7,8400
11/29/2018 1:40:00 PM,540.6,540.6,540.15,540.15,9600
11/29/2018 1:39:00 PM,539.9,540.6,539.9,540.6,12000
11/29/2018 1:38:00 PM,541,541,539.85,539.9,9600
11/29/2018 1:37:00 PM,540.7,541,540.7,541,4800
11/29/2018 1:36:00 PM,540.45,540.7,539.95,540.7,4800
11/29/2018 1:35:00 PM,539.7,540.95,539.7,540.45,15600
11/29/2018 1:34:00 PM,540.5,540.5,539.7,539.7,7200
11/29/2018 1:33:00 PM,541,541,540.6,540.6,2400
11/29/2018 1:32:00 PM,541,541,541,541,1200
11/29/2018 1:31:00 PM,541.05,541.4,541,541,4800
11/29/2018 1:30:00 PM,541,541.3,540.8,541.05,13200
11/29/2018 1:29:00 PM,541.5,541.7,541,541,8400
11/29/2018 1:28:00 PM,540.85,541.5,540.75,541.5,28800
11/29/2018 1:27:00 PM,540.05,540.85,540.05,540.85,21600
11/29/2018 1:26:00 PM,540.45,540.45,540.05,540.05,1200
11/29/2018 1:25:00 PM,540.45,540.45,540.45,540.45,1200
11/29/2018 1:24:00 PM,540.45,540.45,540.45,540.45,1200
11/29/2018 1:23:00 PM,541,541,540.05,540.45,15600
11/29/2018 1:22:00 PM,541,541,541,541,1200
11/29/2018 1:21:00 PM,540.55,541,540.45,541,8400
11/29/2018 1:20:00 PM,540.6,540.6,540.45,540.55,4800
11/29/2018 1:19:00 PM,540.55,540.7,540.55,540.6,2400
11/29/2018 1:18:00 PM,540.05,540.55,540.05,540.55,3600
11/29/2018 1:17:00 PM,540.35,540.45,540.05,540.05,8400
11/29/2018 1:16:00 PM,540.45,540.45,540.35,540.35,1200
11/29/2018 1:15:00 PM,540.15,540.45,540.15,540.45,6000
11/29/2018 1:14:00 PM,542.05,542.05,540.15,540.15,18000
11/29/2018 1:13:00 PM,541,542.05,541,542.05,15600
11/29/2018 1:12:00 PM,540.75,541.25,540.75,541,44400
11/29/2018 1:11:00 PM,540.45,540.75,540.45,540.75,1200
11/29/2018 1:10:00 PM,540.55,540.75,540.45,540.45,4800
11/29/2018 1:09:00 PM,541.25,541.25,540.55,540.55,3600
11/29/2018 1:08:00 PM,540.95,541.25,540.95,541.25,2400
11/29/2018 1:07:00 PM,540.2,540.95,540.2,540.95,6000
11/29/2018 1:06:00 PM,539.95,540.3,539.6,540.2,16800
11/29/2018 1:05:00 PM,540.45,540.45,539.8,539.8,4800
11/29/2018 1:04:00 PM,541.05,541.15,540.45,540.45,3600
11/29/2018 1:03:00 PM,541,541.05,541,541.05,9600
11/29/2018 1:02:00 PM,542.15,542.15,541,541,9600
11/29/2018 1:01:00 PM,542.65,542.65,542.15,542.15,2400
11/29/2018 1:00:00 PM,542.35,542.75,542.35,542.65,8400
11/29/2018 12:59:00 PM,542.1,542.55,542.1,542.55,13200
11/29/2018 12:58:00 PM,542,542,541.65,541.65,1200
11/29/2018 12:57:00 PM,541.5,542,541.5,542,6000
11/29/2018 12:56:00 PM,542,542,541.5,541.5,6000
11/29/2018 12:55:00 PM,541.45,541.9,541.45,541.9,4800
11/29/2018 12:54:00 PM,540.85,541.45,540.85,541.45,9600
11/29/2018 12:53:00 PM,540.85,540.85,540.85,540.85,0
11/29/2018 12:52:00 PM,540.8,540.85,540.8,540.85,1200
11/29/2018 12:51:00 PM,540.65,540.8,540.65,540.8,4800
11/29/2018 12:50:00 PM,540.65,540.65,540.65,540.65,0
11/29/2018 12:49:00 PM,540.4,540.65,540.4,540.65,7200
11/29/2018 12:48:00 PM,541,541,540.85,540.85,2400
11/29/2018 12:47:00 PM,540.75,541,540.75,541,4800
11/29/2018 12:46:00 PM,540.6,540.75,540.6,540.75,4800
11/29/2018 12:45:00 PM,540.05,540.55,540.05,540.55,3600
11/29/2018 12:44:00 PM,540.8,540.85,540.05,540.05,10800
11/29/2018 12:43:00 PM,541.2,541.2,540.8,540.8,7200
11/29/2018 12:42:00 PM,540.65,541.2,540.65,541.2,4800
11/29/2018 12:41:00 PM,540.7,540.7,540.45,540.45,3600
11/29/2018 12:40:00 PM,540.1,541.1,540.1,541.1,13200
11/29/2018 12:39:00 PM,539.65,539.65,539.65,539.65,25200
11/29/2018 12:38:00 PM,539.85,539.85,539.85,539.85,0
11/29/2018 12:37:00 PM,539.85,539.85,539.85,539.85,3600
11/29/2018 12:36:00 PM,539.85,539.85,539.85,539.85,1200
11/29/2018 12:35:00 PM,540.35,540.35,539.85,539.85,1200
11/29/2018 12:34:00 PM,540.35,540.65,540.25,540.35,64800
11/29/2018 12:33:00 PM,540.35,540.35,540.35,540.35,0
11/29/2018 12:32:00 PM,539.95,540.6,539.95,540.35,2400
11/29/2018 12:31:00 PM,540.7,540.7,539.95,539.95,6000
11/29/2018 12:30:00 PM,540.7,540.7,540.7,540.7,1200
11/29/2018 12:29:00 PM,540.95,540.95,540.65,540.65,3600
11/29/2018 12:28:00 PM,540.45,540.95,540.45,540.95,14400
11/29/2018 12:27:00 PM,540.2,540.45,540.2,540.45,4800
11/29/2018 12:26:00 PM,539.8,540.3,539.8,540,26400
11/29/2018 12:25:00 PM,539.8,539.8,539.8,539.8,1200
11/29/2018 12:24:00 PM,539.8,539.8,539.8,539.8,0
11/29/2018 12:23:00 PM,540.15,540.15,539.55,539.8,2400
11/29/2018 12:22:00 PM,540.1,540.15,540.1,540.15,2400
11/29/2018 12:21:00 PM,540.2,540.2,539.45,540.1,6000
11/29/2018 12:20:00 PM,540.15,540.2,540.15,540.2,3600
11/29/2018 12:19:00 PM,539.9,540.15,539.9,540.15,13200
11/29/2018 12:18:00 PM,540.55,540.55,539.9,539.9,7200
11/29/2018 12:17:00 PM,540.85,540.85,540.6,540.6,1200
11/29/2018 12:16:00 PM,540.2,541.05,540.2,540.85,12000
11/29/2018 12:15:00 PM,540.4,540.4,540.3,540.3,1200
11/29/2018 12:14:00 PM,540.6,541,540.4,540.4,4800
11/29/2018 12:13:00 PM,541.25,541.25,540.6,540.6,4800
11/29/2018 12:12:00 PM,541.3,541.3,541.25,541.25,3600
11/29/2018 12:11:00 PM,541.6,541.6,541.3,541.3,3600
11/29/2018 12:10:00 PM,542.05,542.05,541.6,541.6,2400
11/29/2018 12:09:00 PM,542.6,542.6,542.05,542.05,9600
11/29/2018 12:08:00 PM,543.05,543.05,542.6,542.6,15600
11/29/2018 12:07:00 PM,543.6,543.65,543,543.05,15600
11/29/2018 12:06:00 PM,543.5,543.75,543.45,543.75,64800
11/29/2018 12:05:00 PM,542.6,543.25,542.15,543.05,16800
11/29/2018 12:04:00 PM,540.7,542.05,540.7,542.05,60000
11/29/2018 12:03:00 PM,540.05,540.85,540.05,540.7,10800
11/29/2018 12:02:00 PM,540.2,540.2,540.05,540.05,3600
11/29/2018 12:01:00 PM,540.55,540.55,540.2,540.2,1200
11/29/2018 12:00:00 PM,540.35,540.55,540.35,540.55,2400
11/29/2018 11:59:00 AM,540.1,540.5,540.1,540.35,3600
11/29/2018 11:58:00 AM,539,540.1,539,540.1,8400
11/29/2018 11:57:00 AM,539.2,539.2,539.15,539.15,10800
11/29/2018 11:56:00 AM,540.5,540.5,539.25,539.25,10800
11/29/2018 11:55:00 AM,540.4,540.6,540.4,540.5,7200
11/29/2018 11:54:00 AM,541,541,540.45,540.45,4800
11/29/2018 11:53:00 AM,540.5,541,540.5,541,1200
11/29/2018 11:52:00 AM,540.5,540.5,540.5,540.5,12000
11/29/2018 11:51:00 AM,540.95,541.05,540.5,540.5,2400
11/29/2018 11:50:00 AM,540.95,540.95,540.95,540.95,1200
11/29/2018 11:49:00 AM,540.75,540.75,540.75,540.75,1200
11/29/2018 11:48:00 AM,540.75,540.75,540.75,540.75,3600
11/29/2018 11:47:00 AM,540.75,540.75,540.75,540.75,3600
11/29/2018 11:46:00 AM,541,541,541,541,0
11/29/2018 11:45:00 AM,541.55,541.55,541,541,2400
11/29/2018 11:44:00 AM,541.55,541.55,541.55,541.55,1200
11/29/2018 11:43:00 AM,541.2,541.95,541.2,541.55,4800
11/29/2018 11:42:00 AM,540.6,541.2,540.6,541.2,14400
11/29/2018 11:41:00 AM,540,540.6,540,540.6,7200
11/29/2018 11:40:00 AM,539.45,540,539.45,540,2400
11/29/2018 11:39:00 AM,539.2,539.45,539.2,539.45,2400
11/29/2018 11:38:00 AM,538.8,539.2,538.8,539.2,3600
11/29/2018 11:37:00 AM,539,539,538.7,538.8,2400
11/29/2018 11:36:00 AM,539,539,538.95,539,3600
11/29/2018 11:35:00 AM,539.55,539.55,539,539,2400
11/29/2018 11:34:00 AM,539.55,539.55,539.55,539.55,0
11/29/2018 11:33:00 AM,539.8,539.8,539.55,539.55,8400
11/29/2018 11:32:00 AM,540,540.55,540,540.4,3600
11/29/2018 11:31:00 AM,539.1,540,539.1,540,7200
11/29/2018 11:30:00 AM,538,538.7,538,538.3,21600
11/29/2018 11:29:00 AM,538.5,538.5,538,538.05,15600
11/29/2018 11:28:00 AM,538.5,538.75,538.4,538.65,15600
11/29/2018 11:27:00 AM,539.5,539.5,538.5,538.5,8400
11/29/2018 11:26:00 AM,539.5,540.35,539.5,539.5,8400
11/29/2018 11:25:00 AM,540.65,540.65,539.45,539.5,14400
11/29/2018 11:24:00 AM,540.95,541.15,540.55,540.65,13200
11/29/2018 11:23:00 AM,540.5,541,540.4,540.95,10800
11/29/2018 11:22:00 AM,540.5,540.5,540.1,540.5,6000
11/29/2018 11:21:00 AM,540.5,540.85,540.45,540.5,16800
11/29/2018 11:20:00 AM,541.55,541.55,540.6,540.6,7200
11/29/2018 11:19:00 AM,541.7,541.7,541.1,541.55,38400
11/29/2018 11:18:00 AM,542.45,542.45,541.7,542.05,18000
11/29/2018 11:17:00 AM,542.05,542.05,541.7,541.9,4800
11/29/2018 11:16:00 AM,542.05,542.35,541.85,542.05,9600
11/29/2018 11:15:00 AM,543.4,543.4,541.85,542.05,40800
11/29/2018 11:14:00 AM,541,543.65,541,543.4,49200
11/29/2018 11:13:00 AM,540.35,540.55,540.1,540.35,7200
11/29/2018 11:12:00 AM,540.25,540.35,539.8,540.35,18000
11/29/2018 11:11:00 AM,539.55,540.25,539.5,540.25,13200
11/29/2018 11:10:00 AM,538.3,540,538.3,539.55,12000
11/29/2018 11:09:00 AM,538.35,538.35,537.95,538.3,7200
11/29/2018 11:08:00 AM,538.75,538.75,537.7,538.35,10800
11/29/2018 11:07:00 AM,540.5,540.5,538.7,538.75,22800
11/29/2018 11:06:00 AM,539.1,541.25,538.95,541.05,54000
11/29/2018 11:05:00 AM,538.25,539.3,538.15,539.3,13200
11/29/2018 11:04:00 AM,535.6,538.5,535.6,538.25,39600
11/29/2018 11:03:00 AM,535.7,535.7,535.6,535.6,2400
11/29/2018 11:02:00 AM,535.85,535.85,535.7,535.7,1200
11/29/2018 11:01:00 AM,534.75,535.85,534.35,535.85,9600
11/29/2018 11:00:00 AM,535.35,535.35,534.55,534.75,9600
11/29/2018 10:59:00 AM,535.5,535.6,535.15,535.2,9600
11/29/2018 10:58:00 AM,535,535.5,534.65,535.5,25200
11/29/2018 10:57:00 AM,536.2,536.2,535,535,8400
11/29/2018 10:56:00 AM,535.6,536.25,535.6,536.2,14400
11/29/2018 10:55:00 AM,535,536.5,535,535.65,18000
11/29/2018 10:54:00 AM,535.4,535.45,535,535,12000
11/29/2018 10:53:00 AM,536,536,534.8,535.4,32400
