Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
11/29/2018 3:29:00 PM,287.9,288.8,287.4,288,446579
11/29/2018 3:28:00 PM,288.85,289.3,288.15,288.15,400512
11/29/2018 3:27:00 PM,287.9,288.9,287.8,288.85,443568
11/29/2018 3:26:00 PM,287.25,287.95,287.15,287.8,455680
11/29/2018 3:25:00 PM,287.8,287.8,287.3,287.35,445702
11/29/2018 3:24:00 PM,287.65,287.8,287.6,287.8,387662
11/29/2018 3:23:00 PM,287.35,287.8,287.35,287.7,519063
11/29/2018 3:22:00 PM,287.35,287.45,287.2,287.35,420055
11/29/2018 3:21:00 PM,286.8,287.3,286.7,287.25,421787
11/29/2018 3:20:00 PM,286.7,286.8,286.45,286.75,383501
11/29/2018 3:19:00 PM,287.25,287.25,286.65,286.65,323115
11/29/2018 3:18:00 PM,286.85,287.25,286.85,287.2,383631
11/29/2018 3:17:00 PM,286.2,286.9,286.15,286.85,357761
11/29/2018 3:16:00 PM,286.05,286.2,285.95,286.2,356324
11/29/2018 3:15:00 PM,285.8,286.1,285.7,286.1,463509
11/29/2018 3:14:00 PM,285.6,285.8,285.5,285.8,359371
11/29/2018 3:13:00 PM,285.85,285.85,285.45,285.6,351606
11/29/2018 3:12:00 PM,285.9,285.9,285.65,285.85,326537
11/29/2018 3:11:00 PM,286.4,286.4,285.75,285.9,384699
11/29/2018 3:10:00 PM,286.25,286.45,286.15,286.4,342497
11/29/2018 3:09:00 PM,284.9,286.25,284.9,286.25,408027
11/29/2018 3:08:00 PM,284.35,285,284.3,285,414670
11/29/2018 3:07:00 PM,284.75,284.8,284.3,284.45,489878
11/29/2018 3:06:00 PM,285.3,285.3,284.65,284.7,460768
11/29/2018 3:05:00 PM,285.4,285.5,285.25,285.3,386236
11/29/2018 3:04:00 PM,285.35,285.4,285.25,285.4,346907
11/29/2018 3:03:00 PM,285.5,285.55,285.15,285.35,405062
11/29/2018 3:02:00 PM,285.75,285.8,285.3,285.6,423799
11/29/2018 3:01:00 PM,286.05,286.05,285.65,285.75,359730
11/29/2018 3:00:00 PM,286.75,286.75,285.8,286.05,374476
11/29/2018 2:59:00 PM,286.25,286.8,286.25,286.75,137797
11/29/2018 2:58:00 PM,286.45,286.45,286.2,286.4,33923
11/29/2018 2:57:00 PM,286.4,286.5,286.3,286.4,47976
11/29/2018 2:56:00 PM,286.2,286.65,286.1,286.5,95948
11/29/2018 2:55:00 PM,285.9,286.3,285.8,286.1,166601
11/29/2018 2:54:00 PM,286.2,286.25,285.75,285.9,200612
11/29/2018 2:53:00 PM,286.5,286.5,286.15,286.25,56438
11/29/2018 2:52:00 PM,286.85,286.9,286.4,286.5,135315
11/29/2018 2:51:00 PM,287.05,287.05,286.8,286.85,134399
11/29/2018 2:50:00 PM,287.2,287.3,287,287.1,101852
11/29/2018 2:49:00 PM,287.7,287.7,287.2,287.3,117648
