Date,SBIN18DECFUT O,SBIN18DECFUT H,SBIN18DECFUT L,SBIN18DECFUT C,SBIN18DECFUT V
11/29/2018 3:29:00 PM,289,289,288.45,288.55,417000
11/29/2018 3:28:00 PM,289.15,289.25,289.05,289.15,360000
11/29/2018 3:27:00 PM,289,289.15,288.85,289.15,297000
11/29/2018 3:26:00 PM,288.5,289,288.4,288.95,315000
11/29/2018 3:25:00 PM,288.75,288.9,288.5,288.5,210000
11/29/2018 3:24:00 PM,288.75,288.95,288.75,288.9,165000
11/29/2018 3:23:00 PM,288.55,288.9,288.55,288.75,486000
11/29/2018 3:22:00 PM,288.45,288.6,288.4,288.6,189000
11/29/2018 3:21:00 PM,288,288.4,288,288.4,210000
11/29/2018 3:20:00 PM,287.95,288,287.7,288,210000
11/29/2018 3:19:00 PM,288.3,288.35,288,288,255000
11/29/2018 3:18:00 PM,288.2,288.4,288.1,288.3,303000
11/29/2018 3:17:00 PM,287.5,288.15,287.45,288.15,354000
11/29/2018 3:16:00 PM,287.3,287.5,287.2,287.5,180000
11/29/2018 3:15:00 PM,287.1,287.45,287.1,287.25,225000
11/29/2018 3:14:00 PM,287,287.1,286.8,287.1,123000
11/29/2018 3:13:00 PM,287.1,287.2,286.85,287,102000
11/29/2018 3:12:00 PM,287.1,287.25,287,287.1,117000
11/29/2018 3:11:00 PM,287.45,287.5,287.15,287.15,123000
11/29/2018 3:10:00 PM,287.35,287.5,287.3,287.5,156000
11/29/2018 3:09:00 PM,286.25,287.35,286.2,287.35,240000
11/29/2018 3:08:00 PM,285.75,286.25,285.7,286.25,132000
11/29/2018 3:07:00 PM,285.95,286,285.7,285.75,213000
11/29/2018 3:06:00 PM,286.5,286.5,286,286,495000
11/29/2018 3:05:00 PM,286.7,286.85,286.4,286.5,393000
11/29/2018 3:04:00 PM,286.7,286.8,286.55,286.7,132000
11/29/2018 3:03:00 PM,286.8,286.95,286.6,286.7,168000
11/29/2018 3:02:00 PM,286.95,287.15,286.75,286.9,165000
11/29/2018 3:01:00 PM,287.25,287.25,286.95,286.95,144000
11/29/2018 3:00:00 PM,287.75,287.8,287,287.1,201000
11/29/2018 2:59:00 PM,287.35,287.75,287.35,287.75,117000
11/29/2018 2:58:00 PM,287.5,287.5,287.25,287.35,81000
11/29/2018 2:57:00 PM,287.4,287.5,287.35,287.5,240000
11/29/2018 2:56:00 PM,287,287.45,287,287.45,741000
11/29/2018 2:55:00 PM,286.65,287.2,286.55,287,1827000
11/29/2018 2:54:00 PM,287.1,287.25,286.4,286.65,957000
11/29/2018 2:53:00 PM,287.2,287.35,287.1,287.15,117000
