Date,SILVER18DECFUT O,SILVER18DECFUT H,SILVER18DECFUT L,SILVER18DECFUT C,SILVER18DECFUT V
11/29/2018 11:54:00 PM,35624,35643,35624,35643,29
11/29/2018 11:53:00 PM,35638,35648,35624,35624,17
11/29/2018 11:52:00 PM,35613,35638,35612,35638,34
11/29/2018 11:51:00 PM,35613,35617,35610,35613,22
11/29/2018 11:50:00 PM,35602,35613,35602,35613,31
11/29/2018 11:49:00 PM,35600,35605,35599,35600,11
11/29/2018 11:48:00 PM,35603,35603,35600,35600,7
11/29/2018 11:47:00 PM,35600,35603,35587,35603,22
11/29/2018 11:46:00 PM,35594,35600,35572,35600,57
11/29/2018 11:45:00 PM,35586,35595,35565,35594,63
11/29/2018 11:44:00 PM,35575,35586,35550,35586,93
11/29/2018 11:43:00 PM,35569,35616,35569,35575,59
11/29/2018 11:42:00 PM,35599,35599,35561,35569,18
11/29/2018 11:41:00 PM,35582,35603,35575,35599,137
11/29/2018 11:40:00 PM,35605,35614,35582,35584,152
11/29/2018 11:39:00 PM,35630,35630,35605,35605,19
11/29/2018 11:38:00 PM,35637,35637,35625,35630,20
11/29/2018 11:37:00 PM,35645,35648,35637,35637,8
11/29/2018 11:36:00 PM,35642,35649,35640,35645,14
11/29/2018 11:35:00 PM,35650,35650,35642,35642,26
11/29/2018 11:34:00 PM,35650,35656,35650,35650,11
11/29/2018 11:33:00 PM,35662,35672,35642,35650,51
11/29/2018 11:32:00 PM,35658,35669,35652,35662,18
11/29/2018 11:31:00 PM,35682,35682,35651,35658,25
11/29/2018 11:30:00 PM,35677,35700,35658,35670,51
11/29/2018 11:29:00 PM,35688,35688,35677,35677,16
11/29/2018 11:28:00 PM,35668,35692,35661,35692,30
11/29/2018 11:27:00 PM,35658,35668,35658,35668,42
11/29/2018 11:26:00 PM,35647,35658,35647,35658,42
11/29/2018 11:25:00 PM,35658,35658,35647,35655,18
11/29/2018 11:24:00 PM,35650,35658,35650,35658,16
11/29/2018 11:23:00 PM,35650,35653,35650,35650,28
11/29/2018 11:22:00 PM,35651,35660,35651,35655,14
11/29/2018 11:21:00 PM,35646,35651,35646,35651,6
11/29/2018 11:20:00 PM,35646,35650,35646,35646,30
11/29/2018 11:19:00 PM,35643,35650,35643,35646,54
11/29/2018 11:18:00 PM,35640,35645,35637,35645,42
11/29/2018 11:17:00 PM,35628,35640,35628,35640,43
11/29/2018 11:16:00 PM,35623,35629,35623,35628,20
11/29/2018 11:15:00 PM,35629,35629,35620,35623,8
11/29/2018 11:14:00 PM,35623,35630,35618,35629,60
11/29/2018 11:13:00 PM,35636,35636,35628,35628,7
11/29/2018 11:12:00 PM,35631,35640,35622,35636,42
11/29/2018 11:11:00 PM,35640,35640,35635,35635,19
11/29/2018 11:10:00 PM,35644,35648,35635,35640,24
11/29/2018 11:09:00 PM,35635,35644,35630,35644,51
11/29/2018 11:08:00 PM,35638,35641,35632,35635,7
11/29/2018 11:07:00 PM,35640,35641,35636,35638,48
11/29/2018 11:06:00 PM,35656,35656,35635,35636,56
11/29/2018 11:05:00 PM,35661,35665,35656,35656,23
11/29/2018 11:04:00 PM,35674,35674,35660,35665,21
11/29/2018 11:03:00 PM,35671,35675,35665,35674,24
11/29/2018 11:02:00 PM,35703,35703,35662,35671,85
11/29/2018 11:01:00 PM,35708,35708,35703,35703,4
11/29/2018 11:00:00 PM,35708,35708,35708,35708,4
11/29/2018 10:59:00 PM,35703,35708,35703,35708,2
11/29/2018 10:58:00 PM,35703,35712,35703,35703,8
11/29/2018 10:57:00 PM,35711,35711,35703,35703,7
11/29/2018 10:56:00 PM,35713,35717,35711,35711,6
11/29/2018 10:55:00 PM,35711,35713,35711,35713,1
11/29/2018 10:54:00 PM,35711,35720,35711,35711,12
11/29/2018 10:53:00 PM,35712,35712,35711,35711,1
11/29/2018 10:52:00 PM,35710,35712,35710,35712,2
11/29/2018 10:51:00 PM,35720,35720,35710,35710,2
11/29/2018 10:50:00 PM,35720,35720,35720,35720,4
11/29/2018 10:49:00 PM,35717,35720,35717,35720,1
11/29/2018 10:48:00 PM,35713,35723,35713,35717,6
11/29/2018 10:47:00 PM,35701,35713,35701,35713,6
11/29/2018 10:46:00 PM,35701,35701,35701,35701,0
11/29/2018 10:45:00 PM,35710,35710,35700,35701,9
11/29/2018 10:44:00 PM,35710,35710,35710,35710,2
11/29/2018 10:43:00 PM,35716,35724,35710,35710,7
11/29/2018 10:42:00 PM,35731,35731,35716,35716,3
11/29/2018 10:41:00 PM,35733,35733,35731,35731,2
11/29/2018 10:40:00 PM,35735,35735,35733,35733,1
11/29/2018 10:39:00 PM,35735,35735,35735,35735,1
11/29/2018 10:38:00 PM,35740,35748,35735,35741,9
11/29/2018 10:37:00 PM,35735,35740,35735,35740,4
11/29/2018 10:36:00 PM,35730,35735,35730,35735,2
11/29/2018 10:35:00 PM,35730,35730,35730,35730,1
11/29/2018 10:34:00 PM,35740,35740,35730,35730,7
11/29/2018 10:33:00 PM,35740,35740,35740,35740,0
11/29/2018 10:32:00 PM,35743,35743,35740,35740,2
11/29/2018 10:31:00 PM,35741,35743,35736,35743,4
11/29/2018 10:30:00 PM,35740,35741,35740,35741,2
11/29/2018 10:29:00 PM,35720,35740,35720,35740,15
