Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C,YESBANK-EQ V
11/29/2018 3:29:00 PM,161.25,161.4,161.05,161.35,527925
11/29/2018 3:28:00 PM,160.8,161.35,160.8,161.25,580635
11/29/2018 3:27:00 PM,160.95,160.95,160.7,160.8,521604
11/29/2018 3:26:00 PM,161.4,161.45,160.9,160.95,677181
11/29/2018 3:25:00 PM,161.4,161.5,161.25,161.4,511328
11/29/2018 3:24:00 PM,161.35,161.7,161.3,161.45,634832
11/29/2018 3:23:00 PM,161.3,161.5,161.2,161.35,875873
11/29/2018 3:22:00 PM,161.35,161.4,161.1,161.3,816616
11/29/2018 3:21:00 PM,161.5,161.6,161.3,161.45,491491
11/29/2018 3:20:00 PM,161.45,161.5,161,161.5,699364
11/29/2018 3:19:00 PM,161.05,161.7,161.05,161.45,647900
11/29/2018 3:18:00 PM,160.65,161.15,160.65,161.15,786706
11/29/2018 3:17:00 PM,161.25,161.25,160.45,160.75,579040
11/29/2018 3:16:00 PM,161.3,161.4,161.1,161.3,899009
11/29/2018 3:15:00 PM,160.45,161.5,160.45,161.5,1225911
11/29/2018 3:14:00 PM,160.3,160.75,160.3,160.55,857278
11/29/2018 3:13:00 PM,160.25,160.35,160.05,160.35,491443
11/29/2018 3:12:00 PM,160.2,160.35,160.05,160.15,698797
11/29/2018 3:11:00 PM,159.65,160.4,159.65,160.25,800373
11/29/2018 3:10:00 PM,159.15,159.75,159.1,159.6,771548
11/29/2018 3:09:00 PM,159.1,159.25,158.8,159.2,386670
11/29/2018 3:08:00 PM,159.35,159.45,159.05,159.1,420547
11/29/2018 3:07:00 PM,158.9,159.45,158.75,159.45,463322
11/29/2018 3:06:00 PM,158.75,159.1,158.65,158.95,512840
11/29/2018 3:05:00 PM,158.85,158.85,158.55,158.8,572959
11/29/2018 3:04:00 PM,159.25,159.25,158.8,158.85,486739
11/29/2018 3:03:00 PM,159,159.7,158.95,159.15,479827
11/29/2018 3:02:00 PM,159.25,159.25,158.55,158.8,704644
11/29/2018 3:01:00 PM,159.5,159.5,159.1,159.25,475873
11/29/2018 3:00:00 PM,159.4,159.8,159.2,159.5,540930
11/29/2018 2:59:00 PM,160,160.1,159.45,159.45,443748
11/29/2018 2:58:00 PM,160.3,160.4,160,160,246140
11/29/2018 2:57:00 PM,159.9,160.65,159.85,160.3,429850
11/29/2018 2:56:00 PM,159.95,160,159.85,159.95,177456
11/29/2018 2:55:00 PM,160.2,160.25,159.85,159.95,249923
11/29/2018 2:54:00 PM,160,160.3,159.9,160.3,194967
11/29/2018 2:53:00 PM,160.15,160.2,159.85,160,213724
11/29/2018 2:52:00 PM,160.85,160.9,159.75,160.2,462956
11/29/2018 2:51:00 PM,160.6,160.95,160.6,160.9,249928
11/29/2018 2:50:00 PM,160.85,161.15,160.6,160.7,538572
11/29/2018 2:49:00 PM,160.25,161,160.25,160.7,479526
11/29/2018 2:48:00 PM,160.15,160.4,159.35,160.25,428370
11/29/2018 2:47:00 PM,160.5,160.6,159.9,160.2,368464
11/29/2018 2:46:00 PM,160.7,161.35,160.3,160.5,749927
11/29/2018 2:45:00 PM,159.6,160.9,159.5,160.65,821269
11/29/2018 2:44:00 PM,158.95,159.65,158.85,159.45,290138
11/29/2018 2:43:00 PM,158.85,159,158.75,158.9,257459
11/29/2018 2:42:00 PM,158.75,159.25,158.6,158.85,265573
11/29/2018 2:41:00 PM,159.4,159.45,158.75,158.85,301380
11/29/2018 2:40:00 PM,159.05,159.8,159.05,159.3,344737
11/29/2018 2:39:00 PM,159.45,159.65,159,159.05,334900
11/29/2018 2:38:00 PM,159.5,159.65,158.75,159.4,657544
11/29/2018 2:37:00 PM,157.95,159.8,157.85,159.6,1096926
11/29/2018 2:36:00 PM,158.35,158.35,157.55,157.95,816331
11/29/2018 2:35:00 PM,158.55,158.6,157.8,158.3,1346970
11/29/2018 2:34:00 PM,159.25,159.25,158.55,158.6,1258450
11/29/2018 2:33:00 PM,159.8,159.95,159.35,159.4,637091
11/29/2018 2:32:00 PM,160.5,160.55,159.75,159.85,403053
11/29/2018 2:31:00 PM,160.55,160.65,160.25,160.55,262950
11/29/2018 2:30:00 PM,161.1,161.1,160.5,160.55,201700
11/29/2018 2:29:00 PM,160.45,161.3,160.45,161,408401
11/29/2018 2:28:00 PM,160.4,160.6,160.25,160.4,240994
11/29/2018 2:27:00 PM,160.2,160.65,160,160.45,722975
11/29/2018 2:26:00 PM,160.75,160.85,160.15,160.15,359446
11/29/2018 2:25:00 PM,161.05,161.15,160.65,160.8,282942
11/29/2018 2:24:00 PM,161.1,161.25,160.9,161.05,214875
11/29/2018 2:23:00 PM,160.95,161.35,160.85,161.1,318092
11/29/2018 2:22:00 PM,161.3,161.3,160.55,160.95,826575
11/29/2018 2:21:00 PM,161.95,162.2,161.2,161.25,450825
11/29/2018 2:20:00 PM,161.85,161.95,161.55,161.85,308814
11/29/2018 2:19:00 PM,161.95,162.25,161.85,161.9,238197
11/29/2018 2:18:00 PM,161.8,162.1,161.7,161.85,254696
11/29/2018 2:17:00 PM,161.95,162,161.6,161.9,320028
11/29/2018 2:16:00 PM,162.2,162.25,161.7,162,362307
11/29/2018 2:15:00 PM,162.4,162.5,162.15,162.2,282698
11/29/2018 2:14:00 PM,162.8,162.9,162.35,162.5,258886
11/29/2018 2:13:00 PM,162.85,163,162.55,162.75,446525
11/29/2018 2:12:00 PM,162.1,162.8,161.9,162.8,242212
11/29/2018 2:11:00 PM,161.6,162.15,161.6,162.1,242794
11/29/2018 2:10:00 PM,162.3,162.35,161.55,161.6,306781
11/29/2018 2:09:00 PM,162.25,162.25,161.6,162.25,514259
11/29/2018 2:08:00 PM,162.1,162.3,161.9,162.2,302660
11/29/2018 2:07:00 PM,163,163,161.8,162.05,490585
11/29/2018 2:06:00 PM,162.55,162.9,162.15,162.9,441109
11/29/2018 2:05:00 PM,162.8,162.95,162.15,162.3,366314
11/29/2018 2:04:00 PM,163.15,163.15,162.5,162.8,391581
11/29/2018 2:03:00 PM,163,163.2,162.8,163.15,339275
11/29/2018 2:02:00 PM,163.45,163.5,162.65,162.95,701733
11/29/2018 2:01:00 PM,164.25,164.4,163.45,163.5,1116038
11/29/2018 2:00:00 PM,163.5,164.3,163.45,164.3,1415541
11/29/2018 1:59:00 PM,163.25,163.8,163.25,163.4,945535
11/29/2018 1:58:00 PM,162.45,163.3,162.25,163.2,932696
11/29/2018 1:57:00 PM,162.1,162.55,162.1,162.45,889491
11/29/2018 1:56:00 PM,160.75,162.15,160.7,162.1,732143
11/29/2018 1:55:00 PM,160.7,160.9,160.5,160.75,251043
11/29/2018 1:54:00 PM,160.7,161.2,160.55,160.75,314056
11/29/2018 1:53:00 PM,160.95,161.05,160.25,160.7,454681
11/29/2018 1:52:00 PM,161.4,161.4,160.9,161,281221
11/29/2018 1:51:00 PM,161.2,161.5,160.65,161.3,469485
11/29/2018 1:50:00 PM,161.8,161.95,161.05,161.05,325118
11/29/2018 1:49:00 PM,161.5,161.9,161.3,161.9,270683
11/29/2018 1:48:00 PM,161.7,162.15,161.2,161.35,580008
11/29/2018 1:47:00 PM,162.35,162.7,161.75,161.8,613403
11/29/2018 1:46:00 PM,161.85,162.35,161.5,162.3,764164
11/29/2018 1:45:00 PM,161.75,162.45,161.6,161.8,1308382
11/29/2018 1:44:00 PM,160.6,161.9,160.6,161.7,884724
11/29/2018 1:43:00 PM,159.95,161.15,159.95,160.6,731228
11/29/2018 1:42:00 PM,159.7,160.3,159.65,159.95,453310
11/29/2018 1:41:00 PM,159.55,159.95,159.55,159.8,227804
11/29/2018 1:40:00 PM,159.85,160,159.55,159.6,355714
11/29/2018 1:39:00 PM,159.75,160.1,159.75,160,388040
11/29/2018 1:38:00 PM,159.85,160.4,159.5,159.65,541462
11/29/2018 1:37:00 PM,159.8,159.95,159.35,159.8,511561
11/29/2018 1:36:00 PM,160.75,160.75,159.75,159.75,542574
11/29/2018 1:35:00 PM,160.15,161.5,159.95,161.05,839054
11/29/2018 1:34:00 PM,159.8,160.2,159.6,160.2,374321
11/29/2018 1:33:00 PM,159.75,160.2,159.3,160,515966
11/29/2018 1:32:00 PM,160.1,160.3,159.6,159.7,480060
11/29/2018 1:31:00 PM,160.15,160.65,159.65,160,545792
11/29/2018 1:30:00 PM,159.8,160.1,159.1,160.05,871986
11/29/2018 1:29:00 PM,160.65,160.7,159.6,159.7,719865
11/29/2018 1:28:00 PM,161.1,161.65,160.55,160.7,1089499
11/29/2018 1:27:00 PM,160.15,161.25,160.15,161.1,1482829
11/29/2018 1:26:00 PM,158.7,160.2,158.45,160.2,1898826
11/29/2018 1:25:00 PM,160.15,160.2,158.7,158.7,1556180
11/29/2018 1:24:00 PM,161.55,161.75,159.4,160.25,3302580
11/29/2018 1:23:00 PM,162.5,163,161.25,161.35,1294207
11/29/2018 1:22:00 PM,162.9,163.1,162.35,162.5,673687
11/29/2018 1:21:00 PM,163.6,163.85,162.7,162.8,765180
11/29/2018 1:20:00 PM,162.65,163.6,162.5,163.6,1126777
11/29/2018 1:19:00 PM,163.8,164,162.6,162.6,1760841
11/29/2018 1:18:00 PM,164.4,164.7,163.8,163.8,1019958
11/29/2018 1:17:00 PM,164.6,165.15,164.1,164.4,1180399
11/29/2018 1:16:00 PM,164.75,165.25,164.55,164.7,696350
11/29/2018 1:15:00 PM,164.65,165.15,164.5,164.75,810048
11/29/2018 1:14:00 PM,164.7,165.25,164.5,164.5,1159528
11/29/2018 1:13:00 PM,164.9,165.25,164.3,164.6,1471717
11/29/2018 1:12:00 PM,166.2,166.45,165.2,165.2,1443972
11/29/2018 1:11:00 PM,165.45,167,165.4,166.35,2069484
11/29/2018 1:10:00 PM,166,166.2,165.15,165.4,1649338
11/29/2018 1:09:00 PM,165.35,166.3,165.25,166,2354676
11/29/2018 1:08:00 PM,164.9,165.3,164.05,165.3,1932590
11/29/2018 1:07:00 PM,164.6,165.55,164.3,165,2661245
11/29/2018 1:06:00 PM,163.4,164.5,163.4,164.5,1648044
11/29/2018 1:05:00 PM,164.25,164.95,163.4,163.4,3032659
11/29/2018 1:04:00 PM,162.35,164.25,162.2,164.2,2301143
11/29/2018 1:03:00 PM,162.75,163.1,162.25,162.3,2100410
11/29/2018 1:02:00 PM,160.4,162.9,160.4,162.75,2951205
11/29/2018 1:01:00 PM,159.75,160.7,159.75,160.45,695049
11/29/2018 1:00:00 PM,160.5,160.7,159.4,159.9,927592
11/29/2018 12:59:00 PM,159.4,160.5,159.3,160.35,1180250
11/29/2018 12:58:00 PM,159,159.95,158.95,159.45,1098283
11/29/2018 12:57:00 PM,157.7,159,157.65,159,685632
11/29/2018 12:56:00 PM,158.7,158.7,157.2,157.7,1927553
11/29/2018 12:55:00 PM,159.55,159.55,158.6,158.6,911831
11/29/2018 12:54:00 PM,159.2,159.9,159.05,159.6,823304
11/29/2018 12:53:00 PM,159.5,159.7,159,159.3,1042789
11/29/2018 12:52:00 PM,160.95,160.95,159.55,159.55,1251848
11/29/2018 12:51:00 PM,160.35,161.3,160,160.95,1913900
11/29/2018 12:50:00 PM,158.95,160.3,158.95,160.25,1120635
11/29/2018 12:49:00 PM,159.05,159.25,158.7,159.05,1222811
11/29/2018 12:48:00 PM,160.55,160.7,158.6,159.05,2268752
