Date,ZINC18NOVFUT O,ZINC18NOVFUT H,ZINC18NOVFUT L,ZINC18NOVFUT C,ZINC18NOVFUT V
11/29/2018 11:54:00 PM,178.7,178.75,178.4,178.4,29
11/29/2018 11:53:00 PM,178.7,178.7,178.65,178.7,13
11/29/2018 11:52:00 PM,178.75,178.75,178.65,178.7,13
11/29/2018 11:51:00 PM,178.75,178.8,178.7,178.75,27
11/29/2018 11:50:00 PM,178.65,178.75,178.65,178.75,31
11/29/2018 11:49:00 PM,178.7,178.7,178.7,178.7,5
11/29/2018 11:48:00 PM,178.65,178.7,178.6,178.7,10
11/29/2018 11:47:00 PM,178.65,178.7,178.65,178.65,12
11/29/2018 11:46:00 PM,178.7,178.7,178.6,178.65,19
11/29/2018 11:45:00 PM,178.65,178.7,178.6,178.7,54
11/29/2018 11:44:00 PM,178.7,178.7,178.6,178.65,9
11/29/2018 11:43:00 PM,178.7,178.7,178.65,178.7,14
11/29/2018 11:42:00 PM,178.7,178.7,178.6,178.7,16
11/29/2018 11:41:00 PM,178.55,178.8,178.55,178.65,136
11/29/2018 11:40:00 PM,178.6,178.75,178.55,178.55,126
11/29/2018 11:39:00 PM,178.65,178.7,178.6,178.6,22
11/29/2018 11:38:00 PM,178.6,178.65,178.6,178.6,42
11/29/2018 11:37:00 PM,178.65,178.65,178.6,178.6,2
11/29/2018 11:36:00 PM,178.65,178.65,178.6,178.65,15
11/29/2018 11:35:00 PM,178.65,178.7,178.6,178.65,11
11/29/2018 11:34:00 PM,178.6,178.65,178.6,178.65,3
11/29/2018 11:33:00 PM,178.75,178.8,178.6,178.6,58
11/29/2018 11:32:00 PM,178.7,178.75,178.65,178.75,8
11/29/2018 11:31:00 PM,178.75,178.8,178.6,178.7,36
11/29/2018 11:30:00 PM,178.7,178.75,178.65,178.7,36
11/29/2018 11:29:00 PM,178.75,178.75,178.7,178.7,15
11/29/2018 11:28:00 PM,178.8,178.8,178.75,178.75,13
11/29/2018 11:27:00 PM,178.8,178.8,178.75,178.8,9
11/29/2018 11:26:00 PM,178.7,178.8,178.7,178.8,20
11/29/2018 11:25:00 PM,178.75,178.8,178.7,178.8,16
11/29/2018 11:24:00 PM,178.75,178.75,178.7,178.75,30
11/29/2018 11:23:00 PM,178.8,178.8,178.8,178.8,8
11/29/2018 11:22:00 PM,178.75,178.8,178.75,178.8,2
11/29/2018 11:21:00 PM,178.75,178.75,178.7,178.75,5
11/29/2018 11:20:00 PM,178.75,178.75,178.7,178.75,7
11/29/2018 11:19:00 PM,178.75,178.75,178.7,178.75,4
11/29/2018 11:18:00 PM,178.7,178.75,178.65,178.75,14
11/29/2018 11:17:00 PM,178.65,178.75,178.65,178.7,15
11/29/2018 11:16:00 PM,178.6,178.65,178.6,178.65,17
11/29/2018 11:15:00 PM,178.6,178.65,178.6,178.6,13
11/29/2018 11:14:00 PM,178.7,178.7,178.6,178.6,18
11/29/2018 11:13:00 PM,178.7,178.7,178.65,178.7,22
11/29/2018 11:12:00 PM,178.65,178.7,178.65,178.7,11
11/29/2018 11:11:00 PM,178.75,178.75,178.65,178.65,18
11/29/2018 11:10:00 PM,178.7,178.75,178.7,178.75,14
11/29/2018 11:09:00 PM,178.75,178.75,178.7,178.7,8
11/29/2018 11:08:00 PM,178.75,178.8,178.75,178.75,19
11/29/2018 11:07:00 PM,178.8,178.8,178.75,178.75,2
11/29/2018 11:06:00 PM,178.8,178.8,178.8,178.8,0
11/29/2018 11:05:00 PM,178.8,178.8,178.75,178.8,4
11/29/2018 11:04:00 PM,178.75,178.8,178.75,178.8,4
11/29/2018 11:03:00 PM,178.75,178.75,178.7,178.75,18
11/29/2018 11:02:00 PM,178.7,178.75,178.7,178.75,2
11/29/2018 11:01:00 PM,178.7,178.75,178.7,178.7,7
11/29/2018 11:00:00 PM,178.7,178.7,178.7,178.7,5
11/29/2018 10:59:00 PM,178.65,178.7,178.65,178.7,29
11/29/2018 10:58:00 PM,178.65,178.65,178.6,178.65,35
11/29/2018 10:57:00 PM,178.7,178.7,178.65,178.65,4
11/29/2018 10:56:00 PM,178.7,178.75,178.65,178.65,10
11/29/2018 10:55:00 PM,178.8,178.8,178.7,178.7,4
11/29/2018 10:54:00 PM,178.8,178.8,178.75,178.8,5
11/29/2018 10:53:00 PM,178.75,178.85,178.75,178.85,9
11/29/2018 10:52:00 PM,178.7,178.8,178.7,178.8,11
11/29/2018 10:51:00 PM,178.6,178.7,178.6,178.7,3
11/29/2018 10:50:00 PM,178.7,178.75,178.6,178.6,19
11/29/2018 10:49:00 PM,178.65,178.7,178.65,178.7,15
11/29/2018 10:48:00 PM,178.65,178.65,178.65,178.65,0
11/29/2018 10:47:00 PM,178.6,178.65,178.6,178.65,8
11/29/2018 10:46:00 PM,178.55,178.6,178.55,178.6,9
11/29/2018 10:45:00 PM,178.55,178.6,178.55,178.55,3
11/29/2018 10:44:00 PM,178.55,178.6,178.55,178.55,4
11/29/2018 10:43:00 PM,178.6,178.6,178.6,178.6,3
11/29/2018 10:42:00 PM,178.6,178.6,178.6,178.6,14
11/29/2018 10:41:00 PM,178.55,178.6,178.55,178.55,6
11/29/2018 10:40:00 PM,178.55,178.6,178.55,178.6,1
11/29/2018 10:39:00 PM,178.55,178.55,178.55,178.55,1
11/29/2018 10:38:00 PM,178.6,178.6,178.55,178.55,14
11/29/2018 10:37:00 PM,178.6,178.6,178.6,178.6,14
11/29/2018 10:36:00 PM,178.7,178.7,178.6,178.6,29
11/29/2018 10:35:00 PM,178.75,178.75,178.7,178.7,20
11/29/2018 10:34:00 PM,178.85,178.85,178.75,178.75,25
11/29/2018 10:33:00 PM,178.75,178.85,178.75,178.85,2
11/29/2018 10:32:00 PM,178.8,178.8,178.75,178.75,2
11/29/2018 10:31:00 PM,178.75,178.8,178.75,178.8,10
11/29/2018 10:30:00 PM,178.9,178.9,178.75,178.75,12
11/29/2018 10:29:00 PM,178.85,178.9,178.85,178.9,15
11/29/2018 10:28:00 PM,178.7,178.85,178.7,178.85,8
11/29/2018 10:27:00 PM,178.75,178.75,178.7,178.7,1
11/29/2018 10:26:00 PM,178.65,178.75,178.65,178.75,1
11/29/2018 10:25:00 PM,178.8,178.8,178.6,178.65,17
11/29/2018 10:24:00 PM,178.75,178.8,178.75,178.8,24
11/29/2018 10:23:00 PM,178.75,178.8,178.75,178.75,34
11/29/2018 10:22:00 PM,178.75,178.75,178.75,178.75,2
11/29/2018 10:21:00 PM,178.75,178.75,178.7,178.75,3
11/29/2018 10:20:00 PM,178.8,178.8,178.75,178.75,4
11/29/2018 10:19:00 PM,178.7,178.8,178.7,178.8,4
11/29/2018 10:18:00 PM,178.85,178.85,178.7,178.7,29
11/29/2018 10:17:00 PM,178.8,178.85,178.8,178.85,2
11/29/2018 10:16:00 PM,178.9,178.9,178.8,178.8,13
11/29/2018 10:15:00 PM,178.9,178.9,178.9,178.9,8
11/29/2018 10:14:00 PM,178.85,178.95,178.85,178.9,4
11/29/2018 10:13:00 PM,178.9,179,178.85,178.85,39
11/29/2018 10:12:00 PM,178.85,178.9,178.8,178.9,4
11/29/2018 10:11:00 PM,178.85,178.9,178.75,178.85,31
11/29/2018 10:10:00 PM,178.65,178.9,178.65,178.85,67
11/29/2018 10:09:00 PM,178.7,178.75,178.65,178.75,6
11/29/2018 10:08:00 PM,178.65,178.8,178.65,178.7,12
11/29/2018 10:07:00 PM,178.7,178.7,178.6,178.65,17
11/29/2018 10:06:00 PM,178.6,178.7,178.6,178.6,9
