Date,BANKNIFTY18NOV26400CE O,BANKNIFTY18NOV26400CE H,BANKNIFTY18NOV26400CE L,BANKNIFTY18NOV26400CE C,BANKNIFTY18NOV26400CE V
11/29/2018 3:29:00 PM,540.95,540.95,539.25,540.9,7660
11/29/2018 3:28:00 PM,538.9,542,538.9,540,11440
11/29/2018 3:27:00 PM,537.9,538.9,537,538.9,9500
11/29/2018 3:26:00 PM,539.1,539.1,535.25,537.85,7660
11/29/2018 3:25:00 PM,535.05,539.1,535.05,539.1,4160
11/29/2018 3:24:00 PM,537.85,537.95,534.05,535.05,2760
11/29/2018 3:23:00 PM,531.65,537.85,527,537.85,3440
11/29/2018 3:22:00 PM,526,531.65,526,531.65,2380
11/29/2018 3:21:00 PM,526,529,521.3,526,4360
11/29/2018 3:20:00 PM,526.7,526.7,523,525,520
11/29/2018 3:19:00 PM,519,526.95,519,526.7,3400
11/29/2018 3:18:00 PM,511,519,511,519,660
11/29/2018 3:17:00 PM,511.95,514,511,511,380
11/29/2018 3:16:00 PM,507.1,514.7,507.1,511.95,1380
11/29/2018 3:15:00 PM,507,519.85,507,507.1,700
11/29/2018 3:14:00 PM,504,507,504,507,480
11/29/2018 3:13:00 PM,496.8,505,496.8,504,660
11/29/2018 3:12:00 PM,493.9,504.65,493.9,496.8,600
11/29/2018 3:11:00 PM,502,503.55,492.8,493.9,1040
11/29/2018 3:10:00 PM,500,502,500,502,320
11/29/2018 3:09:00 PM,485,500.05,485,500,1140
11/29/2018 3:08:00 PM,484.6,485,475,485,440
11/29/2018 3:07:00 PM,495.05,495.05,484.6,484.6,520
11/29/2018 3:06:00 PM,502,505.2,493.25,495.05,260
11/29/2018 3:05:00 PM,507.6,507.85,502,502,600
11/29/2018 3:04:00 PM,510.2,519,507.6,507.6,2400
11/29/2018 3:03:00 PM,521.25,521.25,510.1,510.2,1240
11/29/2018 3:02:00 PM,535,535,521.25,521.25,1280
11/29/2018 3:01:00 PM,535.55,535.55,530,535,220
11/29/2018 3:00:00 PM,555.65,555.65,530,535.55,720
11/29/2018 2:59:00 PM,525,555.65,525,555.65,380
11/29/2018 2:58:00 PM,537.9,537.9,525,525,380
11/29/2018 2:57:00 PM,528,537.9,528,537.9,160
11/29/2018 2:56:00 PM,522.05,528.25,521.45,528,300
11/29/2018 2:55:00 PM,529.95,531,515.6,515.6,780
11/29/2018 2:54:00 PM,529.95,529.95,529.95,529.95,0
11/29/2018 2:53:00 PM,530,535.1,529.95,529.95,1700
11/29/2018 2:52:00 PM,530,535.1,521.2,530,1100
11/29/2018 2:51:00 PM,504,535.95,504,530,3520
11/29/2018 2:50:00 PM,499.35,510,499.35,504,60
11/29/2018 2:49:00 PM,505,512.9,499.35,499.35,1580
11/29/2018 2:48:00 PM,498.95,502,495.95,502,540
11/29/2018 2:47:00 PM,493.35,498.95,492,498.95,60
11/29/2018 2:46:00 PM,508.45,513.95,490.05,493.35,1820
11/29/2018 2:45:00 PM,504.75,513.9,503.1,508.45,4220
11/29/2018 2:44:00 PM,490,512.6,487.45,504.75,6400
11/29/2018 2:43:00 PM,502.05,502.05,490,490,660
11/29/2018 2:42:00 PM,505.45,507,494.45,500,2000
11/29/2018 2:41:00 PM,518,523,508.85,508.85,1200
11/29/2018 2:40:00 PM,508,518,505.85,518,10640
11/29/2018 2:39:00 PM,518,520,505.1,508,3980
11/29/2018 2:38:00 PM,533.1,540,520,522.25,1180
11/29/2018 2:37:00 PM,507.95,529.05,507.95,529.05,800
11/29/2018 2:36:00 PM,499.5,507.95,499.5,507.95,1940
11/29/2018 2:35:00 PM,486.5,497.05,480.3,495.7,360
11/29/2018 2:34:00 PM,534.05,534.15,482.85,488.8,5440
11/29/2018 2:33:00 PM,545,545.05,534.05,534.05,2840
11/29/2018 2:32:00 PM,540.8,545,540.8,545,260
11/29/2018 2:31:00 PM,545.05,545.35,540.05,540.8,1200
11/29/2018 2:30:00 PM,550.45,554,545.05,545.05,1660
11/29/2018 2:29:00 PM,533.6,550.45,530,550.45,400
11/29/2018 2:28:00 PM,532.2,533.6,528.65,533.6,300
11/29/2018 2:27:00 PM,525,526.3,520,526.3,260
11/29/2018 2:26:00 PM,526.6,535.35,520,525,360
11/29/2018 2:25:00 PM,539.55,539.55,516.35,526.6,780
11/29/2018 2:24:00 PM,552.6,555.55,539.55,539.55,900
11/29/2018 2:23:00 PM,546.75,561.55,546.75,552,1800
11/29/2018 2:22:00 PM,558.9,560.5,546,546.75,940
11/29/2018 2:21:00 PM,567.5,568.25,558.9,558.9,1240
11/29/2018 2:20:00 PM,569,569.05,549.7,561.25,1700
11/29/2018 2:19:00 PM,569.45,577.15,561.45,569,1280
11/29/2018 2:18:00 PM,598.55,601.6,571.4,572.6,2200
11/29/2018 2:17:00 PM,568.35,596.35,561,596.35,2260
11/29/2018 2:16:00 PM,543.2,574.75,543.2,568.35,5800
11/29/2018 2:15:00 PM,545.15,545.15,527.15,543.2,2520
11/29/2018 2:14:00 PM,543.25,547.15,535,542.75,800
11/29/2018 2:13:00 PM,520.95,542.95,520.1,542.7,2420
11/29/2018 2:12:00 PM,502.6,524.65,500,523.55,2020
11/29/2018 2:11:00 PM,484.2,502.6,484.2,502.6,2040
11/29/2018 2:10:00 PM,464,482.55,464,482.55,1180
11/29/2018 2:09:00 PM,455.3,462.15,453.05,462.15,1020
11/29/2018 2:08:00 PM,453.65,459.75,452.3,455.3,1100
11/29/2018 2:07:00 PM,466.1,466.1,450,452.3,1180
11/29/2018 2:06:00 PM,460.7,467.85,460,467.6,640
11/29/2018 2:05:00 PM,466.5,472.45,462,462,2440
11/29/2018 2:04:00 PM,468.8,476.85,462,466.5,2160
11/29/2018 2:03:00 PM,442,480.85,440.3,473.55,4160
11/29/2018 2:02:00 PM,448.95,448.95,438.45,442,640
11/29/2018 2:01:00 PM,420,450,420,450,4720
11/29/2018 2:00:00 PM,404,416.4,403.95,416.4,620
11/29/2018 1:59:00 PM,404,411.5,404,404,720
11/29/2018 1:58:00 PM,396.7,408,396.7,404,340
