Date,BANKNIFTY18NOV27000PE O,BANKNIFTY18NOV27000PE H,BANKNIFTY18NOV27000PE L,BANKNIFTY18NOV27000PE C,BANKNIFTY18NOV27000PE V
11/29/2018 3:29:00 PM,56,59.8,52,52,24000
11/29/2018 3:28:00 PM,51.75,57,50.2,55.45,25040
11/29/2018 3:27:00 PM,50,57,48.9,54,34220
11/29/2018 3:26:00 PM,53.1,57,51.15,52.25,42500
11/29/2018 3:25:00 PM,58,58,52,53,52840
11/29/2018 3:24:00 PM,62,62,55.5,58.9,52100
11/29/2018 3:23:00 PM,68.95,69,60.1,62.8,32540
11/29/2018 3:22:00 PM,64.4,70.95,63.7,68.95,67380
11/29/2018 3:21:00 PM,66.2,68.85,63.3,65,31860
11/29/2018 3:20:00 PM,63.2,68.25,63.2,66.6,43300
11/29/2018 3:19:00 PM,68.2,69.35,58.55,63.55,78060
11/29/2018 3:18:00 PM,72.95,72.95,67.45,69.1,82800
11/29/2018 3:17:00 PM,77.55,78.35,71.25,71.6,49740
11/29/2018 3:16:00 PM,73.7,77.05,73.45,77,45260
11/29/2018 3:15:00 PM,69.4,74.55,65.9,73.15,63300
11/29/2018 3:14:00 PM,79.25,79.25,68.8,69,76260
11/29/2018 3:13:00 PM,82.9,85.15,77.35,79.6,79540
11/29/2018 3:12:00 PM,84.35,85.45,80,83.65,48660
11/29/2018 3:11:00 PM,85.85,88.8,83.05,84.25,50280
11/29/2018 3:10:00 PM,83.15,89.5,81.85,85.2,55520
11/29/2018 3:09:00 PM,94.05,94.15,82,83,80820
11/29/2018 3:08:00 PM,103.2,103.2,91.65,95.45,89300
11/29/2018 3:07:00 PM,83.2,101.65,80.25,101.65,151540
11/29/2018 3:06:00 PM,70.45,84.3,69.25,83.05,127700
11/29/2018 3:05:00 PM,65.65,77.45,65.65,69.5,140800
11/29/2018 3:04:00 PM,71,71,59.25,66.1,136700
11/29/2018 3:03:00 PM,61.15,71.85,60.9,71.25,195560
11/29/2018 3:02:00 PM,48.1,61.7,44.6,61.7,168300
11/29/2018 3:01:00 PM,46.8,55.8,39.7,46.3,157580
11/29/2018 3:00:00 PM,40,57,40,46.65,158560
11/29/2018 2:59:00 PM,56.7,57.05,37.65,39.4,106320
11/29/2018 2:58:00 PM,51.5,60.6,50.15,57.4,69000
11/29/2018 2:57:00 PM,53.7,54,47.15,51.5,75500
11/29/2018 2:56:00 PM,60.7,64.35,54.55,54.55,50060
11/29/2018 2:55:00 PM,56.4,69,55,62.05,66080
11/29/2018 2:54:00 PM,58,58.05,53.55,56.35,47460
11/29/2018 2:53:00 PM,50.6,59.8,49.05,55.3,60600
11/29/2018 2:52:00 PM,60.3,62.5,51.35,51.35,102320
11/29/2018 2:51:00 PM,71.7,71.7,50.4,58.25,150000
11/29/2018 2:50:00 PM,79.05,79.9,71.3,73.75,28380
11/29/2018 2:49:00 PM,73.05,82.1,71,79.2,30620
