Date,BANKNIFTY18NOVFUT O,BANKNIFTY18NOVFUT H,BANKNIFTY18NOVFUT L,BANKNIFTY18NOVFUT C,BANKNIFTY18NOVFUT V
11/29/2018 3:29:00 PM,26939,26941.85,26938.2,26940,27000
11/29/2018 3:28:00 PM,26938.35,26942.6,26937.9,26941.8,26540
11/29/2018 3:27:00 PM,26937.85,26939.9,26934.35,26938.1,33940
11/29/2018 3:26:00 PM,26936,26938,26935.05,26937.45,22760
11/29/2018 3:25:00 PM,26934.9,26938,26934.05,26937.4,17720
11/29/2018 3:24:00 PM,26934.65,26936,26933,26934.1,98640
11/29/2018 3:23:00 PM,26931.95,26935,26928.1,26934.65,24520
11/29/2018 3:22:00 PM,26929.6,26932.5,26928.2,26928.2,20520
11/29/2018 3:21:00 PM,26925.05,26930,26925.05,26930,13960
11/29/2018 3:20:00 PM,26925,26929,26923.1,26925.05,25020
11/29/2018 3:19:00 PM,26918.15,26929.9,26918,26925.15,29400
11/29/2018 3:18:00 PM,26913.75,26919,26913.75,26917,34580
11/29/2018 3:17:00 PM,26909.95,26915,26909.25,26913.7,17220
11/29/2018 3:16:00 PM,26914.9,26914.9,26908,26908.6,17680
11/29/2018 3:15:00 PM,26915.35,26918.25,26912,26914.9,27160
11/29/2018 3:14:00 PM,26907.05,26916.85,26907.05,26916.85,20620
11/29/2018 3:13:00 PM,26904.5,26909.9,26903,26909.15,18560
11/29/2018 3:12:00 PM,26901.55,26906.7,26900,26902.9,15640
11/29/2018 3:11:00 PM,26899.95,26903,26895.1,26897.35,12100
11/29/2018 3:10:00 PM,26900.65,26905.6,26895.75,26899.8,15620
11/29/2018 3:09:00 PM,26894.8,26905.1,26888.8,26901.05,13360
11/29/2018 3:08:00 PM,26886.2,26892.9,26884.45,26892.45,17740
11/29/2018 3:07:00 PM,26904.05,26905.05,26885.6,26885.6,22880
11/29/2018 3:06:00 PM,26917.9,26917.9,26901,26903.6,14900
11/29/2018 3:05:00 PM,26920.05,26920.05,26905.9,26917.9,17260
11/29/2018 3:04:00 PM,26917,26926.1,26915.05,26920.05,10760
11/29/2018 3:03:00 PM,26929.55,26929.55,26915.7,26918.9,18160
11/29/2018 3:02:00 PM,26945,26947,26925.95,26929.55,15140
11/29/2018 3:01:00 PM,26943,26950.05,26935,26945,13600
11/29/2018 3:00:00 PM,26959.95,26959.95,26933.75,26943,14900
11/29/2018 2:59:00 PM,26935.3,26959.95,26935.3,26959.95,18700
11/29/2018 2:58:00 PM,26945.4,26945.4,26932.9,26935.3,7700
11/29/2018 2:57:00 PM,26937.5,26948,26937.5,26944.95,12360
11/29/2018 2:56:00 PM,26929.2,26938.75,26929.2,26937.35,7340
11/29/2018 2:55:00 PM,26939.4,26939.4,26922.15,26931.45,11580
11/29/2018 2:54:00 PM,26937.6,26941.35,26932.5,26937.5,6480
11/29/2018 2:53:00 PM,26945.8,26947,26931.05,26944.05,10260
11/29/2018 2:52:00 PM,26938.9,26945.8,26930.45,26945.8,6580
11/29/2018 2:51:00 PM,26919.95,26949.6,26919.95,26940.9,53360
11/29/2018 2:50:00 PM,26908.05,26920,26908.05,26918.15,2280
11/29/2018 2:49:00 PM,26915.1,26920,26907.9,26908.05,6940
11/29/2018 2:48:00 PM,26905.05,26915.1,26900,26915,3920
11/29/2018 2:47:00 PM,26902.8,26909.95,26898.55,26905.05,4460
11/29/2018 2:46:00 PM,26919.75,26924.95,26897.95,26910,11160
11/29/2018 2:45:00 PM,26906.55,26926.3,26906.55,26918.95,6540
11/29/2018 2:44:00 PM,26897.1,26913.85,26893,26908.45,6240
11/29/2018 2:43:00 PM,26902.4,26912.75,26893.75,26893.75,6520
11/29/2018 2:42:00 PM,26914.95,26914.95,26900,26902.4,8280
11/29/2018 2:41:00 PM,26924.95,26927.65,26914.85,26914.95,6820
11/29/2018 2:40:00 PM,26906.55,26925.95,26905.95,26924.95,9020
11/29/2018 2:39:00 PM,26920.6,26923.85,26902,26905.8,7720
11/29/2018 2:38:00 PM,26936.65,26939.35,26921.55,26923.55,6060
11/29/2018 2:37:00 PM,26912.3,26935,26912.2,26935,9900
11/29/2018 2:36:00 PM,26900,26914.6,26896.05,26910.3,15580
11/29/2018 2:35:00 PM,26892.65,26901,26886.25,26900,14920
11/29/2018 2:34:00 PM,26938.6,26938.65,26888.85,26890.85,45040
11/29/2018 2:33:00 PM,26945.1,26948.35,26936.3,26939.6,11020
11/29/2018 2:32:00 PM,26946.1,26955.2,26945.05,26945.9,9400
11/29/2018 2:31:00 PM,26950,26954.15,26940.85,26947,9300
11/29/2018 2:30:00 PM,26955,26960.9,26950.15,26953.9,13440
11/29/2018 2:29:00 PM,26936,26959.05,26936,26959.05,10880
11/29/2018 2:28:00 PM,26935.2,26942.25,26929.05,26941,8020
11/29/2018 2:27:00 PM,26928.1,26939.7,26923.65,26935.05,11420
11/29/2018 2:26:00 PM,26935.85,26944.9,26925.05,26926.6,18580
11/29/2018 2:25:00 PM,26941.1,26945.9,26918.45,26935.3,31940
11/29/2018 2:24:00 PM,26958.75,26962.95,26944.8,26944.8,14360
11/29/2018 2:23:00 PM,26952.2,26966.9,26952.2,26960.5,17300
11/29/2018 2:22:00 PM,26962.75,26966.25,26950.25,26952.9,26480
11/29/2018 2:21:00 PM,26967.4,26973.75,26961.7,26963.05,19200
11/29/2018 2:20:00 PM,26974.05,26975,26956.05,26967,32880
11/29/2018 2:19:00 PM,26977,26984,26972.65,26974.1,22620
11/29/2018 2:18:00 PM,27004.9,27004.9,26981,26981,29860
11/29/2018 2:17:00 PM,26973.55,27003.4,26970.15,27003.4,43440
11/29/2018 2:16:00 PM,26954.85,26979.55,26954.85,26970.15,36540
11/29/2018 2:15:00 PM,26952,26954.95,26937.95,26950.25,29660
11/29/2018 2:14:00 PM,26957.75,26957.75,26940,26952,24120
11/29/2018 2:13:00 PM,26931.45,26957.7,26930,26957.7,30480
11/29/2018 2:12:00 PM,26909.1,26939.1,26907.35,26931.6,48840
11/29/2018 2:11:00 PM,26893.9,26912.8,26890.95,26912.8,38880
11/29/2018 2:10:00 PM,26872.55,26894,26871.15,26894,25880
11/29/2018 2:09:00 PM,26865,26873.75,26862.35,26871.45,12300
11/29/2018 2:08:00 PM,26868,26869.8,26863,26865.2,20780
11/29/2018 2:07:00 PM,26873.25,26874.95,26858.45,26861.35,11660
11/29/2018 2:06:00 PM,26873,26881.55,26871,26875,8600
11/29/2018 2:05:00 PM,26877.9,26886.95,26872,26874,16980
11/29/2018 2:04:00 PM,26883,26887.95,26874.1,26875.1,20860
11/29/2018 2:03:00 PM,26855.6,26894.95,26853.8,26879.6,42200
11/29/2018 2:02:00 PM,26859.15,26859.95,26849.55,26853.7,12060
11/29/2018 2:01:00 PM,26836.85,26860,26833,26859.25,41620
11/29/2018 2:00:00 PM,26816.1,26828.1,26816.1,26828.1,7280
11/29/2018 1:59:00 PM,26819.95,26822.9,26816,26816.1,6920
11/29/2018 1:58:00 PM,26822.35,26823.5,26811.7,26819.95,4900
11/29/2018 1:57:00 PM,26808.8,26821.05,26808,26819.15,6900
11/29/2018 1:56:00 PM,26797.6,26810,26795.75,26805.05,9120
11/29/2018 1:55:00 PM,26812.25,26815,26795,26797.6,6240
11/29/2018 1:54:00 PM,26823.75,26825,26812.25,26812.25,6240
11/29/2018 1:53:00 PM,26817.75,26823.5,26812.1,26823.5,4560
11/29/2018 1:52:00 PM,26819,26819,26811,26817.75,5100
11/29/2018 1:51:00 PM,26819.9,26820.05,26812.5,26818.95,5200
11/29/2018 1:50:00 PM,26828,26831.2,26821.1,26823.25,11080
11/29/2018 1:49:00 PM,26794.35,26829.05,26794.35,26829.05,16340
11/29/2018 1:48:00 PM,26798.9,26801.65,26794.35,26794.35,10580
11/29/2018 1:47:00 PM,26804,26805.75,26795.45,26798.9,7140
11/29/2018 1:46:00 PM,26788,26801.95,26788,26800,12820
11/29/2018 1:45:00 PM,26770.85,26787.9,26770.85,26787.9,13300
11/29/2018 1:44:00 PM,26758.35,26776.55,26758.35,26770.85,4100
11/29/2018 1:43:00 PM,26755.65,26762.7,26751.35,26758.35,5140
11/29/2018 1:42:00 PM,26760.1,26767.9,26755.1,26755.65,7180
11/29/2018 1:41:00 PM,26760.95,26764,26757.95,26760.95,2980
11/29/2018 1:40:00 PM,26758.15,26767.35,26755,26762.65,7920
11/29/2018 1:39:00 PM,26753.9,26766.95,26753.9,26759.95,5160
11/29/2018 1:38:00 PM,26772,26772,26739,26755.1,21240
11/29/2018 1:37:00 PM,26771.55,26781.7,26769.05,26772,4860
11/29/2018 1:36:00 PM,26782.95,26784.4,26770,26773.85,10740
11/29/2018 1:35:00 PM,26780.1,26788.95,26776.95,26788.55,3520
11/29/2018 1:34:00 PM,26776,26786.45,26775,26780.1,6620
11/29/2018 1:33:00 PM,26781.85,26787.95,26775.65,26776,8620
11/29/2018 1:32:00 PM,26778.4,26787.25,26777,26779.05,6920
11/29/2018 1:31:00 PM,26787.95,26789,26775.55,26778.4,5360
11/29/2018 1:30:00 PM,26775,26787.55,26773.3,26785,5840
11/29/2018 1:29:00 PM,26783.85,26785.6,26775.05,26776.3,3860
11/29/2018 1:28:00 PM,26785.45,26791.75,26780.1,26783.85,6640
11/29/2018 1:27:00 PM,26783.9,26788.9,26778.05,26785.45,8420
11/29/2018 1:26:00 PM,26783.95,26786.95,26777.5,26783.9,8680
11/29/2018 1:25:00 PM,26793,26793.55,26783,26784.9,6620
11/29/2018 1:24:00 PM,26796.4,26804,26788.55,26789.85,15400
11/29/2018 1:23:00 PM,26787.85,26796.6,26782.85,26793.55,11160
11/29/2018 1:22:00 PM,26789.85,26789.95,26784.35,26787.85,4360
11/29/2018 1:21:00 PM,26788.1,26792,26784.85,26789.9,8360
11/29/2018 1:20:00 PM,26776.95,26789.05,26775.45,26788.1,10560
11/29/2018 1:19:00 PM,26777.75,26784,26772.55,26776.95,6300
11/29/2018 1:18:00 PM,26785,26787.05,26775.55,26779.3,8700
11/29/2018 1:17:00 PM,26794.95,26797.15,26784.55,26786,7720
11/29/2018 1:16:00 PM,26792.8,26801.3,26791,26794.95,11540
11/29/2018 1:15:00 PM,26785.2,26793,26782.85,26792.8,17920
11/29/2018 1:14:00 PM,26802.95,26809.45,26785,26785.1,31500
11/29/2018 1:13:00 PM,26764.5,26796.1,26764,26796.1,43900
11/29/2018 1:12:00 PM,26765,26766.95,26755.95,26759.7,5640
11/29/2018 1:11:00 PM,26754.25,26767.75,26750.05,26767.65,10380
11/29/2018 1:10:00 PM,26738.8,26762,26738.5,26754.25,30860
11/29/2018 1:09:00 PM,26737.05,26745,26735.15,26742,15740
11/29/2018 1:08:00 PM,26723.95,26730.05,26718,26730.05,3420
11/29/2018 1:07:00 PM,26716.15,26725.15,26715.9,26723.95,3140
11/29/2018 1:06:00 PM,26714.95,26719.95,26714.05,26715.8,2940
11/29/2018 1:05:00 PM,26723.1,26723.4,26714.9,26714.95,1780
11/29/2018 1:04:00 PM,26720,26728,26720,26723.1,3820
11/29/2018 1:03:00 PM,26720,26723,26715.25,26723,1880
11/29/2018 1:02:00 PM,26719.75,26723.1,26717,26720,7300
11/29/2018 1:01:00 PM,26715.1,26723.1,26715,26719.75,5440
11/29/2018 1:00:00 PM,26722.65,26727,26715.1,26715.1,3780
11/29/2018 12:59:00 PM,26727.6,26733.95,26720.55,26722.65,10420
11/29/2018 12:58:00 PM,26701.55,26730.1,26701.1,26727.7,26840
11/29/2018 12:57:00 PM,26701,26704,26699.6,26703.7,2960
11/29/2018 12:56:00 PM,26704,26708.5,26697.95,26701.95,9420
11/29/2018 12:55:00 PM,26713.9,26714.8,26700.8,26705.85,4660
11/29/2018 12:54:00 PM,26706.15,26719.85,26706.1,26718.4,7760
11/29/2018 12:53:00 PM,26707.95,26709,26702,26706.15,3920
11/29/2018 12:52:00 PM,26712,26715,26707,26710,4580
11/29/2018 12:51:00 PM,26706.95,26712,26705.05,26712,3460
11/29/2018 12:50:00 PM,26696.9,26707.5,26696.9,26705.2,6140
11/29/2018 12:49:00 PM,26696.95,26698.45,26691.95,26696.95,8280
11/29/2018 12:48:00 PM,26704.15,26708.95,26693,26698,6580
11/29/2018 12:47:00 PM,26714.75,26714.75,26704.95,26707,8020
11/29/2018 12:46:00 PM,26710,26720,26708.15,26714.75,20420
11/29/2018 12:45:00 PM,26698.45,26710,26697,26708.1,13440
11/29/2018 12:44:00 PM,26699.1,26703.35,26695,26696,10640
11/29/2018 12:43:00 PM,26684.8,26710,26682.2,26697,69480
11/29/2018 12:42:00 PM,26667.05,26688.2,26667.05,26684.5,44140
11/29/2018 12:41:00 PM,26668.55,26674.95,26664.7,26667.05,11520
11/29/2018 12:40:00 PM,26660.95,26669,26660.95,26668.55,5560
11/29/2018 12:39:00 PM,26655,26660,26652.95,26657.55,2760
11/29/2018 12:38:00 PM,26650,26655.9,26650,26653,3160
11/29/2018 12:37:00 PM,26646.1,26653,26645,26650,3600
11/29/2018 12:36:00 PM,26641.5,26650.7,26638,26646.1,4360
11/29/2018 12:35:00 PM,26639.05,26642.65,26634,26642.65,4500
11/29/2018 12:34:00 PM,26634.3,26645,26632.75,26638.55,5620
