Date,NIFTY18NOV10800CE O,NIFTY18NOV10800CE H,NIFTY18NOV10800CE L,NIFTY18NOV10800CE C,NIFTY18NOV10800CE V
11/29/2018 3:29:00 PM,55.5,56.75,54,54.1,117000
11/29/2018 3:28:00 PM,54.25,55.9,54.1,55.9,60750
11/29/2018 3:27:00 PM,54.8,55.4,53.65,54.6,67200
11/29/2018 3:26:00 PM,54.3,55.2,53.4,54.8,27675
11/29/2018 3:25:00 PM,53.8,56.6,53.75,54.3,88875
11/29/2018 3:24:00 PM,54.1,55,53.6,53.8,39675
11/29/2018 3:23:00 PM,55.05,55.6,53.95,54.25,69525
11/29/2018 3:22:00 PM,54.4,56,53.7,54.35,54750
11/29/2018 3:21:00 PM,53.4,55,52.4,54.8,84000
11/29/2018 3:20:00 PM,50.95,53.6,50.95,53.55,77475
11/29/2018 3:19:00 PM,50.35,51,50,50.5,84075
11/29/2018 3:18:00 PM,46.65,50.65,46.5,50.65,89475
11/29/2018 3:17:00 PM,46.1,47.35,46,46.95,62325
11/29/2018 3:16:00 PM,44.8,46.35,44.5,45.85,82800
11/29/2018 3:15:00 PM,46.2,46.8,44,44.2,138525
11/29/2018 3:14:00 PM,44.5,46.85,44.5,46.25,96075
11/29/2018 3:13:00 PM,44.5,45.25,43.85,44.85,59325
11/29/2018 3:12:00 PM,44.7,45.55,43.2,44.5,66675
11/29/2018 3:11:00 PM,42.75,45.55,42.75,44.5,66525
11/29/2018 3:10:00 PM,44.65,45.6,41.9,42.75,83775
11/29/2018 3:09:00 PM,39.65,44.35,39.65,44.25,110625
11/29/2018 3:08:00 PM,42.35,43.35,39,39.35,142950
11/29/2018 3:07:00 PM,47.4,48.3,41.25,41.25,187725
11/29/2018 3:06:00 PM,49.6,50.4,47.35,47.85,75900
11/29/2018 3:05:00 PM,50.95,51.6,47.1,49.5,111825
11/29/2018 3:04:00 PM,50,52.1,49.1,50.9,108300
11/29/2018 3:03:00 PM,47.4,50.75,46.25,49.95,127575
11/29/2018 3:02:00 PM,51.5,52,46.7,47.2,171825
11/29/2018 3:01:00 PM,53.3,54.65,49.8,52.35,219075
11/29/2018 3:00:00 PM,72.65,72.65,54.05,54.05,300975
11/29/2018 2:59:00 PM,66.45,72,65,72,109650
11/29/2018 2:58:00 PM,67,67,65.4,65.95,62700
11/29/2018 2:57:00 PM,66,69.1,65.2,66.8,123900
11/29/2018 2:56:00 PM,65.95,65.95,64.15,65.5,39525
11/29/2018 2:55:00 PM,66.25,67,63,66.15,49725
11/29/2018 2:54:00 PM,64,67,63.5,66.35,42750
11/29/2018 2:53:00 PM,64.15,64.6,62.3,64.2,33225
11/29/2018 2:52:00 PM,67.25,67.8,61.6,63.2,100125
11/29/2018 2:51:00 PM,61.9,68,61.6,67.25,146850
11/29/2018 2:50:00 PM,59.4,61.9,59.3,61.5,51375
11/29/2018 2:49:00 PM,60.75,61.75,58.7,60.35,75000
11/29/2018 2:48:00 PM,59.35,60,56.85,60,53475
11/29/2018 2:47:00 PM,58.2,60.75,57.8,59.45,81900
11/29/2018 2:46:00 PM,60.65,61.6,57.95,59.15,78300
11/29/2018 2:45:00 PM,62,64.7,60.8,60.8,90450
11/29/2018 2:44:00 PM,57.9,62.2,57.55,61.95,78000
11/29/2018 2:43:00 PM,60.5,62,57.75,57.95,82800
11/29/2018 2:42:00 PM,60.3,61.9,59.7,60.5,73275
11/29/2018 2:41:00 PM,61.6,63.85,60.6,60.75,42600
11/29/2018 2:40:00 PM,63.45,64.75,61.35,62.05,33600
11/29/2018 2:39:00 PM,61.55,63.6,59.8,63.6,67650
11/29/2018 2:38:00 PM,64.2,64.65,61.4,61.85,60075
11/29/2018 2:37:00 PM,62.85,64.4,60.8,64,36600
11/29/2018 2:36:00 PM,60.8,64.2,60,63.7,57825
11/29/2018 2:35:00 PM,58.05,61.65,56.45,60.45,83925
11/29/2018 2:34:00 PM,64.1,64.55,58.45,58.7,107100
11/29/2018 2:33:00 PM,65,67.15,63.95,64.3,59925
11/29/2018 2:32:00 PM,67.2,67.7,64.85,65,47775
11/29/2018 2:31:00 PM,63.55,66.5,63.05,66.5,62550
11/29/2018 2:30:00 PM,67.5,68.3,64.45,64.65,46125
11/29/2018 2:29:00 PM,64.2,68.5,63.45,67.8,87000
11/29/2018 2:28:00 PM,63.7,64.95,62,64.2,76125
11/29/2018 2:27:00 PM,61,65,59.8,63.55,101100
11/29/2018 2:26:00 PM,66.45,67.2,60.25,61,102900
11/29/2018 2:25:00 PM,68.05,68.5,64.3,66.45,101100
11/29/2018 2:24:00 PM,71.5,72.25,68,68.05,54450
11/29/2018 2:23:00 PM,67.6,71.75,67.3,71.75,69675
11/29/2018 2:22:00 PM,69.25,70.5,66.55,66.65,81600
11/29/2018 2:21:00 PM,76.5,76.6,68.5,69.05,87300
11/29/2018 2:20:00 PM,70.5,76.7,69,76.5,121800
11/29/2018 2:19:00 PM,67.2,72,66.9,69.95,104700
11/29/2018 2:18:00 PM,72.1,72.55,67.3,67.65,108450
11/29/2018 2:17:00 PM,72,72.75,69.75,71,97425
11/29/2018 2:16:00 PM,67.25,73.15,67.25,72.5,128775
11/29/2018 2:15:00 PM,71.6,71.6,66.65,67.4,193575
11/29/2018 2:14:00 PM,76.35,76.35,71.45,71.75,212475
11/29/2018 2:13:00 PM,65.8,76.45,64.9,75.5,339750
11/29/2018 2:12:00 PM,58.55,66.85,57.8,66.85,197625
11/29/2018 2:11:00 PM,57.65,59.2,57.65,58.9,94875
11/29/2018 2:10:00 PM,56.25,58.3,55.3,57.1,160575
11/29/2018 2:09:00 PM,54.55,56.2,52.95,56.2,134625
11/29/2018 2:08:00 PM,52.2,54.55,51.45,54.55,89100
11/29/2018 2:07:00 PM,55.65,56.45,51.75,51.75,135075
11/29/2018 2:06:00 PM,55.5,57.5,55.5,55.5,148575
