Date,NIFTY18NOVFUT O,NIFTY18NOVFUT H,NIFTY18NOVFUT L,NIFTY18NOVFUT C,NIFTY18NOVFUT V
11/29/2018 3:29:00 PM,10860.2,10860.35,10857.5,10859.05,158925
11/29/2018 3:28:00 PM,10858.05,10860.2,10857.8,10859,95100
11/29/2018 3:27:00 PM,10857.35,10859.5,10857.15,10859.5,74850
11/29/2018 3:26:00 PM,10858.4,10858.95,10857.3,10857.9,60600
11/29/2018 3:25:00 PM,10858,10859.45,10857.65,10858.3,35700
11/29/2018 3:24:00 PM,10857.5,10859.5,10857.5,10858,45000
11/29/2018 3:23:00 PM,10858,10859.9,10857.2,10857.5,65100
11/29/2018 3:22:00 PM,10857.25,10859.7,10856.15,10857.45,79275
11/29/2018 3:21:00 PM,10856.8,10858,10855.15,10856.7,115425
11/29/2018 3:20:00 PM,10855.1,10856.6,10853.5,10855.25,49425
11/29/2018 3:19:00 PM,10853.6,10855.45,10853.1,10855.3,51675
11/29/2018 3:18:00 PM,10852.25,10855,10851.2,10853,55425
11/29/2018 3:17:00 PM,10850.25,10854.35,10850.25,10852.15,73275
11/29/2018 3:16:00 PM,10851.4,10852,10850.05,10850.25,60675
11/29/2018 3:15:00 PM,10851.35,10853.65,10850.15,10851.4,61575
11/29/2018 3:14:00 PM,10850.15,10852.2,10850.15,10851.35,44175
11/29/2018 3:13:00 PM,10849.35,10851,10849.3,10850.5,47025
11/29/2018 3:12:00 PM,10850,10851.85,10849,10849.25,45600
11/29/2018 3:11:00 PM,10850,10852,10849.15,10850,22575
11/29/2018 3:10:00 PM,10850.25,10851.8,10847.75,10848.8,60000
11/29/2018 3:09:00 PM,10846.55,10851,10846.55,10850.1,35625
11/29/2018 3:08:00 PM,10849.95,10851.45,10846.2,10846.2,51225
11/29/2018 3:07:00 PM,10855.1,10855.6,10848,10848.75,95700
11/29/2018 3:06:00 PM,10855.5,10856.65,10853.05,10853.5,27150
11/29/2018 3:05:00 PM,10856.1,10858.5,10854,10855.75,32700
11/29/2018 3:04:00 PM,10854.75,10858.5,10854.55,10856.1,47925
11/29/2018 3:03:00 PM,10852.2,10856.65,10851.1,10854.3,57075
11/29/2018 3:02:00 PM,10858.1,10858.1,10852.25,10853.85,68625
11/29/2018 3:01:00 PM,10859,10859.9,10855,10856.15,89925
11/29/2018 3:00:00 PM,10876.6,10877.8,10859.55,10859.55,98400
11/29/2018 2:59:00 PM,10871.35,10875,10870,10875,54375
11/29/2018 2:58:00 PM,10870.65,10870.95,10869.9,10870.2,33525
11/29/2018 2:57:00 PM,10868.9,10872.45,10868.55,10869.95,43500
11/29/2018 2:56:00 PM,10870.1,10870.2,10868.05,10868.9,16125
11/29/2018 2:55:00 PM,10869.85,10871.75,10867.55,10870.2,44175
11/29/2018 2:54:00 PM,10868.15,10871.95,10867.45,10871.75,32625
11/29/2018 2:53:00 PM,10868.15,10869.45,10866.5,10868.8,17700
11/29/2018 2:52:00 PM,10871.95,10873.2,10866.5,10869.05,41025
11/29/2018 2:51:00 PM,10865.7,10873.65,10865.7,10871.15,42000
11/29/2018 2:50:00 PM,10862.35,10865.7,10861.45,10865.7,29025
11/29/2018 2:49:00 PM,10864.8,10865.85,10861,10863.85,28200
11/29/2018 2:48:00 PM,10862.5,10864.55,10860.6,10864.55,37875
11/29/2018 2:47:00 PM,10864.55,10865.75,10861.1,10862.5,41175
11/29/2018 2:46:00 PM,10865.9,10866.35,10861.6,10864.55,33675
11/29/2018 2:45:00 PM,10863.55,10867.85,10863.3,10864,31950
11/29/2018 2:44:00 PM,10861,10866.2,10860.55,10863.95,28275
11/29/2018 2:43:00 PM,10861.9,10864.2,10860.55,10860.55,24000
11/29/2018 2:42:00 PM,10863.8,10864.1,10862.05,10862.4,35400
11/29/2018 2:41:00 PM,10865.65,10866.95,10863.55,10863.8,16125
11/29/2018 2:40:00 PM,10866.6,10867.6,10864.1,10865.9,12825
11/29/2018 2:39:00 PM,10865.35,10865.55,10862.2,10865.55,15300
11/29/2018 2:38:00 PM,10868.85,10868.9,10866.2,10866.55,19500
11/29/2018 2:37:00 PM,10866.7,10868.95,10865,10868.85,11775
11/29/2018 2:36:00 PM,10865.4,10867.45,10863,10867.35,13275
11/29/2018 2:35:00 PM,10863.05,10865.9,10860.7,10863.65,42600
11/29/2018 2:34:00 PM,10868,10868.45,10863.05,10863.85,19725
11/29/2018 2:33:00 PM,10869.85,10872.55,10867.5,10868,17925
11/29/2018 2:32:00 PM,10871.1,10871.5,10868.55,10868.55,21750
11/29/2018 2:31:00 PM,10870,10870,10867.05,10870,22275
11/29/2018 2:30:00 PM,10871.05,10871.9,10868,10870,13650
11/29/2018 2:29:00 PM,10867.2,10871.95,10867.2,10871.2,30900
11/29/2018 2:28:00 PM,10866.2,10868.05,10865.05,10866.05,19200
11/29/2018 2:27:00 PM,10864,10867.8,10864,10866.55,23850
11/29/2018 2:26:00 PM,10868,10869.05,10863.05,10864,28425
11/29/2018 2:25:00 PM,10871.45,10871.45,10866,10867.25,55425
11/29/2018 2:24:00 PM,10874.05,10874.85,10870.05,10870.05,30300
11/29/2018 2:23:00 PM,10871.3,10874.05,10869.75,10874.05,44550
11/29/2018 2:22:00 PM,10872,10873.6,10870,10870,44625
11/29/2018 2:21:00 PM,10879.4,10879.85,10871.85,10872,30750
11/29/2018 2:20:00 PM,10874,10879,10871.25,10879,56850
11/29/2018 2:19:00 PM,10872.7,10874.8,10871.05,10873.55,27225
11/29/2018 2:18:00 PM,10876.2,10876.85,10871,10872.7,20250
11/29/2018 2:17:00 PM,10876.7,10876.7,10873.05,10876,31800
11/29/2018 2:16:00 PM,10872.25,10877,10871.2,10876.7,37875
11/29/2018 2:15:00 PM,10875.05,10875.05,10870.45,10872.25,41850
11/29/2018 2:14:00 PM,10880,10880,10875.05,10875.05,44775
11/29/2018 2:13:00 PM,10869,10880,10867.4,10880,133275
11/29/2018 2:12:00 PM,10861.75,10869,10860.1,10869,49875
11/29/2018 2:11:00 PM,10858.55,10862.05,10858.55,10861.75,17550
11/29/2018 2:10:00 PM,10857.65,10860.5,10856.9,10858.55,29400
11/29/2018 2:09:00 PM,10856,10858.4,10854.85,10857.65,36450
11/29/2018 2:08:00 PM,10854.95,10856.2,10853.25,10856.2,29925
11/29/2018 2:07:00 PM,10858.5,10859.5,10854,10854.5,31950
11/29/2018 2:06:00 PM,10859.1,10860,10857.4,10857.4,38925
11/29/2018 2:05:00 PM,10860,10862.9,10857.95,10857.95,54600
11/29/2018 2:04:00 PM,10864.35,10865,10860.85,10862.35,72975
11/29/2018 2:03:00 PM,10854.25,10866.75,10853.9,10863.85,148275
11/29/2018 2:02:00 PM,10854,10854.95,10853,10854.5,42825
11/29/2018 2:01:00 PM,10844.9,10855.95,10844.9,10854.1,213675
11/29/2018 2:00:00 PM,10837.95,10844.9,10837.55,10844.9,61650
11/29/2018 1:59:00 PM,10838.15,10838.55,10837.15,10837.95,20925
11/29/2018 1:58:00 PM,10835.95,10838.15,10835.5,10838.15,15750
11/29/2018 1:57:00 PM,10834.3,10836.2,10834.3,10835.95,20400
11/29/2018 1:56:00 PM,10830.05,10834.9,10830.05,10834.9,17775
11/29/2018 1:55:00 PM,10832,10833.6,10830,10830.1,35250
11/29/2018 1:54:00 PM,10837,10838.65,10832,10832,23550
11/29/2018 1:53:00 PM,10835,10837,10835,10837,19725
11/29/2018 1:52:00 PM,10836,10836.55,10833.15,10835,31575
11/29/2018 1:51:00 PM,10837.55,10837.7,10834.05,10836,23175
11/29/2018 1:50:00 PM,10837,10839,10834.9,10838.35,37125
11/29/2018 1:49:00 PM,10832,10837.8,10831.1,10837.8,44400
11/29/2018 1:48:00 PM,10832.6,10833.6,10831.1,10831.95,24600
11/29/2018 1:47:00 PM,10833.9,10835.7,10831.1,10832.6,30000
11/29/2018 1:46:00 PM,10833.4,10835,10833.1,10833.9,21525
11/29/2018 1:45:00 PM,10830,10833.55,10829.05,10833.55,27525
11/29/2018 1:44:00 PM,10827.4,10830.45,10827.2,10830,8550
11/29/2018 1:43:00 PM,10826.65,10827.45,10825,10827.4,4200
11/29/2018 1:42:00 PM,10825,10828.5,10825,10826.65,13875
11/29/2018 1:41:00 PM,10824,10826.8,10824,10825,13425
11/29/2018 1:40:00 PM,10826,10827.95,10824,10824,10125
11/29/2018 1:39:00 PM,10824.3,10828.4,10824.3,10826,15675
11/29/2018 1:38:00 PM,10827.6,10828,10822.15,10823.8,43800
11/29/2018 1:37:00 PM,10827.85,10829.8,10827.6,10827.6,15075
11/29/2018 1:36:00 PM,10831.6,10831.6,10826.85,10827.85,18975
11/29/2018 1:35:00 PM,10830.6,10832.65,10830.05,10832,17475
11/29/2018 1:34:00 PM,10831.95,10832.65,10830.55,10830.6,5925
